Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000706,0.000785,0.000359,0.000779,59,"70,587"
"Dec 15, 2017",0.000664,0.000723,0.000518,0.000705,60,"66,351"
"Dec 14, 2017",0.000491,0.000671,0.000486,0.000663,45,"49,126"
"Dec 13, 2017",0.000346,0.000504,0.000329,0.000493,5,"34,552"
"Dec 12, 2017",0.000337,0.000522,0.000329,0.000345,5,"33,673"
"Dec 11, 2017",0.000457,0.000525,0.000336,0.000336,4,"45,741"
"Dec 10, 2017",0.000422,0.000473,0.000414,0.000461,3,"42,196"
"Dec 09, 2017",0.000325,0.000330,0.000295,0.000302,3,"32,528"
"Dec 08, 2017",0.000521,0.000528,0.000294,0.000326,3,"52,066"
"Dec 07, 2017",0.000275,0.000609,0.000275,0.000519,285,"27,472"
"Dec 06, 2017",0.000351,0.000514,0.000274,0.000275,533,"35,102"
"Dec 05, 2017",0.000355,0.000475,0.000348,0.000352,60,"35,470"
"Dec 04, 2017",0.000337,0.000348,0.000327,0.000346,192,"33,725"
"Dec 03, 2017",0.000343,0.000343,0.000318,0.000336,187,"34,273"
"Dec 02, 2017",0.000327,0.000336,0.000322,0.000330,2,"32,653"
"Dec 01, 2017",0.000326,0.000327,0.000322,0.000327,2,"32,556"
"Nov 28, 2017",0.000293,0.000299,0.000290,0.000299,1,"29,266"
"Nov 27, 2017",0.000280,0.000292,0.000280,0.000292,1,"27,953"
"Nov 26, 2017",0.000262,0.000285,0.000262,0.000279,7,"26,239"
"Nov 25, 2017",0.000328,0.000329,0.000246,0.000262,30,"32,840"
"Nov 24, 2017",0.000321,0.000334,0.000315,0.000331,5,"32,148"
"Nov 23, 2017",0.000329,0.000330,0.000322,0.000322,6,"32,934"
"Nov 22, 2017",0.000406,0.000415,0.000404,0.000410,1,"40,571"
"Nov 21, 2017",0.000330,0.000419,0.000329,0.000405,2,"32,966"
"Nov 20, 2017",0.000402,0.000495,0.000327,0.000330,59,"40,217"
"Nov 19, 2017",0.000387,0.000487,0.000386,0.000402,804,"38,709"
"Nov 16, 2017",0.000219,0.000219,0.000218,0.000218,2,"21,909"
"Nov 15, 2017",0.000201,0.000220,0.000201,0.000218,2,"20,125"
"Nov 13, 2017",0.000176,0.000185,0.000175,0.000185,1,"17,612"
"Nov 12, 2017",0.000191,0.000193,0.000166,0.000176,1,"19,084"
"Nov 11, 2017",0.000329,0.000341,0.000187,0.000191,53,"32,874"
"Nov 10, 2017",0.000214,0.000362,0.000203,0.000330,14,"21,387"
"Nov 09, 2017",0.000299,0.000356,0.000212,0.000213,12,"29,870"
"Nov 08, 2017",0.000213,0.000314,0.000212,0.000299,2,"21,348"
"Nov 07, 2017",0.000348,0.000361,0.000210,0.000214,2,"34,795"
"Nov 06, 2017",0.000284,0.000358,0.000283,0.000349,6,"28,365"
"Nov 03, 2017",0.000211,0.000211,0.000208,0.000209,75,"21,070"
"Nov 02, 2017",0.000205,0.000219,0.000203,0.000211,76,"20,519"
"Nov 01, 2017",0.000258,0.000265,0.000255,0.000264,26,"25,776"
"Oct 31, 2017",0.000244,0.000258,0.000244,0.000258,155,"24,412"
"Oct 30, 2017",0.000308,0.000308,0.000307,0.000307,1,"30,785"
"Oct 29, 2017",0.000287,0.000316,0.000286,0.000310,1,"28,651"
"Oct 28, 2017",0.000231,0.000235,0.000227,0.000230,1,"23,054"
"Oct 27, 2017",0.000230,0.000230,0.000230,0.000230,1,"23,041"
"Oct 26, 2017",0.000229,0.000239,0.000228,0.000238,4,"22,938"
"Oct 25, 2017",0.000280,0.000281,0.000219,0.000229,6,"28,035"
"Oct 24, 2017",0.000235,0.000235,0.000223,0.000229,15,"23,462"
"Oct 23, 2017",0.000359,0.000364,0.000227,0.000235,19,"35,876"
"Oct 22, 2017",0.000241,0.000363,0.000232,0.000359,4,"24,055"
"Oct 21, 2017",0.000300,0.000307,0.000236,0.000240,2,"30,026"
"Oct 20, 2017",0.000303,0.000303,0.000298,0.000301,1,"30,285"
"Oct 19, 2017",0.000335,0.000344,0.000332,0.000342,3,"33,524"
"Oct 18, 2017",0.000279,0.000337,0.000279,0.000335,3,"27,926"
"Oct 16, 2017",0.000342,0.000346,0.000334,0.000342,1,"34,151"
"Oct 15, 2017",0.000332,0.000345,0.000329,0.000341,1,"33,223"
"Oct 14, 2017",0.000226,0.000226,0.000224,0.000225,220,"22,623"
"Oct 13, 2017",0.000219,0.000235,0.000216,0.000226,221,"21,857"
"Oct 12, 2017",0.000193,0.000207,0.000193,0.000205,1,"19,305"
"Oct 11, 2017",0.000192,0.000195,0.000190,0.000193,1,"19,223"
"Oct 09, 2017",0.000276,0.000280,0.000273,0.000279,3,"27,617"
"Oct 08, 2017",0.000178,0.000277,0.000177,0.000276,3,"17,774"
"Oct 07, 2017",0.000174,0.000179,0.000173,0.000178,0,"17,422"
"Oct 03, 2017",0.000176,0.000177,0.000170,0.000172,14,"17,611"
"Oct 02, 2017",0.000177,0.000177,0.000175,0.000176,14,"17,677"
"Sep 27, 2017",0.000233,0.000252,0.000233,0.000251,1,"23,332"
"Sep 26, 2017",0.000158,0.000238,0.000158,0.000234,73,"15,838"
"Sep 23, 2017",0.000216,0.000229,0.000214,0.000225,1,"21,644"
"Sep 22, 2017",0.000181,0.000219,0.000177,0.000217,1,"18,104"
"Sep 21, 2017",0.000233,0.000234,0.000179,0.000181,3,"23,277"
"Sep 20, 2017",0.000196,0.000242,0.000195,0.000234,43,"19,566"
"Sep 16, 2017",0.000185,0.000194,0.000179,0.000181,3,"18,547"
"Sep 15, 2017",0.000195,0.000208,0.000162,0.000186,3,"19,468"
"Sep 14, 2017",0.000233,0.000236,0.000193,0.000193,1,"23,263"
"Sep 13, 2017",0.000249,0.000250,0.000227,0.000233,43,"24,915"
"Sep 12, 2017",0.000253,0.000259,0.000205,0.000250,110,"25,282"
"Sep 11, 2017",0.000213,0.000257,0.000207,0.000253,5,"21,251"
"Sep 10, 2017",0.000260,0.000260,0.000212,0.000213,5,"25,988"
"Sep 09, 2017",0.000216,0.000261,0.000210,0.000261,109,"21,554"
"Sep 08, 2017",0.000278,0.000282,0.000249,0.000261,4,"27,803"
"Sep 07, 2017",0.000279,0.000279,0.000278,0.000278,5,"27,861"
"Sep 04, 2017",0.000231,0.000231,0.000215,0.000216,1,"23,095"
"Sep 03, 2017",0.000277,0.000284,0.000222,0.000231,1,"27,667"
"Sep 02, 2017",0.000295,0.000299,0.000270,0.000276,10,"29,543"
"Sep 01, 2017",0.000237,0.000295,0.000235,0.000295,99,"23,691"
"Aug 31, 2017",0.000275,0.000284,0.000235,0.000237,1,"27,477"
"Aug 30, 2017",0.000228,0.000276,0.000228,0.000275,2,"22,817"
"Aug 29, 2017",0.000263,0.000279,0.000261,0.000274,45,"26,333"
"Aug 28, 2017",0.000261,0.000264,0.000252,0.000263,43,"26,060"
"Aug 27, 2017",0.000261,0.000264,0.000216,0.000261,67,"26,071"
"Aug 26, 2017",0.000218,0.000261,0.000214,0.000261,6,"21,838"
"Aug 25, 2017",0.000216,0.000268,0.000215,0.000218,90,"21,644"
"Aug 24, 2017",0.000207,0.000218,0.000205,0.000217,1,"20,715"
"Aug 23, 2017",0.000204,0.000213,0.000163,0.000207,82,"20,430"
"Aug 22, 2017",0.000200,0.000249,0.000181,0.000205,107,"20,005"
