Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.015017,0.040687,0.014879,0.039859,7,"219,607"
"Dec 15, 2017",0.013754,0.016062,0.013746,0.015020,90,"200,963"
"Dec 14, 2017",0.013287,0.014065,0.013193,0.013727,10,"193,926"
"Dec 13, 2017",0.013132,0.016149,0.012927,0.013323,299,"191,580"
"Dec 12, 2017",0.015148,0.015363,0.012704,0.013121,42,"220,819"
"Dec 11, 2017",0.010673,0.015749,0.010626,0.015100,314,"155,442"
"Dec 10, 2017",0.010674,0.011041,0.009269,0.010750,12,"155,338"
"Dec 09, 2017",0.011995,0.012218,0.009864,0.010678,0,"173,401"
"Dec 08, 2017",0.013887,0.014090,0.011201,0.011995,16,"197,892"
"Dec 07, 2017",0.012362,0.015163,0.012204,0.013854,640,"173,664"
"Dec 06, 2017",0.017258,0.018138,0.011395,0.012384,70,"240,068"
"Dec 05, 2017",0.011073,0.017842,0.010104,0.017518,11,"151,869"
"Dec 04, 2017",0.011678,0.012032,0.010334,0.011051,20,"159,124"
"Dec 03, 2017",0.013003,0.013905,0.009103,0.011639,187,"176,371"
"Dec 02, 2017",0.013994,0.015080,0.012973,0.012989,9,"189,777"
"Dec 01, 2017",0.011957,0.014736,0.010885,0.014031,5,"162,071"
"Nov 30, 2017",0.012188,0.015341,0.008797,0.011963,9,"165,149"
"Nov 29, 2017",0.014128,0.015741,0.010941,0.012003,328,"191,327"
"Nov 28, 2017",0.013677,0.014172,0.013550,0.014047,20,"185,173"
"Nov 27, 2017",0.012159,0.013670,0.011342,0.013647,1,"164,577"
"Nov 26, 2017",0.013556,0.014710,0.011970,0.011970,0,"183,400"
"Nov 25, 2017",0.011424,0.013560,0.011360,0.013560,19,"154,424"
"Nov 24, 2017",0.012712,0.012829,0.011236,0.011448,50,"171,726"
"Nov 23, 2017",0.014559,0.019703,0.012744,0.012744,105,"196,556"
"Nov 22, 2017",0.014221,0.017717,0.013980,0.014565,7,"191,928"
"Nov 21, 2017",0.019367,0.019412,0.013887,0.014206,2,"261,300"
"Nov 20, 2017",0.013426,0.019470,0.012319,0.019364,137,"181,030"
