Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.311788,0.373305,0.294026,0.340246,"194,632","9,722,440"
"Dec 15, 2017",0.318051,0.339499,0.308887,0.311504,"145,905","9,917,720"
"Dec 14, 2017",0.312040,0.491455,0.240560,0.317605,"209,679","9,730,290"
"Dec 13, 2017",0.316012,0.332128,0.275747,0.312804,"200,735","9,854,140"
"Dec 12, 2017",0.350328,0.370626,0.304457,0.315761,"220,169","10,924,200"
"Dec 11, 2017",0.345451,0.380599,0.311229,0.349678,"182,193","10,772,100"
"Dec 10, 2017",0.364131,0.378569,0.311170,0.347697,"196,458","11,354,600"
"Dec 09, 2017",0.362341,0.410827,0.327534,0.362710,"155,437","11,298,800"
"Dec 08, 2017",0.364067,0.474097,0.302039,0.362516,"229,022","11,352,600"
"Dec 07, 2017",0.296394,0.366320,0.273545,0.366157,"163,454","9,242,400"
"Dec 06, 2017",0.353601,0.390295,0.275696,0.291262,"196,238","11,026,300"
"Dec 05, 2017",0.391562,0.412835,0.336950,0.354295,"212,249","12,210,000"
"Dec 04, 2017",0.372897,0.418356,0.363659,0.391171,"420,285","11,628,000"
"Dec 03, 2017",0.264337,0.363448,0.247213,0.338182,"166,717","8,242,780"
"Dec 02, 2017",0.305753,0.345381,0.233306,0.267186,"179,590","9,534,240"
"Dec 01, 2017",0.423972,0.423972,0.268824,0.305828,"297,701","13,220,600"
"Nov 30, 2017",0.257453,0.435526,0.257453,0.426453,"266,014","8,028,120"
"Nov 29, 2017",0.338900,0.377870,0.226314,0.251656,"180,594","10,567,900"
"Nov 28, 2017",0.419281,0.429506,0.329431,0.329431,"268,614","13,074,400"
"Nov 27, 2017",0.423790,0.460010,0.362046,0.419145,"309,594","13,215,000"
"Nov 26, 2017",0.456665,0.480677,0.395290,0.421542,"465,061","14,103,100"
"Nov 25, 2017",0.345190,0.477772,0.321290,0.455754,"554,364","10,660,400"
"Nov 24, 2017",0.319781,0.392907,0.319781,0.341692,"314,288","9,875,720"
"Nov 23, 2017",0.273154,0.342167,0.254163,0.316990,"289,224","8,435,760"
"Nov 22, 2017",0.149521,0.274717,0.148859,0.274717,"279,860","4,614,650"
"Nov 21, 2017",0.143273,0.166713,0.124739,0.149318,"83,210","4,421,820"
"Nov 20, 2017",0.168344,0.169677,0.135382,0.149287,"99,474","5,195,590"
"Nov 19, 2017",0.200163,0.212624,0.124988,0.163014,"88,422","6,177,620"
"Nov 18, 2017",0.205205,0.247330,0.191542,0.200681,"72,224","6,333,240"
"Nov 17, 2017",0.242911,0.278914,0.206157,0.213824,"134,155","7,496,960"
"Nov 16, 2017",0.304207,0.312366,0.214080,0.244363,"199,456","9,388,740"
"Nov 15, 2017",0.348108,0.350335,0.192535,0.304445,"420,267","10,743,600"
"Nov 14, 2017",0.381092,0.424457,0.318200,0.347918,"629,681",-
"Nov 13, 2017",0.295069,0.407836,0.258967,0.381110,"804,423",-
