Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.006727,0.009380,0.005345,0.008746,"9,524",-
"Dec 15, 2017",0.005295,0.006737,0.004554,0.006719,"2,556",-
"Dec 14, 2017",0.006878,0.007014,0.004923,0.005294,"1,900",-
"Dec 13, 2017",0.004681,0.010384,0.003705,0.006899,"6,774",-
"Dec 12, 2017",0.005678,0.005961,0.004636,0.004676,891,-
"Dec 11, 2017",0.005270,0.005941,0.004846,0.005661,884,-
"Dec 10, 2017",0.006563,0.006563,0.004184,0.005307,"2,521",-
"Dec 09, 2017",0.005524,0.006968,0.004449,0.006538,"3,081",-
"Dec 08, 2017",0.007359,0.007608,0.005038,0.005529,"3,522",-
"Dec 07, 2017",0.006600,0.013281,0.005112,0.007344,"8,476",-
"Dec 06, 2017",0.007562,0.009704,0.002698,0.006612,"4,387",-
"Dec 05, 2017",0.008516,0.009152,0.006563,0.007590,710,-
"Dec 04, 2017",0.007940,0.009042,0.006908,0.008499,"3,175",-
"Dec 03, 2017",0.007739,0.010157,0.006424,0.007915,"5,594",-
"Dec 02, 2017",0.009279,0.011081,0.006273,0.007731,"2,128",-
"Dec 01, 2017",0.009801,0.010880,0.008324,0.009272,"3,213",-
"Nov 30, 2017",0.008103,0.009702,0.005532,0.009617,"4,172",-
"Nov 29, 2017",0.008725,0.010247,0.005331,0.007981,"1,640",-
"Nov 28, 2017",0.008943,0.010420,0.007494,0.008734,"1,898",-
"Nov 27, 2017",0.009632,0.010075,0.008765,0.008920,"2,363",-
"Nov 26, 2017",0.009430,0.010351,0.008435,0.009883,"2,016",-
"Nov 25, 2017",0.007274,0.009675,0.007272,0.009434,"3,491",-
"Nov 24, 2017",0.007071,0.008932,0.004929,0.007289,"3,377",-
"Nov 23, 2017",0.007329,0.008399,0.006517,0.007082,"2,609",-
"Nov 22, 2017",0.008061,0.009301,0.007016,0.007331,"3,731",-
"Nov 21, 2017",0.008120,0.009780,0.007405,0.008042,"1,949",-
"Nov 20, 2017",0.006985,0.009157,0.006898,0.008120,"3,311",-
"Nov 19, 2017",0.008042,0.008911,0.007043,0.007043,"7,321",-
"Nov 18, 2017",0.010536,0.010758,0.008057,0.008057,"10,982",-
"Nov 17, 2017",0.011172,0.011636,0.008673,0.009882,"9,449",-
"Nov 16, 2017",0.010985,0.012386,0.009786,0.011191,"3,136",-
"Nov 15, 2017",0.009728,0.012965,0.009728,0.010936,"4,019",-
"Nov 14, 2017",0.009782,0.012049,0.009203,0.009721,"3,568",-
"Nov 13, 2017",0.010196,0.013561,0.007970,0.009764,"7,056",-
"Nov 12, 2017",0.009387,0.011639,0.006793,0.010182,"4,604",-
"Nov 11, 2017",0.007186,0.015485,0.006694,0.009396,"13,603",-
"Nov 10, 2017",0.007614,0.010820,0.006708,0.007212,"9,189",-
"Nov 09, 2017",0.008561,0.009126,0.006926,0.007591,"3,292",-
"Nov 08, 2017",0.008823,0.009261,0.006512,0.008571,"4,359",-
"Nov 07, 2017",0.007571,0.009780,0.006646,0.008267,838,-
"Nov 06, 2017",0.007155,0.011737,0.006663,0.007583,"2,401",-
"Nov 05, 2017",0.006811,0.011715,0.006714,0.007140,862,-
"Nov 04, 2017",0.008936,0.009192,0.006821,0.006821,"1,383",-
"Nov 03, 2017",0.007452,0.010500,0.006420,0.008953,"6,046",-
"Nov 02, 2017",0.011166,0.011852,0.005896,0.007459,"6,322",-
"Nov 01, 2017",0.013996,0.015340,0.009168,0.011154,"6,878",-
"Oct 31, 2017",0.013074,0.023544,0.013074,0.014064,"11,783",-
"Oct 30, 2017",0.016186,0.016792,0.012554,0.013110,"5,467",-
"Oct 29, 2017",0.015176,0.019246,0.015151,0.016280,"3,940",-
"Oct 28, 2017",0.018535,0.020341,0.014343,0.015191,"4,661",-
"Oct 27, 2017",0.020869,0.023206,0.015817,0.017901,"7,848",-
"Oct 26, 2017",0.016805,0.031014,0.016077,0.020865,"48,471",-
"Oct 25, 2017",0.017324,0.025342,0.010850,0.018190,"11,457",-
"Oct 24, 2017",0.020218,0.021631,0.016623,0.017282,"3,763",-
"Oct 23, 2017",0.026520,0.026530,0.017376,0.020263,"6,226",-
"Oct 22, 2017",0.025170,0.034287,0.023639,0.026669,"28,461",-
"Oct 21, 2017",0.020506,0.032863,0.019391,0.025163,"23,564",-
"Oct 20, 2017",0.024708,0.025581,0.019978,0.021480,"12,929",-
"Oct 19, 2017",0.024245,0.025149,0.022286,0.024702,"5,893",-
"Oct 18, 2017",0.012627,0.029383,0.012171,0.024237,"22,528",-
"Oct 17, 2017",0.018566,0.018984,0.012124,0.012627,"1,465",-
"Oct 16, 2017",0.020655,0.022382,0.014840,0.018527,"7,196",-
"Oct 15, 2017",0.021608,0.024232,0.015085,0.020524,"5,457",-
"Oct 14, 2017",0.023451,0.026172,0.017526,0.023428,"10,085",-
"Oct 13, 2017",0.024172,0.033403,0.011627,0.023443,"22,053",-
"Oct 12, 2017",0.027064,0.027075,0.019421,0.024121,"9,283",-
"Oct 11, 2017",0.023266,0.030985,0.016330,0.027041,"9,261",-
"Oct 10, 2017",0.033114,0.035455,0.016235,0.023269,"8,108",-
"Oct 09, 2017",0.026138,0.038517,0.025489,0.033118,"12,064",-
"Oct 08, 2017",0.030632,0.032799,0.026171,0.030792,"5,234",-
"Oct 07, 2017",0.033896,0.038092,0.029939,0.030714,"11,313",-
"Oct 06, 2017",0.029821,0.047554,0.028738,0.033802,"50,425",-
"Oct 05, 2017",0.023896,0.033477,0.022223,0.029821,"31,128",-
"Oct 04, 2017",0.028163,0.031033,0.021833,0.021950,"12,442",-
"Oct 03, 2017",0.030455,0.036768,0.021626,0.031372,"25,029",-
"Oct 02, 2017",0.039012,0.039079,0.024111,0.030454,"21,980",-
"Oct 01, 2017",0.037836,0.039654,0.029019,0.039026,"16,050",-
"Sep 30, 2017",0.036363,0.037966,0.035270,0.037817,"10,656",-
"Sep 29, 2017",0.037818,0.037965,0.033502,0.036138,"19,910",-
"Sep 28, 2017",0.037116,0.042622,0.030909,0.037850,"36,656",-
"Sep 27, 2017",0.031066,0.041003,0.029599,0.033758,"59,608",-
"Sep 26, 2017",0.035009,0.035283,0.027890,0.031151,"25,771",-
"Sep 25, 2017",0.036650,0.036716,0.022798,0.035104,"25,049",-
"Sep 24, 2017",0.038302,0.041118,0.024329,0.035585,"34,205",-
"Sep 23, 2017",0.035008,0.051568,0.032357,0.038305,"98,579",-
