Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000176,0.000196,0.000174,0.000195,"1,696","428,664"
"Dec 15, 2017",0.000166,0.000181,0.000166,0.000176,"2,292","402,935"
"Dec 14, 2017",0.000164,0.000171,0.000162,0.000166,"3,636","397,781"
"Dec 13, 2017",0.000173,0.000175,0.000159,0.000164,"2,650","419,656"
"Dec 12, 2017",0.000168,0.000178,0.000167,0.000173,30,"408,837"
"Dec 10, 2017",0.000150,0.000150,0.000132,0.000135,14,"365,280"
"Dec 09, 2017",0.000163,0.000165,0.000135,0.000150,17,"395,069"
"Dec 08, 2017",0.000174,0.000176,0.000141,0.000163,6,"421,584"
"Dec 07, 2017",0.000137,0.000173,0.000136,0.000173,4,"333,662"
"Dec 06, 2017",0.000129,0.000138,0.000129,0.000138,7,"312,243"
"Dec 05, 2017",0.000117,0.000119,0.000115,0.000118,1,"283,145"
"Dec 04, 2017",0.000112,0.000116,0.000109,0.000116,1,"273,077"
"Dec 03, 2017",0.000117,0.000118,0.000106,0.000112,11,"285,027"
"Dec 01, 2017",0.000100,0.000101,0.000096,0.000098,98,"242,744"
"Nov 30, 2017",0.000098,0.000107,0.000090,0.000100,100,"238,751"
"Nov 29, 2017",0.000099,0.000114,0.000091,0.000097,1,"241,162"
"Nov 28, 2017",0.000098,0.000100,0.000097,0.000099,21,"236,970"
"Nov 27, 2017",0.000093,0.000097,0.000093,0.000097,587,"226,338"
"Nov 26, 2017",0.000090,0.000095,0.000090,0.000093,4,"218,977"
"Nov 25, 2017",0.000082,0.000087,0.000082,0.000087,1,"199,430"
"Nov 24, 2017",0.000080,0.000083,0.000079,0.000082,1,"195,230"
"Nov 23, 2017",0.000082,0.000083,0.000080,0.000080,18,"199,800"
"Nov 22, 2017",0.000081,0.000083,0.000081,0.000082,2,"197,101"
"Nov 21, 2017",0.000082,0.000084,0.000078,0.000081,9,"200,195"
"Nov 20, 2017",0.000080,0.000083,0.000079,0.000082,13,"195,384"
"Nov 19, 2017",0.000078,0.000081,0.000077,0.000080,16,"190,004"
"Nov 17, 2017",0.000078,0.000080,0.000078,0.000079,17,"190,557"
"Nov 16, 2017",0.000073,0.000080,0.000071,0.000079,16,"177,400"
"Nov 15, 2017",0.000066,0.000073,0.000066,0.000073,33,"160,604"
"Nov 14, 2017",0.000065,0.000067,0.000064,0.000066,27,"158,643"
"Nov 13, 2017",0.000059,0.000067,0.000058,0.000065,60,"142,609"
"Nov 12, 2017",0.000064,0.000064,0.000055,0.000059,7,"154,521"
"Nov 11, 2017",0.000066,0.000068,0.000062,0.000064,44,"159,712"
"Nov 10, 2017",0.000071,0.000073,0.000065,0.000066,17,"173,169"
"Nov 09, 2017",0.000075,0.000075,0.000071,0.000071,13,"181,393"
"Nov 08, 2017",0.000071,0.000078,0.000071,0.000075,3,"172,860"
"Nov 07, 2017",0.000070,0.000072,0.000070,0.000071,2,"169,042"
"Nov 06, 2017",0.000074,0.000074,0.000069,0.000070,4,"179,594"
"Nov 05, 2017",0.000074,0.000076,0.000073,0.000074,81,"179,192"
"Nov 04, 2017",0.000072,0.000075,0.000070,0.000074,226,"174,094"
"Nov 03, 2017",0.000072,0.000075,0.000071,0.000072,54,"175,344"
"Nov 02, 2017",0.000067,0.000071,0.000067,0.000071,1,"163,447"
"Nov 01, 2017",0.000066,0.000067,0.000065,0.000067,1,"159,849"
"Oct 31, 2017",0.000061,0.000061,0.000061,0.000061,1,"148,852"
"Oct 30, 2017",0.000062,0.000062,0.000060,0.000061,1,"149,559"
"Oct 29, 2017",0.000057,0.000063,0.000057,0.000062,2,"139,138"
"Oct 28, 2017",0.000058,0.000059,0.000057,0.000057,1,"141,793"
"Oct 25, 2017",0.000055,0.000056,0.000054,0.000055,1,"134,047"
"Oct 24, 2017",0.000059,0.000059,0.000055,0.000055,1,"142,482"
"Oct 23, 2017",0.000060,0.000061,0.000057,0.000059,1,"145,245"
"Oct 22, 2017",0.000059,0.000060,0.000057,0.000060,6,"143,948"
