Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",1.77,1.84,1.21,1.47,"2,170","2,484,570"
"Dec 15, 2017",1.58,1.78,1.10,1.77,"11,707","2,210,940"
"Dec 14, 2017",1.23,1.94,0.940820,1.57,"3,754","1,722,400"
"Dec 13, 2017",1.57,1.98,1.19,1.23,"8,065","2,203,840"
"Dec 12, 2017",0.841653,1.68,0.806328,1.57,"6,943",-
"Dec 11, 2017",1.07,1.34,0.726028,0.846924,"2,592",-
"Dec 10, 2017",0.958111,1.12,0.871173,1.07,"1,352",-
"Dec 09, 2017",1.07,1.19,0.952257,0.955024,"4,774",-
"Dec 08, 2017",1.39,1.44,1.08,1.15,"1,344",-
"Dec 07, 2017",1.67,2.69,1.37,1.40,"6,401",-
"Dec 06, 2017",0.863862,1.76,0.863862,1.76,"3,362",-
"Dec 05, 2017",1.17,1.28,0.800617,0.865532,"2,582",-
"Dec 04, 2017",1.16,1.40,0.853567,1.17,"4,172",-
"Dec 03, 2017",1.47,1.81,0.859285,1.16,"4,061",-
"Dec 02, 2017",1.13,1.47,0.676678,1.47,"11,416",-
"Dec 01, 2017",1.28,1.36,0.956757,1.13,"2,516",-
"Nov 30, 2017",1.26,1.36,1.16,1.28,"7,554",-
"Nov 29, 2017",1.23,1.40,0.777224,1.24,"3,687",-
"Nov 28, 2017",1.24,1.37,0.935113,1.23,"3,131",-
"Nov 27, 2017",0.953598,1.38,0.938472,1.24,493,-
"Nov 26, 2017",1.21,1.41,0.935278,0.953711,"6,153",-
"Nov 25, 2017",1.21,2.44,0.945149,1.21,"6,838",-
"Nov 24, 2017",1.48,1.49,1.06,1.21,"11,876",-
"Nov 23, 2017",1.44,1.90,1.21,1.48,"17,068",-
"Nov 22, 2017",0.905517,2.01,0.904785,1.44,"25,425",-
"Nov 21, 2017",1.07,1.17,0.898553,0.904361,"2,419",-
"Nov 20, 2017",1.06,1.11,1.06,1.07,"4,092",-
