Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.083148,0.099690,0.050896,0.052622,"1,212","425,575"
"Dec 15, 2017",0.053033,0.088138,0.043695,0.083028,"1,889","271,440"
"Dec 14, 2017",0.082146,0.140499,0.052957,0.052984,737,"420,448"
"Dec 13, 2017",0.088100,0.103691,0.070535,0.082282,"2,433","450,921"
"Dec 12, 2017",0.064903,0.089749,0.057066,0.087944,271,"332,192"
"Dec 11, 2017",0.059825,0.067197,0.050436,0.067197,"1,455","306,205"
"Dec 10, 2017",0.102972,0.102972,0.057337,0.059959,539,"527,042"
"Dec 09, 2017",0.082927,0.106814,0.071045,0.102556,340,"424,446"
"Dec 08, 2017",0.071691,0.083034,0.070527,0.082982,"6,890","366,937"
"Dec 07, 2017",0.061381,0.083810,0.052688,0.071531,"2,994","314,167"
"Dec 06, 2017",0.063933,0.076779,0.058584,0.060003,888,"327,228"
"Dec 05, 2017",0.084912,0.092751,0.064544,0.064691,132,"434,603"
"Dec 04, 2017",0.132886,0.141862,0.069383,0.084789,253,"680,152"
"Dec 03, 2017",0.065853,0.165157,0.064810,0.132622,"1,147","337,058"
"Dec 02, 2017",0.090997,0.099825,0.065825,0.065825,369,"465,752"
"Dec 01, 2017",0.063759,0.091320,0.059545,0.091074,490,"326,340"
"Nov 30, 2017",0.074819,0.080438,0.052306,0.064032,"3,579","382,946"
"Nov 29, 2017",0.095250,0.111493,0.058607,0.073841,"1,475","487,516"
"Nov 28, 2017",0.116290,0.120000,0.086016,0.095219,"8,507","595,207"
"Nov 27, 2017",0.086865,0.116284,0.071672,0.116121,"5,756","444,600"
"Nov 26, 2017",0.090230,0.104617,0.085082,0.086848,335,"461,827"
"Nov 25, 2017",0.119776,0.127808,0.084448,0.090241,475,"613,048"
"Nov 24, 2017",0.106189,0.127088,0.104423,0.119817,582,"543,508"
"Nov 23, 2017",0.107260,0.109469,0.079974,0.106575,"2,113","548,988"
"Nov 22, 2017",0.093161,0.107515,0.091375,0.107106,"1,213","476,825"
"Nov 21, 2017",0.070160,0.107255,0.066373,0.092983,663,"359,101"
"Nov 20, 2017",0.097388,0.108641,0.070147,0.070147,"1,094","498,460"
"Nov 19, 2017",0.094597,0.100766,0.089114,0.097453,"1,635","484,176"
"Nov 18, 2017",0.107787,0.107787,0.091669,0.094839,"1,093","551,685"
"Nov 17, 2017",0.101897,0.108020,0.088380,0.107993,"1,075","521,543"
"Nov 16, 2017",0.098736,0.104552,0.093189,0.102027,335,"505,361"
"Nov 15, 2017",0.100656,0.103621,0.055653,0.098327,"4,215","515,191"
"Nov 14, 2017",0.097091,0.108645,0.086439,0.099906,597,"496,943"
"Nov 13, 2017",0.099702,0.114430,0.097697,0.106467,866,"510,304"
"Nov 12, 2017",0.099704,0.108735,0.097137,0.099553,240,"510,313"
"Nov 11, 2017",0.117895,0.118230,0.097078,0.099696,111,"603,424"
"Nov 10, 2017",0.107585,0.178652,0.100060,0.118423,"3,995","550,652"
"Nov 09, 2017",0.104847,0.110922,0.104231,0.107726,511,"536,638"
"Nov 08, 2017",0.106216,0.119614,0.104715,0.105260,"1,627","543,646"
"Nov 07, 2017",0.113502,0.130418,0.105129,0.106545,353,"580,937"
"Nov 06, 2017",0.127079,0.127472,0.100123,0.113440,"2,310","650,428"
