Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000176,0.000196,0.000174,0.000195,39,"90,141"
"Dec 15, 2017",0.000166,0.000181,0.000166,0.000176,21,"84,730"
"Dec 14, 2017",0.000164,0.000171,0.000162,0.000166,7,"83,646"
"Dec 13, 2017",0.000173,0.000175,0.000159,0.000164,33,"88,246"
"Dec 12, 2017",0.000168,0.000178,0.000167,0.000173,13,"85,953"
"Dec 11, 2017",0.000152,0.000169,0.000152,0.000165,3,"77,882"
"Dec 10, 2017",0.000150,0.000158,0.000135,0.000154,5,"76,812"
"Dec 09, 2017",0.000163,0.000165,0.000135,0.000150,2,"83,076"
"Dec 08, 2017",0.000174,0.000176,0.000141,0.000163,446,"88,652"
"Dec 07, 2017",0.000137,0.000173,0.000136,0.000173,"5,212","70,163"
"Dec 06, 2017",0.000117,0.000260,0.000117,0.000138,"1,716","59,768"
"Dec 05, 2017",0.000117,0.000236,0.000115,0.000117,129,"59,541"
"Dec 04, 2017",0.000112,0.000228,0.000109,0.000116,387,"57,423"
"Dec 03, 2017",0.000109,0.000224,0.000106,0.000112,349,"55,839"
"Dec 02, 2017",0.000109,0.000112,0.000107,0.000109,8,"55,598"
"Dec 01, 2017",0.000100,0.000110,0.000095,0.000109,172,"51,045"
"Nov 30, 2017",0.000197,0.000214,0.000100,0.000100,96,"100,410"
"Nov 29, 2017",0.000099,0.000219,0.000099,0.000194,312,"50,712"
"Nov 28, 2017",0.000098,0.000200,0.000097,0.000099,"2,936","49,831"
"Nov 27, 2017",0.000097,0.000194,0.000094,0.000097,160,"49,408"
"Nov 26, 2017",0.000087,0.000095,0.000087,0.000093,8,"44,676"
"Nov 25, 2017",0.000082,0.000087,0.000082,0.000087,45,"41,937"
"Nov 24, 2017",0.000080,0.000083,0.000079,0.000082,69,"41,054"
"Nov 23, 2017",0.000082,0.000164,0.000080,0.000080,166,"42,015"
"Nov 22, 2017",0.000081,0.000083,0.000081,0.000082,448,"41,447"
"Nov 21, 2017",0.000082,0.000164,0.000078,0.000081,107,"42,098"
"Nov 20, 2017",0.000161,0.000161,0.000080,0.000082,8,"82,172"
"Nov 19, 2017",0.000156,0.000162,0.000077,0.000161,25,"79,552"
"Nov 18, 2017",0.000077,0.000157,0.000075,0.000156,44,"39,264"
"Nov 17, 2017",0.000157,0.000161,0.000076,0.000077,39,"80,142"
"Nov 16, 2017",0.000146,0.000160,0.000071,0.000157,29,"74,608"
"Nov 15, 2017",0.000066,0.000146,0.000066,0.000145,301,"33,772"
"Nov 14, 2017",0.000065,0.000067,0.000064,0.000066,56,"33,360"
"Nov 13, 2017",0.000059,0.000133,0.000058,0.000065,126,"29,988"
"Nov 12, 2017",0.000064,0.000124,0.000055,0.000059,3,"32,493"
"Nov 11, 2017",0.000131,0.000136,0.000062,0.000064,119,"67,169"
"Nov 10, 2017",0.000143,0.000220,0.000129,0.000132,"2,429","72,829"
"Nov 09, 2017",0.000149,0.000224,0.000142,0.000142,"2,604","76,288"
"Nov 08, 2017",0.000071,0.000157,0.000071,0.000150,"6,128","36,349"
"Nov 07, 2017",0.000139,0.000144,0.000070,0.000071,270,"71,093"
"Nov 06, 2017",0.000074,0.000148,0.000071,0.000139,49,"37,766"
"Nov 05, 2017",0.000074,0.000076,0.000073,0.000074,"1,393","37,681"
"Nov 04, 2017",0.000143,0.000145,0.000071,0.000074,19,"73,218"
"Nov 03, 2017",0.000140,0.000149,0.000071,0.000144,811,"71,750"
"Nov 02, 2017",0.000067,0.000142,0.000067,0.000141,77,"34,370"
"Nov 01, 2017",0.000129,0.000132,0.000064,0.000067,153,"65,832"
"Oct 31, 2017",0.000123,0.000129,0.000061,0.000129,67,"62,602"
"Oct 30, 2017",0.000123,0.000123,0.000060,0.000123,72,"62,900"
"Oct 29, 2017",0.000115,0.000126,0.000058,0.000124,143,"58,517"
"Oct 28, 2017",0.000058,0.000116,0.000057,0.000115,967,"29,440"
"Oct 27, 2017",0.000058,0.000058,0.000057,0.000057,3,"29,400"
"Oct 26, 2017",0.000057,0.000060,0.000057,0.000059,3,"29,291"
"Oct 25, 2017",0.000055,0.000057,0.000054,0.000057,14,"28,188"
"Oct 24, 2017",0.000117,0.000117,0.000055,0.000055,13,"59,923"
"Oct 23, 2017",0.000060,0.000120,0.000057,0.000118,26,"30,542"
"Oct 22, 2017",0.000060,0.000119,0.000058,0.000060,116,"30,718"
"Oct 21, 2017",0.000120,0.000123,0.000059,0.000060,252,"61,349"
"Oct 20, 2017",0.000114,0.000122,0.000056,0.000120,41,"58,278"
"Oct 19, 2017",0.000112,0.000115,0.000111,0.000114,24,"57,080"
"Oct 18, 2017",0.000112,0.000112,0.000103,0.000112,690,"57,217"
