Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.001394,0.002222,0.000093,0.000112,"4,470",-
"Dec 15, 2017",0.001387,0.001389,0.000340,0.001227,"9,195",-
"Dec 14, 2017",0.001402,0.001503,0.001328,0.001388,96,-
"Dec 13, 2017",0.000826,0.001496,0.000745,0.001403,95,-
"Dec 12, 2017",0.000771,0.000831,0.000624,0.000825,136,-
"Dec 11, 2017",0.000877,0.000949,0.000703,0.000776,215,-
"Dec 10, 2017",0.001377,0.001583,0.000873,0.000876,83,-
"Dec 09, 2017",0.001358,0.001528,0.001358,0.001373,630,-
"Dec 08, 2017",0.001479,0.001509,0.001236,0.001358,256,-
"Dec 07, 2017",0.001270,0.001516,0.001226,0.001477,109,-
"Dec 06, 2017",0.001364,0.001369,0.001249,0.001275,20,-
"Dec 05, 2017",0.001399,0.001403,0.001354,0.001367,12,-
"Dec 04, 2017",0.001158,0.001398,0.001119,0.001398,90,-
"Dec 03, 2017",0.001144,0.001237,0.001119,0.001156,191,-
"Dec 02, 2017",0.001847,0.001972,0.000994,0.001144,973,-
"Dec 01, 2017",0.000894,0.001847,0.000848,0.001847,"1,031",-
"Nov 30, 2017",0.001560,0.001699,0.000833,0.000897,128,-
"Nov 29, 2017",0.001865,0.001960,0.000866,0.001541,331,-
"Nov 28, 2017",0.001900,0.002460,0.001850,0.001864,692,-
"Nov 27, 2017",0.002025,0.002587,0.001627,0.001903,"1,633",-
"Nov 26, 2017",0.001467,0.008926,0.001447,0.002026,"8,092",-
