Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",1.01,1.16,0.844399,1.08,"35,269","5,215,980"
"Dec 15, 2017",0.914736,1.05,0.850592,1.01,"36,473","4,704,490"
"Dec 14, 2017",0.834450,1.04,0.767029,0.915372,"64,938","4,291,580"
"Dec 13, 2017",0.993733,1.09,0.732496,0.837114,"62,863","5,110,780"
"Dec 12, 2017",1.05,1.14,0.918547,0.988093,"40,600","5,390,770"
"Dec 11, 2017",1.31,1.39,0.933860,1.05,"25,924","6,743,680"
"Dec 10, 2017",1.05,1.33,0.892755,1.32,"34,449","5,415,620"
"Dec 09, 2017",1.14,1.40,0.993421,1.05,"11,274","5,855,170"
"Dec 08, 2017",1.25,1.48,0.948154,1.14,"124,054","6,418,350"
"Dec 07, 2017",1.65,1.88,1.02,1.25,"103,217","8,475,780"
"Dec 06, 2017",1.25,1.75,1.25,1.63,"61,126","6,446,220"
"Dec 05, 2017",1.69,1.87,1.26,1.26,"101,201","8,691,020"
"Dec 04, 2017",1.35,1.67,1.35,1.59,"77,353","6,953,970"
"Dec 03, 2017",1.13,1.39,0.985910,1.35,"54,621","5,792,330"
"Dec 02, 2017",1.31,1.33,1.11,1.13,"26,143","6,717,400"
"Dec 01, 2017",1.08,1.37,0.970215,1.31,"52,974","5,551,120"
"Nov 30, 2017",1.18,1.55,0.832391,1.04,"67,737","6,073,960"
"Nov 29, 2017",0.945240,1.63,0.875395,1.19,"113,301","4,861,380"
"Nov 28, 2017",0.848230,1.96,0.821854,0.993486,"230,553",-
"Nov 27, 2017",0.822199,0.846038,0.821619,0.846038,"56,068",-
