Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.022588,0.025124,0.022303,0.024927,130,"205,702"
"Dec 15, 2017",0.021232,0.023135,0.021228,0.022556,69,"193,355"
"Dec 14, 2017",0.020961,0.021842,0.020724,0.021200,46,"190,882"
"Dec 13, 2017",0.021316,0.022247,0.020398,0.021028,183,"194,118"
"Dec 12, 2017",0.021046,0.021748,0.020553,0.021379,7,"191,658"
"Dec 11, 2017",0.019059,0.021880,0.018975,0.020979,121,"173,562"
"Dec 10, 2017",0.018797,0.019716,0.016548,0.019197,42,"171,178"
"Dec 09, 2017",0.020330,0.020631,0.016930,0.018721,31,"185,138"
"Dec 08, 2017",0.021694,0.022018,0.017602,0.020350,219,"197,563"
"Dec 07, 2017",0.017582,0.021643,0.017357,0.021643,90,"160,114"
"Dec 06, 2017",0.014977,0.017637,0.014977,0.017612,45,"136,391"
"Dec 05, 2017",0.014570,0.015119,0.014367,0.015010,44,"132,688"
"Dec 04, 2017",0.014052,0.014950,0.013610,0.014542,30,"127,969"
"Dec 03, 2017",0.013665,0.014796,0.013235,0.014006,39,"124,440"
"Dec 02, 2017",0.013605,0.013994,0.013410,0.013652,63,"123,901"
"Dec 01, 2017",0.012791,0.013697,0.012110,0.013617,22,"116,485"
"Nov 30, 2017",0.012286,0.013364,0.011248,0.012855,23,"111,884"
"Nov 29, 2017",0.012410,0.014299,0.011366,0.012100,78,"113,014"
"Nov 28, 2017",0.012292,0.012574,0.012173,0.012422,18,"111,938"
"Nov 27, 2017",0.011647,0.012529,0.011647,0.012260,73,"106,067"
"Nov 26, 2017",0.011370,0.011895,0.011140,0.011645,38,"103,545"
"Nov 25, 2017",0.010591,0.011374,0.010531,0.011374,26,"96,448"
"Nov 24, 2017",0.010046,0.010693,0.009855,0.010612,29,"91,489"
"Nov 23, 2017",0.010446,0.010497,0.010060,0.010060,24,"95,129"
"Nov 22, 2017",0.010143,0.010501,0.010100,0.010449,35,"92,366"
"Nov 21, 2017",0.009148,0.010463,0.008654,0.010118,24,"83,308"
"Nov 20, 2017",0.010054,0.010077,0.008899,0.009146,13,"91,561"
"Nov 19, 2017",0.009578,0.010139,0.008638,0.010059,19,"87,223"
"Nov 18, 2017",0.009197,0.009670,0.008958,0.009596,39,"83,756"
"Nov 17, 2017",0.009884,0.010117,0.009534,0.009863,10,"90,013"
"Nov 16, 2017",0.009202,0.010083,0.008996,0.009901,12,"83,799"
"Nov 15, 2017",0.008331,0.009228,0.008331,0.009154,13,"75,865"
"Nov 14, 2017",0.008229,0.008468,0.008131,0.008325,21,"74,938"
"Nov 13, 2017",0.007339,0.008475,0.007281,0.008211,27,"66,830"
"Nov 12, 2017",0.009160,0.009228,0.007077,0.007328,20,"83,419"
"Nov 11, 2017",0.008810,0.010483,0.008800,0.009167,22,"80,233"
"Nov 10, 2017",0.010693,0.011002,0.008645,0.008842,24,"97,381"
"Nov 09, 2017",0.014935,0.014935,0.010626,0.010662,50,"136,007"
"Nov 08, 2017",0.014303,0.015686,0.013856,0.014950,4,"130,257"
"Nov 07, 2017",0.013988,0.014500,0.013988,0.014349,86,"127,381"
"Nov 06, 2017",0.014861,0.015751,0.013959,0.014010,94,"135,332"
"Nov 05, 2017",0.014901,0.015299,0.014664,0.014828,187,"135,700"
"Nov 04, 2017",0.014549,0.015250,0.014215,0.014929,34,"132,492"
"Nov 03, 2017",0.014187,0.015082,0.014029,0.014587,122,"129,197"
"Nov 02, 2017",0.011366,0.014337,0.011366,0.014206,16,"103,509"
"Nov 01, 2017",0.015522,0.015859,0.011115,0.011354,19,"141,353"
"Oct 31, 2017",0.012868,0.015533,0.012557,0.015533,183,"117,189"
"Oct 30, 2017",0.012594,0.013104,0.012452,0.012912,35,"114,689"
"Oct 29, 2017",0.013423,0.015855,0.012653,0.012667,41,"122,238"
"Oct 28, 2017",0.013141,0.013385,0.013070,0.013103,1,"119,668"
"Oct 27, 2017",0.011891,0.013501,0.011881,0.013105,1,"108,291"
"Oct 26, 2017",0.011641,0.013585,0.011571,0.011889,106,"106,009"
"Oct 25, 2017",0.012526,0.012779,0.011168,0.011642,1,"114,076"
"Oct 24, 2017",0.011848,0.012575,0.011241,0.012521,4,"107,900"
