Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.230291,0.244969,0.212334,0.222785,"1,017,260","2,763,500"
"Dec 15, 2017",0.261587,0.267433,0.194793,0.229263,"1,496,940","3,139,040"
"Dec 14, 2017",0.304584,0.316561,0.243600,0.260863,"2,132,470","3,655,010"
"Dec 13, 2017",0.224243,0.322950,0.199897,0.312136,"3,834,930","2,690,910"
"Dec 12, 2017",0.242785,0.258122,0.205716,0.220948,"1,649,260","2,913,410"
"Dec 11, 2017",0.148201,0.268366,0.146834,0.228917,"1,464,370","1,778,410"
"Dec 10, 2017",0.168871,0.169335,0.145315,0.145900,"178,679","2,026,460"
"Dec 09, 2017",0.167192,0.188295,0.149663,0.168190,"360,732","2,006,310"
"Dec 08, 2017",0.149777,0.191853,0.120129,0.168663,"960,551","1,797,320"
"Dec 07, 2017",0.131727,0.210861,0.114566,0.155659,"741,470","1,580,720"
"Dec 06, 2017",0.137835,0.147021,0.123181,0.131954,"169,122","1,654,020"
"Dec 05, 2017",0.146636,0.148817,0.132244,0.138141,"388,801","1,759,630"
"Dec 04, 2017",0.124784,0.168886,0.124784,0.146348,"478,077","1,497,400"
"Dec 03, 2017",0.117734,0.148622,0.117734,0.125604,"267,640","1,412,810"
"Dec 02, 2017",0.112762,0.126033,0.109993,0.117622,"102,489","1,353,140"
"Dec 01, 2017",0.104228,0.125207,0.096385,0.111333,"100,729","1,250,730"
"Nov 30, 2017",0.110769,0.121267,0.094320,0.104747,"59,801","1,329,230"
"Nov 29, 2017",0.125986,0.138182,0.104338,0.106674,"97,770","1,511,830"
"Nov 28, 2017",0.121357,0.129285,0.120133,0.126111,"78,660","1,456,280"
"Nov 27, 2017",0.125323,0.130129,0.119162,0.120654,"127,350","1,503,870"
"Nov 26, 2017",0.121573,0.130986,0.119304,0.125299,"50,337","1,458,880"
"Nov 25, 2017",0.110835,0.122045,0.108988,0.121614,"90,635","1,330,010"
"Nov 24, 2017",0.107134,0.114231,0.103728,0.111059,"55,893","1,285,610"
"Nov 23, 2017",0.107339,0.118588,0.104354,0.107280,"243,872","1,288,060"
"Nov 22, 2017",0.109459,0.123321,0.100357,0.107373,"343,909","1,313,510"
"Nov 21, 2017",0.103842,0.133067,0.093441,0.109194,"377,316","1,246,110"
"Nov 20, 2017",0.105208,0.110815,0.102446,0.103988,"43,411","1,262,490"
"Nov 19, 2017",0.104812,0.108816,0.101748,0.104130,"19,451","1,257,740"
"Nov 18, 2017",0.104309,0.109264,0.099451,0.105007,"59,453","1,251,710"
"Nov 17, 2017",0.113983,0.116505,0.103709,0.104170,"63,825","1,367,800"
"Nov 16, 2017",0.117214,0.127222,0.108724,0.113699,"323,308","1,406,570"
"Nov 15, 2017",0.097786,0.124046,0.096768,0.109847,"307,162","1,173,430"
"Nov 14, 2017",0.095742,0.099771,0.092672,0.097719,"40,073","1,148,910"
"Nov 13, 2017",0.084481,0.098869,0.083240,0.095540,"61,060","1,013,770"
"Nov 12, 2017",0.096181,0.096181,0.077517,0.083303,"82,558","1,154,170"
"Nov 11, 2017",0.101647,0.108416,0.093412,0.096252,"64,583","1,219,770"
"Nov 10, 2017",0.126537,0.129439,0.097290,0.101944,"100,002","1,518,450"
"Nov 09, 2017",0.112833,0.134344,0.108746,0.125239,"392,783","1,353,990"
"Nov 08, 2017",0.102828,0.125711,0.100942,0.109735,"248,015","1,233,940"
"Nov 07, 2017",0.102436,0.109910,0.095189,0.101010,"66,792","1,229,230"
"Nov 06, 2017",0.103211,0.110973,0.101768,0.102601,"63,990","1,238,540"
"Nov 05, 2017",0.101136,0.114258,0.100520,0.102983,"57,150","1,213,630"
"Nov 04, 2017",0.094317,0.113233,0.085714,0.101328,"170,711","1,131,800"
"Nov 03, 2017",0.106894,0.114497,0.092930,0.094562,"130,139","1,282,730"
"Nov 02, 2017",0.127776,0.128360,0.100656,0.106964,"129,687","1,533,320"
"Nov 01, 2017",0.141766,0.147772,0.118598,0.123131,"135,550","1,701,200"
"Oct 31, 2017",0.137937,0.145443,0.132851,0.141870,"111,878","1,655,240"
"Oct 30, 2017",0.132374,0.146717,0.130601,0.140128,"166,771","1,588,490"
"Oct 29, 2017",0.136382,0.146049,0.131326,0.133147,"149,696","1,636,580"
"Oct 28, 2017",0.145699,0.155223,0.133588,0.136913,"143,372","1,748,390"
"Oct 27, 2017",0.136221,0.162807,0.133410,0.145303,"253,280","1,634,650"
"Oct 26, 2017",0.146858,0.150948,0.129726,0.136424,"127,782","1,762,290"
"Oct 25, 2017",0.154016,0.154817,0.138025,0.147334,"193,267","1,848,190"
"Oct 24, 2017",0.129277,0.171492,0.126679,0.151582,"413,866","1,551,330"
"Oct 23, 2017",0.166942,0.177725,0.122511,0.129680,"279,868","2,003,300"
"Oct 22, 2017",0.163573,0.173563,0.156622,0.172242,"89,201","1,962,870"
"Oct 21, 2017",0.152170,0.187194,0.145919,0.165267,"264,204","1,826,040"
"Oct 20, 2017",0.157845,0.167268,0.136099,0.152010,"248,120","1,894,150"
"Oct 19, 2017",0.149627,0.190244,0.144427,0.157801,"695,184","1,795,520"
"Oct 18, 2017",0.138114,0.153435,0.122799,0.149549,"319,958","1,657,370"
"Oct 17, 2017",0.142569,0.146103,0.137931,0.140233,"88,646","1,710,830"
"Oct 16, 2017",0.130857,0.157770,0.130498,0.144685,"291,095","1,570,280"
"Oct 15, 2017",0.134520,0.144856,0.120843,0.130896,"130,193",-
"Oct 14, 2017",0.139186,0.139186,0.119553,0.134339,"130,261",-
"Oct 13, 2017",0.145267,0.162308,0.121024,0.139262,"271,901",-
