Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.552807,0.706245,0.515992,0.610151,"209,712","10,446,500"
"Dec 15, 2017",0.476606,0.684679,0.451587,0.551340,"251,868","9,006,490"
"Dec 14, 2017",0.543237,0.543237,0.419098,0.473823,"75,656","10,265,600"
"Dec 13, 2017",0.498036,0.547252,0.401146,0.506090,"102,791","9,411,460"
"Dec 12, 2017",0.404956,0.497915,0.339796,0.497915,"167,914","7,652,510"
"Dec 11, 2017",0.571062,0.571984,0.401292,0.438190,"233,282","10,791,400"
"Dec 10, 2017",0.706006,0.738016,0.449929,0.570115,"385,539","13,341,500"
"Dec 09, 2017",0.397043,0.740368,0.347443,0.687611,"762,978","7,502,980"
"Dec 08, 2017",0.234343,0.401395,0.201542,0.368178,"227,888","4,428,420"
"Dec 07, 2017",0.179484,0.235845,0.165160,0.232426,"65,696","3,391,730"
"Dec 06, 2017",0.170731,0.196062,0.169440,0.178668,"79,533","3,226,320"
"Dec 05, 2017",0.174293,0.189814,0.166510,0.171053,"51,850","3,293,630"
"Dec 04, 2017",0.161088,0.177469,0.140706,0.174309,"77,846","3,044,090"
"Dec 03, 2017",0.151133,0.168531,0.147316,0.160587,"38,501","2,855,980"
"Dec 02, 2017",0.128348,0.158421,0.127549,0.151072,"28,500","2,425,420"
"Dec 01, 2017",0.135357,0.164042,0.124654,0.128390,"26,834","2,557,860"
"Nov 30, 2017",0.121469,0.138813,0.116193,0.135733,"18,255","2,295,420"
"Nov 29, 2017",0.153435,0.173188,0.112268,0.119991,"30,645","2,899,480"
"Nov 28, 2017",0.167837,0.176046,0.153172,0.153391,"41,878","3,171,630"
"Nov 27, 2017",0.173930,0.186206,0.151142,0.167962,"71,625","3,286,790"
"Nov 26, 2017",0.125198,0.201143,0.117280,0.173694,"107,521","2,365,880"
"Nov 25, 2017",0.109859,0.139011,0.099996,0.125206,"32,002","2,076,030"
"Nov 24, 2017",0.106583,0.116086,0.099266,0.106286,"23,136","2,014,110"
"Nov 23, 2017",0.119906,0.127339,0.105588,0.106945,"17,625","2,265,880"
"Nov 22, 2017",0.093944,0.119725,0.093395,0.119725,"8,319","1,775,260"
"Nov 21, 2017",0.102601,0.113798,0.093649,0.093806,"9,534","1,938,850"
"Nov 20, 2017",0.114692,0.154810,0.100525,0.102722,"35,154","2,167,350"
"Nov 19, 2017",0.096692,0.128726,0.084352,0.114779,"27,575","1,827,200"
"Nov 18, 2017",0.101762,0.119637,0.085339,0.096908,"26,150","1,923,010"
"Nov 17, 2017",0.116781,0.136756,0.093954,0.105053,"24,662","2,206,830"
"Nov 16, 2017",0.113748,0.150384,0.113748,0.116875,"23,945","2,149,510"
"Nov 15, 2017",0.150248,0.159716,0.109721,0.113684,"41,527","2,839,260"
"Nov 14, 2017",0.121445,0.200895,0.121445,0.150166,"104,073","2,294,960"
"Nov 13, 2017",0.069538,0.121511,0.062010,0.121451,"17,799","1,314,060"
"Nov 12, 2017",0.083079,0.096419,0.069417,0.069427,"12,777","1,569,950"
"Nov 11, 2017",0.087041,0.105189,0.080112,0.083073,"30,157","1,644,830"
"Nov 10, 2017",0.100476,0.103268,0.082898,0.087291,"19,785","1,898,710"
"Nov 09, 2017",0.097897,0.112894,0.086982,0.100398,"18,025","1,849,970"
"Nov 08, 2017",0.094227,0.105662,0.070673,0.098366,"15,266","1,780,620"
"Nov 07, 2017",0.094579,0.108939,0.084730,0.094308,"11,018",-
"Nov 06, 2017",0.105105,0.125481,0.094545,0.094545,"15,201",-
"Nov 05, 2017",0.113212,0.129396,0.100502,0.105014,"7,805",-
"Nov 04, 2017",0.118282,0.133172,0.079097,0.113091,"22,694",-
"Nov 03, 2017",0.129797,0.137299,0.080454,0.118290,"20,312",-
"Nov 02, 2017",0.149904,0.166437,0.049956,0.129163,"74,275",-
"Nov 01, 2017",0.214906,0.217518,0.113157,0.149489,"27,193",-
"Oct 31, 2017",0.214710,0.229896,0.214710,0.215303,"50,199",-
