Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.132386,0.145722,0.115644,0.134641,"3,324","152,370"
"Dec 15, 2017",0.145711,0.159447,0.121800,0.132205,"3,257","167,701"
"Dec 14, 2017",0.159813,0.162139,0.135347,0.145492,"3,175","183,904"
"Dec 13, 2017",0.151610,0.168652,0.137159,0.160307,"3,128","174,462"
"Dec 12, 2017",0.166853,0.170739,0.143915,0.151470,"4,500","191,995"
"Dec 11, 2017",0.159747,0.195379,0.159049,0.166320,"14,121","183,813"
"Dec 10, 2017",0.262350,0.262350,0.160909,0.160909,"22,121","301,859"
"Dec 09, 2017",0.259952,0.288706,0.234228,0.261297,"6,022","299,080"
"Dec 08, 2017",0.255511,0.303581,0.203880,0.260215,"6,693","293,956"
"Dec 07, 2017",0.270320,0.300579,0.181291,0.255117,"14,752","310,985"
"Dec 06, 2017",0.226353,0.287588,0.226353,0.270785,"26,495","260,404"
"Dec 05, 2017",0.275736,0.287223,0.225930,0.227184,"13,941","317,216"
"Dec 04, 2017",0.275323,0.327447,0.246117,0.275188,"11,400","316,740"
"Dec 03, 2017",0.404810,0.417528,0.242374,0.274414,"15,914","465,704"
"Dec 02, 2017",0.449497,0.464311,0.368784,0.404423,"7,376","517,111"
"Dec 01, 2017",0.566864,0.568319,0.334430,0.449879,"24,829","652,131"
"Nov 30, 2017",0.686895,0.746290,0.513157,0.569687,"34,224","790,209"
"Nov 29, 2017",0.673094,0.799678,0.567781,0.676310,"116,892","774,330"
"Nov 28, 2017",0.642044,0.697495,0.592439,0.673764,"49,048","738,598"
"Nov 27, 2017",0.689619,0.737749,0.570981,0.640385,"76,578","726,654"
"Nov 26, 2017",0.415523,0.757043,0.409829,0.691289,"115,903","437,837"
"Nov 25, 2017",0.386339,0.415666,0.377060,0.415666,"13,267","407,077"
"Nov 24, 2017",0.293167,0.387120,0.289925,0.387120,"20,921","308,904"
"Nov 23, 2017",0.287839,0.302519,0.284473,0.293568,"27,110","303,276"
"Nov 22, 2017",0.259551,0.296004,0.250641,0.287931,"31,973","273,470"
"Nov 21, 2017",0.250539,0.266032,0.232327,0.258922,"18,805","263,969"
"Nov 20, 2017",0.238193,0.280612,0.225816,0.246515,"10,996","250,954"
"Nov 19, 2017",0.189080,0.287537,0.167789,0.238304,"27,566","199,209"
"Nov 18, 2017",0.196884,0.197960,0.162353,0.189382,"5,912","207,410"
"Nov 17, 2017",0.207023,0.253584,0.182022,0.198527,"39,021","218,092"
"Nov 16, 2017",0.152175,0.223240,0.150663,0.203138,"30,630","160,311"
"Nov 15, 2017",0.152058,0.199708,0.143862,0.151382,"21,299","160,186"
"Nov 14, 2017",0.130334,0.226923,0.127003,0.151954,"10,648","137,299"
"Nov 13, 2017",0.139229,0.156352,0.125664,0.130058,"2,897","146,669"
"Nov 12, 2017",0.131882,0.141790,0.107391,0.139026,"5,215","138,927"
"Nov 11, 2017",0.191276,0.193661,0.131852,0.131979,"10,296","201,471"
"Nov 10, 2017",0.253641,0.261933,0.119558,0.191941,"24,416","267,150"
"Nov 09, 2017",0.154577,0.256295,0.150890,0.252891,"46,083","162,799"
"Nov 08, 2017",0.151122,0.171906,0.142079,0.154737,"16,542","157,759"
"Nov 07, 2017",0.119207,0.151598,0.119207,0.151598,"6,676","124,429"
"Nov 06, 2017",0.126164,0.138979,0.110519,0.119399,"9,733","131,671"
"Nov 05, 2017",0.106626,0.148759,0.098339,0.125885,"6,457","111,249"
"Nov 04, 2017",0.086905,0.109314,0.077201,0.106828,939,"90,660"
"Nov 03, 2017",0.072358,0.088380,0.071447,0.087132,"1,553","75,474"
"Nov 02, 2017",0.078523,0.120480,0.069716,0.072452,"9,896","81,894"
"Nov 01, 2017",0.071938,0.079948,0.071084,0.078436,60,"75,009"
"Oct 31, 2017",0.068733,0.083647,0.068733,0.071991,232,"71,657"
"Oct 30, 2017",0.086668,0.086738,0.067071,0.068967,115,"90,346"
"Oct 29, 2017",0.074881,0.088607,0.074682,0.087175,91,"78,049"
"Oct 28, 2017",0.077246,0.078681,0.073656,0.074984,88,"80,500"
"Oct 27, 2017",0.077930,0.079380,0.071030,0.077036,212,"81,203"
"Oct 26, 2017",0.081856,0.085846,0.076138,0.077912,36,"85,285"
"Oct 25, 2017",0.074479,0.082035,0.072649,0.081865,55,"77,590"
"Oct 24, 2017",0.099316,0.099316,0.071716,0.074449,340,"103,448"
"Oct 23, 2017",0.066094,0.099700,0.062834,0.099535,"1,864","68,835"
"Oct 22, 2017",0.070265,0.072369,0.042205,0.066200,964,"73,170"
"Oct 21, 2017",0.094632,0.095885,0.061618,0.070243,829,"98,533"
"Oct 20, 2017",0.095842,0.105232,0.091495,0.094831,385,"99,777"
"Oct 19, 2017",0.096946,0.098229,0.094889,0.095815,277,"100,919"
"Oct 18, 2017",0.096979,0.099964,0.078766,0.096895,108,"100,942"
"Oct 17, 2017",0.095957,0.108283,0.091457,0.096973,264,"99,867"
"Oct 16, 2017",0.102099,0.103952,0.093410,0.095942,351,"106,237"
"Oct 15, 2017",0.105493,0.111993,0.098713,0.102085,99,"109,759"
"Oct 14, 2017",0.100561,0.110572,0.099619,0.105305,640,"104,614"
"Oct 13, 2017",0.096931,0.110307,0.096311,0.100533,"1,028","100,826"
"Oct 12, 2017",0.087906,0.100171,0.087670,0.096633,"1,224","91,431"
"Oct 11, 2017",0.079691,0.091137,0.074304,0.087831,"1,377","82,878"
"Oct 10, 2017",0.094921,0.111590,0.079122,0.079705,807,"98,706"
"Oct 09, 2017",0.102836,0.114584,0.094425,0.095026,"1,416","106,928"
"Oct 08, 2017",0.116834,0.123026,0.080697,0.108131,"3,116","121,471"
"Oct 07, 2017",0.116476,0.120581,0.114010,0.117148,"1,424","121,082"
"Oct 06, 2017",0.129754,0.161962,0.109429,0.116439,"10,627","134,869"
"Oct 05, 2017",0.107576,0.144489,0.104230,0.129755,"34,190","111,807"
"Oct 04, 2017",0.136008,0.137825,0.105490,0.107479,"1,635","141,330"
"Oct 03, 2017",0.142891,0.164356,0.099716,0.135693,"32,238","148,466"
"Oct 02, 2017",0.198670,0.201933,0.081137,0.146760,"14,295","206,406"
"Oct 01, 2017",0.170733,0.198757,0.157906,0.198757,"1,474","177,363"
"Sep 30, 2017",0.175917,0.184885,0.161631,0.170635,"1,813","182,729"
"Sep 29, 2017",0.192738,0.210233,0.092337,0.175895,"67,927","200,183"
"Sep 28, 2017",0.168584,0.232756,0.166266,0.181264,"24,104","175,079"
"Sep 27, 2017",0.153809,0.180582,0.143748,0.168577,"15,571","159,715"
"Sep 26, 2017",0.143511,0.198827,0.138333,0.154239,"5,185","149,008"
"Sep 25, 2017",0.107404,0.144283,0.107364,0.143525,"14,415","111,509"
"Sep 24, 2017",0.093906,0.124682,0.091165,0.107513,"23,473","97,485"
"Sep 23, 2017",0.072362,0.110605,0.071667,0.093913,"2,506","75,114"
"Sep 22, 2017",0.061019,0.092792,0.060964,0.072567,"8,645","63,336"
"Sep 21, 2017",0.074262,0.092152,0.061191,0.072501,"9,639","77,062"
"Sep 20, 2017",0.063682,0.080262,0.063342,0.074629,"1,559","66,078"
"Sep 19, 2017",0.060539,0.085944,0.055724,0.063767,"41,685","62,813"
"Sep 18, 2017",0.050933,0.063114,0.050933,0.062645,577,"52,843"
"Sep 17, 2017",0.055452,0.056602,0.050884,0.051034,"1,027","57,526"
"Sep 16, 2017",0.056442,0.059236,0.047848,0.055490,580,"58,548"
"Sep 15, 2017",0.046684,0.058088,0.042772,0.056589,383,"48,422"
"Sep 14, 2017",0.061821,0.062642,0.046323,0.046323,397,"64,118"
"Sep 13, 2017",0.060350,0.070568,0.056788,0.061817,842,"62,588"
"Sep 12, 2017",0.060022,0.065941,0.056821,0.060330,"2,066","62,247"
"Sep 11, 2017",0.062499,0.064851,0.051904,0.060041,"1,753","64,814"
"Sep 10, 2017",0.066013,0.073208,0.061149,0.062302,958,"68,454"
"Sep 09, 2017",0.063429,0.073108,0.059507,0.065943,"3,543","65,772"
"Sep 08, 2017",0.069560,0.073464,0.058016,0.063306,"4,062","72,127"
