Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.067162,0.085502,0.060046,0.081641,347,-
"Dec 15, 2017",0.064506,0.067420,0.056612,0.067088,299,-
"Dec 14, 2017",0.113201,0.115252,0.064271,0.064409,"5,817",-
"Dec 13, 2017",0.074755,0.077243,0.061575,0.067057,84,-
"Dec 12, 2017",0.073465,0.082651,0.065729,0.074608,144,-
"Dec 11, 2017",0.057261,0.075817,0.057012,0.073255,155,-
"Dec 10, 2017",0.070358,0.070358,0.048160,0.057680,355,-
"Dec 09, 2017",0.060687,0.106402,0.050553,0.070074,"5,887",-
"Dec 08, 2017",0.066097,0.071434,0.052055,0.060745,171,-
"Dec 07, 2017",0.054636,0.509317,0.054224,0.065962,"16,648",-
"Dec 06, 2017",0.046505,0.056338,0.046505,0.054730,833,-
"Dec 05, 2017",0.049713,0.050311,0.046545,0.046608,347,-
"Dec 04, 2017",0.058256,0.060140,0.048897,0.049611,178,-
"Dec 03, 2017",0.062123,0.076114,0.052091,0.058056,123,-
"Dec 02, 2017",0.052997,0.062436,0.052997,0.061728,239,-
"Dec 01, 2017",0.059728,0.062938,0.045376,0.053372,105,-
"Nov 30, 2017",0.044975,0.061486,0.042433,0.060025,82,-
"Nov 29, 2017",0.046340,0.055512,0.040414,0.044311,263,-
"Nov 28, 2017",0.034144,0.046359,0.034041,0.046347,240,-
"Nov 27, 2017",0.047918,0.048924,0.032208,0.034056,281,-
"Nov 26, 2017",0.041233,0.053402,0.041230,0.046852,143,-
"Nov 25, 2017",0.044804,0.044877,0.037319,0.041247,81,-
"Nov 24, 2017",0.035986,0.159641,0.035528,0.044895,"5,324",-
"Nov 23, 2017",0.040190,0.043810,0.031865,0.036398,"1,509",-
"Nov 22, 2017",0.040096,0.051657,0.037434,0.040252,402,-
"Nov 21, 2017",0.052895,0.053017,0.036268,0.039999,166,-
"Nov 20, 2017",0.037559,0.053173,0.036880,0.052886,124,-
"Nov 19, 2017",0.039996,0.040054,0.035263,0.037631,45,-
"Nov 18, 2017",0.039930,0.041502,0.038711,0.040004,20,-
"Nov 17, 2017",0.044056,0.054314,0.039188,0.040082,20,-
"Nov 16, 2017",0.035257,0.044927,0.034468,0.044177,44,-
"Nov 15, 2017",0.033101,0.039668,0.033101,0.035074,36,-
"Nov 14, 2017",0.031496,0.033205,0.030662,0.033078,16,-
"Nov 13, 2017",0.030476,0.033566,0.029064,0.031429,56,-
"Nov 12, 2017",0.035598,0.035778,0.026419,0.030413,59,-
"Nov 11, 2017",0.039965,0.040827,0.032083,0.035623,62,-
"Nov 10, 2017",0.038257,0.044680,0.034007,0.040110,41,-
"Nov 09, 2017",0.037203,0.041592,0.035264,0.038144,11,-
"Nov 08, 2017",0.045965,0.047762,0.033512,0.037241,92,-
"Nov 07, 2017",0.040135,0.049376,0.040135,0.046110,12,-
"Nov 06, 2017",0.032301,0.043022,0.031070,0.040200,78,-
"Nov 05, 2017",0.050190,0.051581,0.031873,0.032230,30,-
"Nov 04, 2017",0.037471,0.051430,0.032328,0.050285,279,-
"Nov 03, 2017",0.029687,0.037737,0.029157,0.037569,60,-
"Nov 02, 2017",0.038612,0.039764,0.028900,0.029726,521,-
"Nov 01, 2017",0.048342,0.048358,0.037605,0.038569,930,-
"Oct 31, 2017",0.043101,0.048378,0.037188,0.048378,159,-
"Oct 30, 2017",0.058190,0.061186,0.028240,0.043248,12,-
"Oct 29, 2017",0.042770,0.059163,0.035602,0.058530,81,-
"Oct 28, 2017",0.034801,0.043089,0.034801,0.042829,45,-
"Oct 27, 2017",0.061954,0.063402,0.033593,0.034706,91,-
"Oct 26, 2017",0.038822,0.063126,0.038603,0.063126,1,-
"Oct 25, 2017",0.037808,0.038971,0.034228,0.038826,12,-
"Oct 24, 2017",0.030638,0.039148,0.029833,0.037789,286,-
"Oct 23, 2017",0.037060,0.037072,0.029851,0.030707,97,-
"Oct 22, 2017",0.037010,0.037333,0.027147,0.037122,142,-
"Oct 21, 2017",0.038729,0.039293,0.030165,0.036999,39,-
"Oct 20, 2017",0.046441,0.046588,0.035039,0.038811,81,-
"Oct 19, 2017",0.035632,0.046729,0.030606,0.046428,47,-
"Oct 18, 2017",0.035127,0.047207,0.028686,0.035614,188,-
"Oct 17, 2017",0.028856,0.035205,0.028727,0.035125,183,-
"Oct 16, 2017",0.036500,0.037359,0.028239,0.028852,41,-
"Oct 15, 2017",0.035166,0.036865,0.032787,0.036495,6,-
"Oct 14, 2017",0.034573,0.035799,0.034209,0.035103,20,-
"Oct 13, 2017",0.036963,0.039928,0.020562,0.034563,434,-
"Oct 12, 2017",0.034338,0.040687,0.033081,0.036850,73,-
"Oct 11, 2017",0.032148,0.045580,0.031892,0.034309,37,-
"Oct 10, 2017",0.032891,0.047919,0.031898,0.032153,398,-
"Oct 09, 2017",0.042842,0.048212,0.032740,0.032893,529,-
"Oct 08, 2017",0.037060,0.043380,0.032057,0.042831,143,-
"Oct 07, 2017",0.023210,0.037247,0.022584,0.037159,256,-
"Oct 06, 2017",0.038904,0.040878,0.022160,0.023202,7,-
"Oct 05, 2017",0.039587,0.039969,0.029990,0.038904,29,-
"Oct 04, 2017",0.044492,0.044686,0.035549,0.039552,675,-
"Oct 03, 2017",0.026465,0.044425,0.025881,0.044390,"1,146",-
"Oct 02, 2017",0.066752,0.127285,0.024515,0.026464,42,-
"Oct 01, 2017",0.034729,0.073947,0.026252,0.066685,156,-
"Sep 30, 2017",0.102018,0.102078,0.033807,0.034710,369,-
"Sep 29, 2017",0.017225,0.104073,0.012063,0.102207,"40,926",-
"Sep 28, 2017",0.018207,0.020103,0.015447,0.017234,17,-
"Sep 27, 2017",0.013429,0.018332,0.013429,0.018274,3,-
"Sep 26, 2017",0.018900,0.018933,0.013435,0.013439,573,-
"Sep 25, 2017",0.014331,0.018988,0.013413,0.018878,57,-
"Sep 24, 2017",0.007886,0.016350,0.007882,0.014353,262,-
"Sep 23, 2017",0.014904,0.016335,0.007103,0.007884,"1,309",-
"Sep 22, 2017",0.008501,0.016408,0.008499,0.014946,11,-
"Sep 21, 2017",0.014087,0.016593,0.008316,0.008506,123,-
"Sep 20, 2017",0.009187,0.014111,0.008336,0.014111,368,-
"Sep 19, 2017",0.017115,0.017128,0.009192,0.009192,928,-
"Sep 18, 2017",0.020679,0.022312,0.016913,0.017094,103,-
"Sep 17, 2017",0.021062,0.027788,0.020445,0.020708,189,-
"Sep 16, 2017",0.008770,0.021199,0.007729,0.021078,157,-
"Sep 15, 2017",0.014601,0.017676,0.008606,0.008788,"1,099",-
"Sep 14, 2017",0.017281,0.020214,0.013010,0.014490,395,-
"Sep 13, 2017",0.020097,0.021082,0.013568,0.017282,112,-
"Sep 12, 2017",0.018735,0.022518,0.017440,0.020152,162,-
"Sep 11, 2017",0.019907,0.019907,0.018545,0.018733,350,-
"Sep 10, 2017",0.015516,0.026080,0.015516,0.019940,243,-
"Sep 09, 2017",0.013859,0.018744,0.013290,0.015521,654,-
"Sep 08, 2017",0.023616,0.023657,0.013725,0.013848,409,-
"Sep 07, 2017",0.023655,0.029275,0.017538,0.023616,605,-
"Sep 06, 2017",0.023764,0.023821,0.023596,0.023680,74,-
"Sep 05, 2017",0.024148,0.024739,0.018798,0.023758,319,-
"Sep 04, 2017",0.032701,0.032759,0.023952,0.024136,839,-
"Sep 03, 2017",0.024581,0.032017,0.024253,0.031908,566,-
"Sep 02, 2017",0.029743,0.030541,0.024147,0.024574,100,-
"Sep 01, 2017",0.025627,0.030853,0.025514,0.030530,114,-
"Aug 31, 2017",0.028879,0.031800,0.021962,0.025537,"1,533",-
"Aug 30, 2017",0.026675,0.031314,0.022586,0.029263,130,-
"Aug 29, 2017",0.021318,0.031533,0.020939,0.026692,754,-
"Aug 28, 2017",0.035527,0.035527,0.020680,0.022024,947,-
"Aug 27, 2017",0.057123,0.057811,0.022372,0.035931,"1,039",-
"Aug 26, 2017",0.066239,0.080584,0.038539,0.057136,618,-
"Aug 25, 2017",0.021507,0.073392,0.016047,0.066174,"12,547",-
"Aug 24, 2017",0.015451,0.021518,0.015383,0.021511,688,-
"Aug 23, 2017",0.015289,0.015541,0.015054,0.015441,636,-
"Aug 22, 2017",0.016300,0.016300,0.015222,0.015285,186,-
"Aug 21, 2017",0.016011,0.020434,0.015730,0.016285,405,-
"Aug 20, 2017",0.018816,0.019549,0.015365,0.016026,257,-
"Aug 19, 2017",0.015001,0.019042,0.013476,0.018822,"1,033",-
"Aug 18, 2017",0.020341,0.020355,0.004663,0.014987,"2,596",-
"Aug 17, 2017",0.019376,0.022600,0.019355,0.020359,306,-
"Aug 16, 2017",0.019930,0.026819,0.019203,0.019363,657,-
"Aug 15, 2017",0.022627,0.022640,0.018632,0.019941,113,-
"Aug 14, 2017",0.027014,0.027631,0.018216,0.022637,240,-
"Aug 13, 2017",0.028435,0.030095,0.017211,0.027014,"1,831",-
"Aug 12, 2017",0.016252,0.030495,0.016122,0.028436,"8,636",-
"Aug 11, 2017",0.013152,0.022197,0.012490,0.016249,"1,001",-
"Aug 10, 2017",0.009816,0.013664,0.009816,0.013130,712,-
"Aug 09, 2017",0.016601,0.016601,0.008257,0.009801,"3,348",-
"Aug 08, 2017",0.023363,0.030112,0.016615,0.016615,"1,826",-
"Aug 07, 2017",0.023591,0.024532,0.019018,0.023358,269,-
"Aug 06, 2017",0.025822,0.026300,0.022481,0.023627,118,-
"Aug 05, 2017",0.022891,0.028689,0.020976,0.025818,207,-
"Aug 04, 2017",0.019927,0.022912,0.018988,0.022900,377,-
"Aug 03, 2017",0.017773,0.020019,0.017526,0.019932,54,-
"Aug 02, 2017",0.023532,0.023992,0.013341,0.017771,"1,776",-
"Aug 01, 2017",0.020466,0.024542,0.020398,0.023534,54,-
"Jul 31, 2017",0.024529,0.025327,0.018692,0.020456,"2,214",-
"Jul 30, 2017",0.022622,0.024545,0.022432,0.024538,632,-
"Jul 29, 2017",0.031719,0.032892,0.022600,0.022623,"1,033",-
"Jul 28, 2017",0.029352,0.031921,0.024094,0.031811,"1,475",-
"Jul 27, 2017",0.031417,0.032631,0.027703,0.029145,650,-
"Jul 26, 2017",0.027783,0.034773,0.026624,0.031401,"1,867",-
"Jul 25, 2017",0.031912,0.031912,0.027044,0.027780,"16,419",-
"Jul 24, 2017",0.037905,0.038189,0.030093,0.031915,"25,293",-
"Jul 23, 2017",0.036635,0.043325,0.032754,0.037772,"36,058",-
"Jul 22, 2017",0.132406,0.132406,0.032449,0.036636,"36,312",-
"Jul 21, 2017",0.033093,0.247986,0.024721,0.132414,"24,664",-
"Jul 20, 2017",0.030414,0.036767,0.029646,0.033051,"28,710",-
"Jul 19, 2017",0.026310,0.030760,0.024564,0.030398,"33,071",-
"Jul 18, 2017",0.016486,0.030157,0.016486,0.026269,"32,524",-
