Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.014613,0.014807,0.009260,0.014141,"1,777",-
"Dec 15, 2017",0.013884,0.024362,0.008351,0.014587,773,-
"Dec 14, 2017",0.016189,0.017361,0.013204,0.013871,304,-
"Dec 13, 2017",0.017283,0.025056,0.014893,0.016198,107,-
"Dec 12, 2017",0.020467,0.020684,0.013141,0.017271,513,-
"Dec 11, 2017",0.017385,0.020599,0.017365,0.020599,21,-
"Dec 10, 2017",0.021368,0.021368,0.009280,0.017366,641,-
"Dec 09, 2017",0.007695,0.023576,0.007695,0.021300,"2,003",-
"Dec 08, 2017",0.007183,0.007862,0.007006,0.007696,134,-
"Dec 07, 2017",0.007342,0.007366,0.006945,0.007173,123,-
"Dec 06, 2017",0.006868,0.006894,0.006662,0.006722,40,-
"Dec 05, 2017",0.007043,0.007062,0.006818,0.006880,41,-
"Dec 04, 2017",0.006960,0.009981,0.006826,0.007040,83,-
"Dec 03, 2017",0.010079,0.011009,0.008430,0.010538,586,-
"Dec 02, 2017",0.013347,0.013580,0.009017,0.010075,395,-
"Dec 01, 2017",0.008726,0.013486,0.008483,0.013348,886,-
"Nov 30, 2017",0.008565,0.009195,0.007933,0.008747,243,-
"Nov 29, 2017",0.013703,0.017939,0.008275,0.008457,490,-
"Nov 28, 2017",0.009525,0.013911,0.009525,0.013692,141,-
"Nov 27, 2017",0.013124,0.014061,0.009279,0.009538,"2,421",-
"Nov 26, 2017",0.010376,0.013487,0.009508,0.013127,198,-
"Nov 25, 2017",0.011280,0.011364,0.009318,0.010376,717,-
"Nov 24, 2017",0.011981,0.012184,0.009607,0.011282,25,-
"Nov 23, 2017",0.009130,0.012460,0.009015,0.012041,59,-
"Nov 22, 2017",0.002240,0.009147,0.002239,0.009109,717,-
"Nov 21, 2017",0.008087,0.008200,0.002223,0.002237,551,-
"Nov 20, 2017",0.007102,0.010851,0.007100,0.008100,42,-
"Nov 19, 2017",0.011436,0.011474,0.006955,0.007110,6,-
"Nov 18, 2017",0.011272,0.011521,0.010974,0.011466,"1,392",-
"Nov 17, 2017",0.006629,0.011626,0.006592,0.011289,121,-
"Nov 16, 2017",0.009269,0.012672,0.006588,0.006633,179,-
"Nov 15, 2017",0.016248,0.016480,0.009064,0.009276,500,-
"Nov 14, 2017",0.012606,0.016481,0.010021,0.016239,730,-
"Nov 13, 2017",0.012231,0.013707,0.012231,0.012606,253,-
"Nov 12, 2017",0.017044,0.017044,0.008659,0.012212,593,-
"Nov 11, 2017",0.008921,0.017215,0.006900,0.017042,"2,337",-
"Nov 10, 2017",0.010112,0.012468,0.005878,0.008947,478,-
"Nov 09, 2017",0.013544,0.013762,0.010035,0.010108,"4,661",-
"Nov 08, 2017",0.011798,0.014120,0.008973,0.013617,"4,718",-
"Nov 07, 2017",0.013112,0.015304,0.008964,0.011806,"5,857",-
"Nov 06, 2017",0.017070,0.017070,0.010711,0.013093,"9,579",-
"Nov 05, 2017",0.020188,0.020205,0.012834,0.017054,"1,823",-
"Nov 04, 2017",0.023175,0.027222,0.017995,0.020161,"16,037",-
"Nov 03, 2017",0.018502,0.029814,0.007736,0.023171,"13,491",-
"Nov 02, 2017",0.031617,0.031863,0.012897,0.018411,"9,875",-
"Nov 01, 2017",0.026091,0.034952,0.022920,0.031529,"15,274",-
