Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000017,0.000188,0.000017,0.000039,"7,210","382,334"
"Dec 15, 2017",0.000017,0.000018,0.000010,0.000017,"1,164","381,927"
"Dec 14, 2017",0.000016,0.000020,0.000016,0.000017,"2,830","358,616"
"Dec 13, 2017",0.000013,0.000095,0.000012,0.000016,"4,855","281,821"
"Dec 12, 2017",0.000016,0.000016,0.000013,0.000013,38,"357,584"
"Dec 11, 2017",0.000015,0.000099,0.000008,0.000016,160,"334,968"
"Dec 10, 2017",0.000015,0.000016,0.000013,0.000015,993,"330,478"
"Dec 09, 2017",0.000016,0.000023,0.000015,0.000015,496,"356,599"
"Dec 08, 2017",0.000018,0.000019,0.000015,0.000016,986,"403,688"
"Dec 07, 2017",0.000006,0.000020,0.000006,0.000019,645,"130,171"
"Dec 06, 2017",0.000005,0.000006,0.000003,0.000006,159,"115,955"
"Dec 05, 2017",0.000005,0.000006,0.000003,0.000005,77,"117,725"
"Dec 04, 2017",0.000053,0.000085,0.000005,0.000005,53,"1,162,360"
"Dec 03, 2017",0.000003,0.000053,0.000003,0.000053,25,"66,077"
"Dec 02, 2017",0.000011,0.000023,0.000003,0.000003,56,"243,166"
"Dec 01, 2017",0.000006,0.000011,0.000001,0.000011,183,"126,632"
"Nov 30, 2017",0.000003,0.000006,0.000003,0.000006,158,"69,809"
"Nov 29, 2017",0.000023,0.000025,0.000003,0.000003,210,"509,211"
"Nov 28, 2017",0.000004,0.000027,0.000004,0.000024,168,"90,037"
"Nov 27, 2017",0.000011,0.000011,0.000004,0.000004,56,"244,003"
"Nov 26, 2017",0.000005,0.000027,0.000005,0.000011,854,"105,716"
"Nov 25, 2017",0.000008,0.000055,0.000005,0.000005,612,"184,680"
"Nov 24, 2017",0.000010,0.000056,0.000006,0.000009,5,"223,078"
"Nov 23, 2017",0.000008,0.000019,0.000007,0.000011,382,"184,371"
"Nov 22, 2017",0.000006,0.000010,0.000005,0.000009,240,"140,763"
"Nov 21, 2017",0.000010,0.000010,0.000005,0.000006,587,"222,782"
"Nov 20, 2017",0.000011,0.000020,0.000009,0.000010,244,"245,795"
"Nov 19, 2017",0.000013,0.000014,0.000005,0.000011,194,"282,908"
"Nov 18, 2017",0.000009,0.000025,0.000005,0.000013,71,"201,194"
"Nov 17, 2017",0.000009,0.000028,0.000009,0.000009,167,"194,408"
"Nov 16, 2017",0.000031,0.000038,0.000007,0.000009,233,"673,664"
"Nov 15, 2017",0.000008,0.000033,0.000008,0.000031,39,"162,558"
"Nov 14, 2017",0.000024,0.000025,0.000007,0.000007,220,"526,834"
"Nov 13, 2017",0.000033,0.000048,0.000024,0.000024,562,"705,528"
"Nov 12, 2017",0.000019,0.000033,0.000006,0.000033,148,"408,617"
"Nov 11, 2017",0.000006,0.000019,0.000004,0.000019,29,"136,021"
"Nov 10, 2017",0.000006,0.000009,0.000006,0.000006,740,"127,793"
"Nov 09, 2017",0.000008,0.000012,0.000006,0.000006,73,"177,519"
"Nov 08, 2017",0.000010,0.000011,0.000006,0.000008,279,"208,453"
"Nov 07, 2017",0.000006,0.000010,0.000006,0.000010,131,"135,312"
"Nov 06, 2017",0.000006,0.000007,0.000005,0.000006,397,"125,370"
"Nov 05, 2017",0.000007,0.000007,0.000005,0.000006,772,"148,303"
