Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.118234,0.129545,0.093547,0.128530,"3,538","3,052,290"
"Dec 15, 2017",0.082938,0.119549,0.063753,0.118068,"4,849","2,140,760"
"Dec 14, 2017",0.057314,0.111180,0.056914,0.082814,"10,138","1,479,190"
"Dec 13, 2017",0.060466,0.061268,0.052589,0.057499,938,"1,560,350"
"Dec 12, 2017",0.069030,0.083102,0.060381,0.060415,"2,537","1,781,140"
"Dec 11, 2017",0.073186,0.081829,0.062745,0.068809,"2,149","1,888,070"
"Dec 10, 2017",0.075188,0.077287,0.052119,0.073718,"4,262","1,939,460"
"Dec 09, 2017",0.052044,0.076653,0.041329,0.074884,"2,718","1,342,300"
"Dec 08, 2017",0.079835,0.080862,0.040837,0.052097,"2,497","2,058,850"
"Dec 07, 2017",0.052196,0.079647,0.052016,0.079647,"5,224","1,345,860"
"Dec 06, 2017",0.046803,0.064175,0.040463,0.052286,"3,258","1,206,640"
"Dec 05, 2017",0.044294,0.058851,0.043972,0.046907,"2,301","1,141,800"
"Dec 04, 2017",0.056209,0.063417,0.037088,0.044207,"1,696","1,448,770"
"Dec 03, 2017",0.052472,0.061314,0.031578,0.056023,"3,033","1,352,260"
"Dec 02, 2017",0.048980,0.053025,0.041965,0.052422,"2,366","1,262,110"
"Dec 01, 2017",0.037974,0.049308,0.034315,0.049021,"1,948","978,376"
"Nov 30, 2017",0.036366,0.039558,0.029333,0.038163,"1,570","936,845"
"Nov 29, 2017",0.027798,0.038158,0.026955,0.035816,"3,452","716,046"
"Nov 28, 2017",0.025364,0.036723,0.025119,0.027826,848,"653,274"
"Nov 27, 2017",0.028885,0.032050,0.022596,0.025298,949,"743,887"
"Nov 26, 2017",0.025364,0.030450,0.025362,0.028879,512,"653,160"
"Nov 25, 2017",0.026272,0.026938,0.024778,0.025373,438,"676,457"
"Nov 24, 2017",0.029737,0.030854,0.023770,0.026325,188,"765,609"
"Nov 23, 2017",0.029611,0.030553,0.022775,0.029778,868,"762,273"
"Nov 22, 2017",0.038136,0.038430,0.025047,0.029620,305,"981,643"
"Nov 21, 2017",0.028845,0.040062,0.025232,0.038044,"3,208","742,384"
"Nov 20, 2017",0.020913,0.029778,0.020672,0.028840,855,"538,177"
"Nov 19, 2017",0.020246,0.024978,0.018522,0.020923,731,"520,959"
"Nov 18, 2017",0.023060,0.038153,0.015430,0.020284,"1,101","593,299"
"Nov 17, 2017",0.023534,0.051347,0.016020,0.023149,"1,167","605,406"
"Nov 16, 2017",0.024830,0.024830,0.012906,0.023573,"1,692","638,671"
"Nov 15, 2017",0.018513,0.044543,0.010238,0.024701,"2,188","476,102"
"Nov 14, 2017",0.018286,0.019716,0.009640,0.018500,848,"470,228"
"Nov 13, 2017",0.021722,0.023352,0.006470,0.018248,"1,314","558,507"
"Nov 12, 2017",0.059795,0.059795,0.012130,0.021690,"3,582","1,537,190"
"Nov 11, 2017",0.020382,0.202956,0.013188,0.059839,"5,067","523,858"
"Nov 10, 2017",0.007913,0.021490,0.007893,0.020455,"1,967","203,358"
"Nov 09, 2017",0.008289,0.008289,0.007826,0.007890,33,"212,993"
"Nov 08, 2017",0.009251,0.010588,0.007950,0.008297,98,"237,683"
"Nov 07, 2017",0.010021,0.010585,0.007786,0.009280,217,"257,430"
"Nov 06, 2017",0.008428,0.010987,0.008366,0.010037,441,"216,497"
"Nov 05, 2017",0.004869,0.014214,0.004820,0.008410,"1,759","125,041"
"Nov 04, 2017",0.005160,0.005252,0.004831,0.004878,24,"132,515"
"Nov 03, 2017",0.004987,0.005301,0.004931,0.005174,8,"128,042"
"Nov 02, 2017",0.007200,0.007388,0.004974,0.004993,156,"184,850"
"Nov 01, 2017",0.007411,0.007776,0.005417,0.007192,162,"190,244"
"Oct 31, 2017",0.004106,0.007416,0.004104,0.007416,86,"105,387"
"Oct 30, 2017",0.009605,0.009613,0.004069,0.004120,471,"246,517"
"Oct 29, 2017",0.005098,0.009863,0.005084,0.009661,16,"130,824"
"Oct 28, 2017",0.009221,0.009393,0.005056,0.005105,17,"236,617"
"Oct 27, 2017",0.004827,0.010527,0.004827,0.009196,738,"123,849"
"Oct 26, 2017",0.004702,0.004907,0.004671,0.004826,5,"120,630"
"Oct 25, 2017",0.004635,0.004703,0.003946,0.004703,15,"118,903"
"Oct 24, 2017",0.004692,0.004756,0.003895,0.004634,33,"120,356"
"Oct 23, 2017",0.003348,0.004796,0.003115,0.004703,29,"85,873"
"Oct 22, 2017",0.003849,0.004895,0.003276,0.003354,71,"98,694"
"Oct 21, 2017",0.003963,0.004059,0.003777,0.003848,24,"101,621"
"Oct 20, 2017",0.003879,0.004482,0.003854,0.003972,43,"99,384"
"Oct 19, 2017",0.003408,0.007196,0.003401,0.003878,256,"87,320"
"Oct 18, 2017",0.002912,0.007100,0.002729,0.003406,509,"74,616"
"Oct 17, 2017",0.003699,0.003709,0.002879,0.002912,72,"94,759"
"Oct 16, 2017",0.004041,0.004062,0.003571,0.003698,289,"103,538"
"Oct 15, 2017",0.004271,0.004285,0.003873,0.004041,11,"109,435"
"Oct 14, 2017",0.004185,0.004285,0.004139,0.004264,33,"107,226"
"Oct 13, 2017",0.004135,0.006897,0.004099,0.004184,67,"105,841"
"Oct 12, 2017",0.003620,0.004122,0.003610,0.004122,24,"92,652"
"Oct 11, 2017",0.003572,0.003656,0.003544,0.003617,1,"91,434"
"Oct 10, 2017",0.004643,0.004780,0.003547,0.003573,18,"118,835"
"Oct 09, 2017",0.004465,0.004724,0.003442,0.004643,21,"114,282"
"Oct 08, 2017",0.005821,0.005993,0.004455,0.004464,72,"149,002"
"Oct 07, 2017",0.005992,0.006009,0.005321,0.005837,260,"153,380"
"Oct 06, 2017",0.005318,0.006150,0.005307,0.005990,8,"136,127"
"Oct 05, 2017",0.005783,0.006168,0.005261,0.005318,535,"147,872"
