Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.481413,0.592519,0.395194,0.558328,"18,772","1,425,340"
"Dec 15, 2017",0.456805,0.543004,0.404509,0.480786,"26,523","1,338,600"
"Dec 14, 2017",0.523551,0.540242,0.432182,0.456107,"8,921","1,518,570"
"Dec 13, 2017",0.575409,0.598163,0.460393,0.525277,"18,280","1,652,200"
"Dec 12, 2017",0.641750,0.643287,0.530766,0.574929,"21,729","1,823,700"
"Dec 11, 2017",0.627732,0.728008,0.564622,0.639696,"30,104","1,764,960"
"Dec 10, 2017",0.637810,0.696492,0.528806,0.632297,"35,365","1,773,400"
"Dec 09, 2017",0.664896,0.691122,0.515280,0.635236,"37,226","1,828,960"
"Dec 08, 2017",0.671697,0.727806,0.530228,0.637790,"25,664","1,827,640"
"Dec 07, 2017",0.829859,0.900206,0.632638,0.734289,"44,941","2,232,360"
"Dec 06, 2017",0.875730,0.930749,0.599115,0.766751,"55,824","2,332,240"
"Dec 05, 2017",0.722805,1.02,0.717388,0.877675,"116,753","1,901,030"
"Dec 04, 2017",0.798166,0.819261,0.161495,0.721386,"44,339","2,076,620"
"Dec 03, 2017",0.787082,0.942383,0.750839,0.795529,"67,720","2,024,150"
"Dec 02, 2017",0.568381,1.04,0.567269,0.765908,"78,572","1,442,220"
"Dec 01, 2017",0.458682,0.568865,0.416252,0.568865,"31,025","1,149,710"
"Nov 30, 2017",0.422633,0.529256,0.367740,0.463276,"36,550","1,046,200"
"Nov 29, 2017",0.286918,0.521908,0.270095,0.416240,"74,945","700,508"
"Nov 28, 2017",0.278906,0.298050,0.265704,0.287204,"16,517","672,515"
"Nov 27, 2017",0.266020,0.293178,0.266020,0.278186,"11,947","633,189"
"Nov 26, 2017",0.245333,0.285558,0.245060,0.265969,"11,149","576,384"
"Nov 25, 2017",0.221669,0.258930,0.220499,0.245415,"8,347","513,830"
"Nov 24, 2017",0.221019,0.243012,0.218229,0.222118,"7,841","505,984"
"Nov 23, 2017",0.254981,0.254981,0.219284,0.221321,"6,836","576,358"
"Nov 22, 2017",0.268401,0.278334,0.247997,0.255062,"12,314","598,768"
"Nov 21, 2017",0.261254,0.290553,0.234466,0.245261,"12,532","574,733"
"Nov 20, 2017",0.236988,0.289844,0.227755,0.261205,"11,533","513,983"
"Nov 19, 2017",0.221341,0.271436,0.206807,0.236667,"13,350","472,959"
"Nov 18, 2017",0.202260,0.237787,0.197771,0.218360,"2,887","426,340"
"Nov 17, 2017",0.254056,0.259542,0.219915,0.219915,"7,478","527,624"
"Nov 16, 2017",0.223465,0.258066,0.192919,0.253013,"10,490","457,139"
"Nov 15, 2017",0.195607,0.235991,0.178206,0.223689,"5,762","394,206"
"Nov 14, 2017",0.187489,0.232430,0.170482,0.194909,"7,399","372,680"
"Nov 13, 2017",0.217285,0.239900,0.179793,0.183976,"5,285","424,838"
"Nov 12, 2017",0.237035,0.291472,0.190291,0.215556,"9,991","456,548"
"Nov 11, 2017",0.182321,0.253748,0.176716,0.238084,"11,838","345,519"
"Nov 10, 2017",0.213866,0.262728,0.181510,0.182972,"8,984","398,690"
"Nov 09, 2017",0.179834,0.250691,0.164518,0.213233,"10,966","329,737"
"Nov 08, 2017",0.211863,0.222618,0.159241,0.179477,"5,856","382,206"
"Nov 07, 2017",0.139180,0.215456,0.139180,0.213157,"3,875","246,676"
"Nov 06, 2017",0.203947,0.252345,0.151320,0.163798,"8,469","355,438"
"Nov 05, 2017",0.209010,0.247796,0.196928,0.202867,"5,815","357,673"
"Nov 04, 2017",0.189200,0.235518,0.187319,0.209233,"4,065","318,035"
"Nov 03, 2017",0.238161,0.252451,0.180710,0.192215,"22,642","392,993"
"Nov 02, 2017",0.181189,0.226195,0.150704,0.217304,"18,029","293,345"
"Nov 01, 2017",0.198716,0.240978,0.118118,0.179454,"15,538","315,985"
"Oct 31, 2017",0.184273,0.238098,0.129425,0.208936,"18,890",-
"Oct 30, 2017",0.109485,0.166014,0.104011,0.166014,"22,882",-
