Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.010922,0.018196,0.009407,0.012487,"168,032","982,965"
"Dec 15, 2017",0.010809,0.012965,0.009415,0.010894,"75,050","972,844"
"Dec 14, 2017",0.010833,0.012678,0.008657,0.010817,"149,217","974,992"
"Dec 13, 2017",0.012651,0.013820,0.005604,0.010745,"80,393","1,138,560"
"Dec 12, 2017",0.012355,0.013217,0.010832,0.012641,"144,732","1,111,980"
"Dec 11, 2017",0.012646,0.014129,0.010963,0.012404,"135,403","1,138,170"
"Dec 10, 2017",0.012238,0.014503,0.010466,0.012681,"123,184","1,101,460"
"Dec 09, 2017",0.010633,0.015513,0.010627,0.012190,"139,730","956,970"
"Dec 08, 2017",0.011803,0.012123,0.008769,0.011359,"111,258","1,062,260"
"Dec 07, 2017",0.010853,0.013090,0.009938,0.012100,"122,406","976,734"
"Dec 06, 2017",0.009414,0.010916,0.008902,0.010869,"104,147","847,284"
"Dec 05, 2017",0.010082,0.012955,0.008167,0.009433,"112,424","907,394"
"Dec 04, 2017",0.009748,0.010750,0.008958,0.009800,"97,120","877,317"
"Dec 03, 2017",0.011305,0.012189,0.008571,0.009828,"108,049","1,017,460"
"Dec 02, 2017",0.012078,0.013372,0.009826,0.011299,"117,130","1,087,020"
"Dec 01, 2017",0.009443,0.015430,0.008902,0.012082,"136,388","849,871"
"Nov 30, 2017",0.007904,0.012802,0.007340,0.009475,"99,166","711,391"
"Nov 29, 2017",0.012322,0.012573,0.007080,0.007835,"68,692","1,109,010"
"Nov 28, 2017",0.010571,0.012877,0.007747,0.012283,"80,189","951,388"
"Nov 27, 2017",0.006615,0.014143,0.005078,0.010351,"106,700","595,341"
"Nov 26, 2017",0.007369,0.007369,0.003796,0.006618,"93,292","663,254"
"Nov 25, 2017",0.006626,0.008683,0.005978,0.007413,"97,748","596,342"
"Nov 24, 2017",0.006916,0.007764,0.005993,0.006631,"82,575","622,442"
"Nov 23, 2017",0.004528,0.008370,0.004394,0.007015,"98,483","407,504"
"Nov 22, 2017",0.004022,0.004986,0.003219,0.004282,"75,343",-
"Nov 21, 2017",0.003792,0.004413,0.001655,0.003973,"75,511",-
"Nov 20, 2017",0.004679,0.004947,0.003155,0.003797,"87,357",-
"Nov 19, 2017",0.004845,0.005471,0.003387,0.004684,"73,426",-
"Nov 18, 2017",0.006137,0.006688,0.003734,0.004857,"71,108",-
"Nov 17, 2017",0.008593,0.009382,0.002668,0.002934,"67,132",-
"Nov 16, 2017",0.008812,0.010927,0.006855,0.008617,"57,070",-
"Nov 15, 2017",0.004539,0.013219,0.004539,0.008943,"90,820",-
"Nov 14, 2017",0.005738,0.005809,0.003385,0.004538,"24,401",-
"Nov 13, 2017",0.001865,0.005792,0.001829,0.005671,"16,155",-
"Nov 12, 2017",0.002404,0.002404,0.001347,0.001862,961,-
"Nov 11, 2017",0.002008,0.002429,0.001750,0.002403,"1,928",-
"Nov 10, 2017",0.002188,0.002683,0.001638,0.002013,"4,836",-
"Nov 09, 2017",0.003566,0.003781,0.001585,0.002187,"4,072",-
"Nov 08, 2017",0.002220,0.005109,0.001862,0.003585,"3,366",-
"Nov 07, 2017",0.002396,0.002591,0.001750,0.002221,"4,577",-
"Nov 06, 2017",0.002738,0.002750,0.002097,0.002393,"6,744",-
"Nov 05, 2017",0.002271,0.003335,0.001899,0.002736,"13,664",-
"Nov 04, 2017",0.001654,0.002275,0.001654,0.002268,"8,558",-
