Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000006,0.000008,0.000003,0.000008,"18,788","571,268"
"Dec 15, 2017",0.000003,0.000006,0.000003,0.000006,"30,582","257,469"
"Dec 14, 2017",0.000006,0.000006,0.000003,0.000003,"37,858","545,827"
"Dec 13, 2017",0.000004,0.000007,0.000003,0.000006,"28,835","347,395"
"Dec 12, 2017",0.000008,0.000009,0.000004,0.000004,"27,520","765,574"
"Dec 11, 2017",0.000004,0.000009,0.000004,0.000008,"33,800","414,117"
"Dec 10, 2017",0.000014,0.000014,0.000003,0.000005,"38,320","1,279,820"
"Dec 09, 2017",0.000018,0.000023,0.000005,0.000014,"15,589","1,639,340"
"Dec 08, 2017",0.000002,0.000018,0.000001,0.000018,"1,692","175,715"
"Dec 07, 2017",0.000002,0.000003,0.000001,0.000002,"8,134","183,313"
"Dec 06, 2017",0.000002,0.000003,0.000001,0.000002,"6,225","205,756"
"Dec 05, 2017",0.000004,0.000004,0.000002,0.000002,"16,174","397,592"
"Dec 04, 2017",0.000003,0.000005,0.000003,0.000004,"2,221","297,652"
"Dec 03, 2017",0.000005,0.000006,0.000003,0.000004,"4,066","432,692"
"Dec 02, 2017",0.000002,0.000005,0.000002,0.000005,"1,791","197,146"
"Dec 01, 2017",0.000004,0.000006,0.000002,0.000002,"1,939","375,563"
"Nov 30, 2017",0.000002,0.000004,0.000002,0.000004,"6,836","206,610"
"Nov 29, 2017",0.000002,0.000003,0.000002,0.000002,"2,027","191,760"
"Nov 28, 2017",0.000003,0.000003,0.000002,0.000002,"7,713","264,108"
"Nov 27, 2017",0.000003,0.000003,0.000002,0.000003,"1,523","241,571"
"Nov 26, 2017",0.000004,0.000004,0.000002,0.000003,"2,753","341,861"
"Nov 25, 2017",0.000004,0.000004,0.000002,0.000004,"2,947","322,757"
"Nov 24, 2017",0.000001,0.000005,8.9e-07,0.000004,"16,229","135,354"
"Nov 23, 2017",0.000002,0.000002,9e-07,0.000001,"3,908","202,339"
"Nov 22, 2017",0.000002,0.000003,0.000002,0.000002,"5,492","192,702"
"Nov 21, 2017",0.000006,0.000007,0.000002,0.000002,"7,113","521,158"
"Nov 20, 2017",0.000003,0.000008,0.000002,0.000006,"7,591","253,695"
"Nov 19, 2017",0.000002,0.000003,0.000001,0.000003,"5,419","195,082"
"Nov 18, 2017",0.000002,0.000003,0.000001,0.000002,"11,555","141,644"
"Nov 17, 2017",0.000005,0.000005,0.000001,0.000002,962,"422,240"
"Nov 16, 2017",0.000003,0.000005,0.000003,0.000005,"1,538","320,671"
"Nov 15, 2017",0.000007,0.000008,0.000003,0.000003,"2,012","641,519"
"Nov 14, 2017",0.000009,0.000015,0.000007,0.000007,988,"820,550"
"Nov 13, 2017",0.000009,0.000010,0.000003,0.000009,695,"825,496"
"Nov 12, 2017",0.000009,0.000017,0.000007,0.000009,383,"792,614"
"Nov 11, 2017",0.000003,0.000009,0.000002,0.000009,210,"232,856"
"Nov 10, 2017",0.000004,0.000004,0.000003,0.000003,679,"322,693"
"Nov 09, 2017",0.000004,0.000004,0.000003,0.000003,"2,105","359,017"
"Nov 08, 2017",0.000009,0.000010,0.000004,0.000004,"1,178","802,944"
"Nov 07, 2017",0.000006,0.000010,0.000005,0.000009,"1,254","515,342"
"Nov 06, 2017",0.000004,0.000006,0.000003,0.000006,728,"354,748"
"Nov 05, 2017",0.000005,0.000005,0.000003,0.000004,666,"421,032"
"Nov 04, 2017",0.000004,0.000005,0.000004,0.000004,"2,032","381,008"
"Nov 03, 2017",0.000008,0.000013,0.000004,0.000004,"1,353","783,585"
"Nov 02, 2017",0.000007,0.000013,0.000007,0.000009,"8,329","636,867"
"Nov 01, 2017",0.000005,0.000007,0.000003,0.000007,"10,322","448,930"
"Oct 31, 2017",0.000009,0.000010,0.000005,0.000005,"29,115","863,016"
"Oct 30, 2017",0.000030,0.000034,0.000009,0.000009,"15,890","2,742,650"
"Oct 29, 2017",0.000014,0.000030,0.000014,0.000030,"9,917","1,315,240"
"Oct 28, 2017",0.000023,0.000024,0.000013,0.000014,"20,506","1,766,960"
"Oct 27, 2017",0.000010,0.000027,0.000009,0.000023,"24,392","567,364"
"Oct 26, 2017",0.000024,0.000024,0.000009,0.000010,"6,636","1,904,770"
"Oct 25, 2017",0.000020,0.000037,0.000020,0.000024,"13,370","1,556,560"
"Oct 24, 2017",0.000014,0.000020,0.000008,0.000020,"16,656","1,099,030"
"Oct 23, 2017",0.000022,0.000022,0.000014,0.000014,"4,654","1,703,930"
"Oct 22, 2017",0.000031,0.000034,0.000017,0.000022,"11,079","2,433,550"
"Oct 21, 2017",0.000034,0.000048,0.000030,0.000031,"14,072","2,656,610"
