Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.372431,0.462492,0.352363,0.437664,"205,579","14,230,900"
"Dec 15, 2017",0.556468,0.581315,0.327303,0.368741,"366,275","21,256,300"
"Dec 14, 2017",0.460467,0.563831,0.443267,0.557730,"465,164","17,505,800"
"Dec 13, 2017",0.356996,0.606343,0.312753,0.463690,"644,582","13,547,300"
"Dec 12, 2017",0.344825,0.409924,0.309074,0.355392,"249,692","12,966,800"
"Dec 11, 2017",0.579885,0.662470,0.312892,0.362342,"537,209","21,805,900"
"Dec 10, 2017",0.255659,0.677607,0.253109,0.583970,"623,327","9,218,360"
"Dec 09, 2017",0.233385,0.277020,0.216261,0.254642,"81,278","8,415,240"
"Dec 08, 2017",0.221078,0.284566,0.198841,0.233694,"133,915","7,971,470"
"Dec 07, 2017",0.132642,0.281482,0.122019,0.233024,"209,928","4,782,690"
"Dec 06, 2017",0.158590,0.159009,0.108789,0.132510,"77,661","5,718,320"
"Dec 05, 2017",0.122427,0.288475,0.099319,0.151382,"130,679","4,414,370"
"Dec 04, 2017",0.123383,0.129000,0.088224,0.122364,"39,614","4,448,850"
"Dec 03, 2017",0.140562,0.170456,0.110388,0.111389,"88,923","4,829,880"
"Dec 02, 2017",0.060727,0.164547,0.060727,0.140514,"172,667","2,086,660"
"Dec 01, 2017",0.057786,0.060729,0.048130,0.060729,"9,414","1,985,600"
"Nov 30, 2017",0.059499,0.063819,0.039438,0.057930,"21,080","2,044,450"
"Nov 29, 2017",0.065275,0.069563,0.047329,0.058747,"20,534","2,242,940"
"Nov 28, 2017",0.066505,0.075406,0.052055,0.065223,"23,210",-
"Nov 27, 2017",0.069597,0.077306,0.043909,0.066596,"24,964",-
"Nov 26, 2017",0.060332,0.070670,0.055130,0.069614,"11,062",-
"Nov 25, 2017",0.073698,0.075519,0.058631,0.060330,"9,783",-
"Nov 24, 2017",0.065218,0.074868,0.052623,0.073710,"18,409",-
"Nov 23, 2017",0.052419,0.067729,0.040108,0.065546,"23,506",-
"Nov 22, 2017",0.059703,0.070429,0.052299,0.052299,"11,475",-
"Nov 21, 2017",0.057760,0.075359,0.056723,0.059627,"44,610",-
"Nov 20, 2017",0.047414,0.058237,0.046217,0.057851,"22,870",-
