Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.020386,0.024312,0.011567,0.011567,"2,194","309,671"
"Dec 15, 2017",0.008278,0.022600,0.008252,0.020372,"14,396","124,994"
"Dec 14, 2017",0.009391,0.014836,0.007555,0.008280,"3,586","140,936"
"Dec 13, 2017",0.009859,0.010520,0.005379,0.009393,"1,236","147,066"
"Dec 12, 2017",0.009148,0.010544,0.006631,0.009874,"1,114","75,567"
"Dec 11, 2017",0.011427,0.012964,0.007289,0.009119,"3,604","94,399"
"Dec 10, 2017",0.011092,0.012532,0.007850,0.011510,"1,155","91,634"
"Dec 09, 2017",0.010062,0.011675,0.008281,0.011048,724,"83,119"
"Dec 08, 2017",0.011614,0.015727,0.002951,0.010073,"7,374","95,938"
"Dec 07, 2017",0.012703,0.015434,0.011432,0.011592,"4,147","104,943"
"Dec 06, 2017",0.012426,0.014773,0.008757,0.012722,"13,976","102,651"
"Dec 05, 2017",0.011079,0.013140,0.010910,0.012440,"2,882","91,525"
"Dec 04, 2017",0.013360,0.014085,0.010594,0.011052,"1,593","110,369"
"Dec 03, 2017",0.014197,0.014981,0.012039,0.013327,"1,293","117,279"
"Dec 02, 2017",0.012388,0.014630,0.011452,0.013904,"5,318","102,335"
"Dec 01, 2017",0.009427,0.013856,0.009377,0.012337,"6,835","77,874"
"Nov 30, 2017",0.010728,0.011141,0.008335,0.009466,"5,904","88,620"
"Nov 29, 2017",0.011876,0.012596,0.008176,0.010641,"11,717","98,108"
"Nov 28, 2017",0.012365,0.021165,0.009607,0.011850,"11,220","102,142"
"Nov 27, 2017",0.015286,0.015896,0.011930,0.012340,"16,695","126,274"
"Nov 26, 2017",0.017195,0.017268,0.012772,0.015280,"3,070","142,048"
"Nov 25, 2017",0.015584,0.024588,0.014735,0.017176,"23,832","128,738"
"Nov 24, 2017",0.017115,0.037484,0.015571,0.015610,"17,743","141,384"
"Nov 23, 2017",0.014714,0.020058,0.013994,0.016085,"12,434","121,548"
"Nov 22, 2017",0.015323,0.016873,0.011765,0.014708,"6,527","126,585"
"Nov 21, 2017",0.014139,0.021718,0.011592,0.011917,"6,858","116,798"
"Nov 20, 2017",0.020339,0.020467,0.012933,0.014138,"1,989","168,020"
"Nov 19, 2017",0.020817,0.020974,0.016431,0.020354,"10,370","171,963"
"Nov 18, 2017",0.018789,0.022029,0.016187,0.020851,"9,074","155,216"
"Nov 17, 2017",0.023156,0.026711,0.015701,0.018873,"15,524","191,286"
"Nov 16, 2017",0.018574,0.029805,0.018306,0.028503,"8,116","153,435"
"Nov 15, 2017",0.017526,0.025202,0.015353,0.018519,"5,765","144,778"
"Nov 14, 2017",0.016483,0.047596,0.015587,0.017514,"7,519","136,166"
"Nov 13, 2017",0.017872,0.023337,0.015185,0.016479,"1,492","147,639"
"Nov 12, 2017",0.023458,0.023565,0.017002,0.017837,"2,826","193,782"
"Nov 11, 2017",0.026939,0.040915,0.020726,0.023466,"6,807","222,542"
"Nov 10, 2017",0.028485,0.034751,0.022833,0.026989,"6,905","235,309"
"Nov 09, 2017",0.053317,0.053756,0.025662,0.028364,"2,578","440,449"
"Nov 08, 2017",0.026889,0.069381,0.022283,0.053396,"24,533","222,127"
"Nov 07, 2017",0.019457,0.026989,0.015788,0.026989,"6,866","160,730"
"Nov 06, 2017",0.018247,0.029714,0.010729,0.019067,"20,669","150,737"
"Nov 05, 2017",0.025580,0.025592,0.018203,0.018203,"1,093","211,311"
"Nov 04, 2017",0.026219,0.042760,0.022793,0.025634,"17,513","216,597"
"Nov 03, 2017",0.043865,0.050117,0.017356,0.026346,"4,362","362,368"
"Nov 02, 2017",0.114630,0.115785,0.007913,0.043275,"19,589","946,946"
"Nov 01, 2017",0.250514,0.292920,0.059284,0.115396,"18,202","2,069,470"
"Oct 31, 2017",0.281122,0.316159,0.239489,0.250584,"17,001","2,322,320"
"Oct 30, 2017",0.292625,0.296292,0.251717,0.281691,"16,855","2,417,350"
"Oct 29, 2017",0.233553,0.304947,0.228909,0.293559,"23,523","1,929,360"
"Oct 28, 2017",0.247374,0.253570,0.171950,0.234292,"16,596","2,043,540"
"Oct 27, 2017",0.318275,0.330067,0.233056,0.246800,"20,221","2,629,240"
"Oct 26, 2017",0.323209,0.337038,0.277421,0.318759,"27,363","2,670,000"
"Oct 25, 2017",0.204437,0.387180,0.177852,0.354205,"58,745","1,688,830"
"Oct 24, 2017",0.262580,0.308467,0.198400,0.203836,"8,720","2,169,150"
"Oct 23, 2017",0.221252,0.371729,0.218888,0.264473,"25,705","1,827,740"
"Oct 22, 2017",0.258379,0.260355,0.216667,0.221594,"3,999","2,134,440"
"Oct 21, 2017",0.278921,0.385340,0.251318,0.258442,"23,521","2,304,140"
"Oct 20, 2017",0.402626,0.404301,0.276270,0.280101,"7,015","3,301,290"
"Oct 19, 2017",0.355761,0.408244,0.301419,0.402957,"16,122","2,882,810"
"Oct 18, 2017",0.367317,0.373364,0.299852,0.356093,"13,231","918,293"
"Oct 17, 2017",0.319387,0.425560,0.279986,0.367133,"39,071","798,468"
"Oct 16, 2017",0.416302,0.494110,0.277337,0.320450,"10,251","1,040,760"
"Oct 15, 2017",0.438682,0.472015,0.415253,0.419080,"21,963","1,096,710"
"Oct 14, 2017",0.547283,0.581241,0.438366,0.438366,"11,398","1,368,210"
"Oct 13, 2017",0.633253,0.708278,0.550969,0.568046,"67,304","1,583,130"
"Oct 12, 2017",0.584158,0.751576,0.493502,0.642400,"32,878","1,460,400"
"Oct 11, 2017",0.918090,0.918272,0.583560,0.583979,"14,173","2,295,220"
"Oct 10, 2017",0.459673,0.983507,0.449152,0.916197,"26,164","1,149,180"
"Oct 09, 2017",0.566791,0.621360,0.459692,0.460452,"3,972","1,416,980"
"Oct 08, 2017",0.605818,0.653210,0.500315,0.566493,"4,322","1,514,540"
"Oct 07, 2017",0.498543,0.679241,0.490591,0.606946,"4,152","1,246,360"
"Oct 06, 2017",0.335509,0.905251,0.334141,0.498625,"21,365","838,773"
"Oct 05, 2017",0.359586,0.359921,0.324095,0.336144,"4,072","898,964"
"Oct 04, 2017",0.361478,0.455796,0.303780,0.359423,"4,906","903,695"
"Oct 03, 2017",0.215742,0.803136,0.215140,0.360798,"9,781","539,356"
"Oct 02, 2017",0.187943,0.500453,0.064629,0.215735,"4,539","469,858"
"Oct 01, 2017",0.278043,0.280211,0.185103,0.188027,"4,068","695,107"
"Sep 30, 2017",0.298621,0.322550,0.265931,0.277875,"1,047","746,552"
"Sep 29, 2017",0.384647,0.385048,0.273993,0.298584,"2,519","961,617"
"Sep 28, 2017",0.329249,0.482817,0.326767,0.384905,"2,552","823,123"
"Sep 27, 2017",0.355499,0.471431,0.328859,0.329244,"3,766","888,747"
"Sep 26, 2017",0.417159,0.506364,0.283117,0.356317,"16,551","1,042,900"
"Sep 25, 2017",0.297608,0.541596,0.267212,0.417191,761,"744,019"
"Sep 24, 2017",0.246206,0.348718,0.130380,0.297734,"5,659","615,516"
"Sep 23, 2017",0.278306,0.425771,0.244109,0.246327,372,"695,766"
"Sep 22, 2017",0.259332,0.403690,0.228385,0.278802,"5,561","648,331"
"Sep 21, 2017",0.357310,0.423543,0.259489,0.259489,"3,339","893,275"
"Sep 20, 2017",0.495394,0.532078,0.343414,0.358070,"11,598","1,238,490"
"Sep 19, 2017",0.510709,0.576417,0.371533,0.496346,"30,193","1,276,770"
"Sep 18, 2017",0.483472,0.548331,0.428329,0.509340,"5,516","1,208,680"
"Sep 17, 2017",0.517027,0.556302,0.456146,0.484240,"7,672","1,292,570"
"Sep 16, 2017",0.676718,0.683733,0.451922,0.516616,"15,930","1,691,800"
"Sep 15, 2017",0.464830,0.776156,0.392195,0.671667,"29,589","1,162,070"
"Sep 14, 2017",0.468722,0.801563,0.381923,0.466363,"17,705","1,171,810"
"Sep 13, 2017",0.597043,0.599264,0.446051,0.482879,"7,485","1,492,610"
"Sep 12, 2017",0.641042,0.769166,0.515873,0.594949,"17,976","1,602,600"
"Sep 11, 2017",0.642657,0.712221,0.528994,0.554013,"29,963","1,606,640"
"Sep 10, 2017",0.449547,0.789166,0.387851,0.640159,"15,539","1,123,870"
"Sep 09, 2017",0.514331,0.586532,0.438205,0.449192,"11,103","1,285,830"
"Sep 08, 2017",0.742243,0.966766,0.504865,0.514845,"60,000","1,855,610"
"Sep 07, 2017",0.707553,0.902485,0.562816,0.742637,"24,402","1,768,880"
"Sep 06, 2017",1.08,1.14,0.604824,0.708439,"25,279",-
"Sep 05, 2017",1.07,1.33,0.874995,1.08,"73,409",-
"Sep 04, 2017",1.55,1.81,0.963658,1.07,"67,890",-
"Sep 03, 2017",1.68,1.97,1.17,1.55,"76,276",-
"Sep 02, 2017",2.38,2.49,1.48,1.67,"201,917",-
"Sep 01, 2017",2.37,2.46,1.72,1.78,"6,367",-
"Aug 31, 2017",2.42,4.41,1.63,2.37,"73,567",-
"Aug 30, 2017",2.27,3.54,1.74,2.43,"68,330",-
"Aug 29, 2017",1.29,3.48,1.02,2.27,"211,617",-
"Aug 28, 2017",1.68,2.37,0.438086,1.29,"117,704",-
"Aug 27, 2017",1.68,1.68,1.67,1.67,"37,461",-
