Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.011043,0.018592,0.010806,0.018101,348,"137,119"
"Dec 15, 2017",0.014267,0.015171,0.011002,0.011030,"2,190","177,150"
"Dec 14, 2017",0.014032,0.017032,0.013745,0.014246,794,"174,228"
"Dec 13, 2017",0.020092,0.021065,0.013913,0.014075,"2,163","249,467"
"Dec 12, 2017",0.015522,0.082921,0.014952,0.020042,406,"192,726"
"Dec 11, 2017",0.012618,0.022207,0.012562,0.015449,84,"156,667"
"Dec 10, 2017",0.014544,0.021838,0.012203,0.012709,800,"180,584"
"Dec 09, 2017",0.015652,0.017299,0.012322,0.014487,789,"194,341"
"Dec 08, 2017",0.017498,0.017758,0.011815,0.015661,67,"217,266"
"Dec 07, 2017",0.014193,0.018311,0.012886,0.017457,543,"176,222"
"Dec 06, 2017",0.011126,0.014235,0.011126,0.014214,450,"138,147"
"Dec 05, 2017",0.011866,0.012012,0.010575,0.011157,396,"147,330"
"Dec 04, 2017",0.010480,0.012675,0.010431,0.011843,252,"130,123"
"Dec 03, 2017",0.010640,0.014431,0.009764,0.010429,230,"132,105"
"Dec 02, 2017",0.012935,0.013043,0.009860,0.010602,110,"160,603"
"Dec 01, 2017",0.009482,0.014294,0.008971,0.012946,28,"117,731"
"Nov 30, 2017",0.009783,0.012609,0.008773,0.009526,496,"121,473"
"Nov 29, 2017",0.011212,0.014718,0.009541,0.009651,401,"139,207"
"Nov 28, 2017",0.011077,0.015152,0.010979,0.011176,563,"137,539"
"Nov 27, 2017",0.011555,0.014342,0.010741,0.011052,586,"143,471"
"Nov 26, 2017",0.013062,0.014098,0.010208,0.011555,"1,231","162,156"
"Nov 25, 2017",0.012405,0.014246,0.009985,0.013067,430,"153,993"
"Nov 24, 2017",0.013440,0.015964,0.011505,0.012430,"2,094","166,824"
"Nov 23, 2017",0.018133,0.020965,0.012540,0.013459,"3,951","224,870"
"Nov 22, 2017",0.007396,0.033850,0.006868,0.018189,"21,966","91,648"
"Nov 21, 2017",0.008787,0.057649,0.005446,0.007378,"37,316","108,760"
"Nov 20, 2017",0.008940,0.013192,0.008304,0.008786,239,"110,629"
"Nov 19, 2017",0.008450,0.008949,0.007233,0.008943,71,"104,528"
"Nov 18, 2017",0.011354,0.012301,0.007139,0.008465,908,"140,328"
"Nov 17, 2017",0.007845,0.012048,0.007425,0.011397,149,"96,957"
"Nov 16, 2017",0.007432,0.008279,0.007267,0.007858,8,"91,847"
"Nov 15, 2017",0.006666,0.015040,0.006529,0.007393,"1,789","82,345"
"Nov 14, 2017",0.006468,0.008361,0.006468,0.006661,44,"79,898"
"Nov 13, 2017",0.004999,0.014297,0.004999,0.006455,887,"61,749"
"Nov 12, 2017",0.005833,0.006593,0.003737,0.004986,286,"72,048"
"Nov 11, 2017",0.004358,0.005869,0.003976,0.005832,17,"53,831"
"Nov 10, 2017",0.005003,0.005144,0.004374,0.004374,5,"61,785"
"Nov 09, 2017",0.004207,0.006733,0.003953,0.004987,16,"51,956"
"Nov 08, 2017",0.005501,0.006188,0.004036,0.004211,155,"67,893"
"Nov 07, 2017",0.006633,0.006952,0.005158,0.005517,67,"81,843"
"Nov 06, 2017",0.005511,0.008354,0.004726,0.006643,390,"67,998"
"Nov 05, 2017",0.004413,0.005695,0.004369,0.005502,26,"54,446"
"Nov 04, 2017",0.004774,0.004917,0.004172,0.004421,18,"58,890"
"Nov 03, 2017",0.004742,0.004921,0.004360,0.004786,23,"58,484"
"Nov 02, 2017",0.004002,0.005463,0.003949,0.004748,123,"49,358"
"Nov 01, 2017",0.003677,0.005237,0.003638,0.003998,193,"45,339"
"Oct 31, 2017",0.004249,0.004940,0.003612,0.003680,197,"52,333"
"Oct 30, 2017",0.004305,0.004575,0.003677,0.004575,43,"53,005"
"Oct 29, 2017",0.005148,0.005157,0.003309,0.004342,441,"63,315"
"Oct 28, 2017",0.004047,0.005210,0.003767,0.005155,25,"49,763"
"Oct 27, 2017",0.004705,0.004854,0.003828,0.004040,42,"57,825"
"Oct 26, 2017",0.004607,0.004801,0.003369,0.004794,0,"56,623"
"Oct 25, 2017",0.003582,0.005096,0.003417,0.004608,250,"43,936"
"Oct 24, 2017",0.004553,0.004553,0.003563,0.003580,94,"55,825"
"Oct 23, 2017",0.004003,0.004616,0.003537,0.004564,102,"49,006"
"Oct 22, 2017",0.004832,0.005568,0.003896,0.004015,271,"59,093"
"Oct 21, 2017",0.004918,0.005882,0.004830,0.004830,90,"60,069"
"Oct 20, 2017",0.004670,0.006421,0.004523,0.006310,147,"57,013"
"Oct 19, 2017",0.004689,0.004917,0.004644,0.004669,113,"57,168"
"Oct 18, 2017",0.006216,0.006218,0.004368,0.004696,105,"75,683"
"Oct 17, 2017",0.004921,0.007007,0.004366,0.006220,201,"59,832"
"Oct 16, 2017",0.004732,0.005837,0.004644,0.004920,88,"57,465"
"Oct 15, 2017",0.005380,0.005738,0.003512,0.004732,147,"65,207"
"Oct 14, 2017",0.005729,0.006248,0.005210,0.005371,44,"69,392"
"Oct 13, 2017",0.005165,0.005986,0.003444,0.005727,514,"62,482"
"Oct 12, 2017",0.005298,0.005914,0.005071,0.005149,116,"64,002"
"Oct 11, 2017",0.006274,0.006292,0.005245,0.005293,135,"75,664"
"Oct 10, 2017",0.005863,0.006490,0.005296,0.006275,57,"70,685"
"Oct 09, 2017",0.009194,0.009196,0.005256,0.005864,132,"110,683"
"Oct 08, 2017",0.006257,0.009229,0.004957,0.009191,163,"75,223"
"Oct 07, 2017",0.005609,0.008157,0.005008,0.006274,252,"67,345"
"Oct 06, 2017",0.005655,0.007399,0.005134,0.005618,76,"67,834"
"Oct 05, 2017",0.007049,0.007344,0.005116,0.005655,121,"84,552"
"Oct 04, 2017",0.007135,0.007933,0.005308,0.007043,110,"85,576"
"Oct 03, 2017",0.007986,0.010043,0.007044,0.007119,161,"95,674"
"Oct 02, 2017",0.009738,0.011403,0.007985,0.007985,177,"116,568"
"Oct 01, 2017",0.011644,0.011697,0.007892,0.009742,414,"139,225"
