Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000307,0.000346,0.000304,0.000346,125,-
"Dec 15, 2017",0.000312,0.000318,0.000276,0.000307,25,-
"Dec 14, 2017",0.000294,0.000335,0.000292,0.000311,3,-
"Dec 13, 2017",0.000265,0.000339,0.000262,0.000295,116,-
"Dec 12, 2017",0.000232,0.000285,0.000210,0.000265,199,-
"Dec 11, 2017",0.000250,0.000277,0.000211,0.000233,191,-
"Dec 10, 2017",0.000228,0.000274,0.000209,0.000249,163,-
"Dec 09, 2017",0.000113,0.000238,0.000113,0.000227,729,-
"Dec 08, 2017",0.000203,0.000231,0.000113,0.000113,33,-
"Dec 07, 2017",0.000201,0.000218,0.000197,0.000203,"1,987",-
"Dec 06, 2017",0.000182,0.000224,0.000157,0.000191,"1,006",-
"Dec 05, 2017",0.000447,0.000629,0.000181,0.000183,"1,173",-
"Dec 04, 2017",0.000185,0.000447,0.000177,0.000447,"1,182",-
"Dec 03, 2017",0.000114,0.000256,0.000107,0.000185,262,-
"Dec 02, 2017",0.000337,0.000372,0.000114,0.000114,509,-
"Dec 01, 2017",0.000205,0.000341,0.000200,0.000337,177,-
"Nov 30, 2017",0.000201,0.000216,0.000186,0.000206,105,-
"Nov 29, 2017",0.000223,0.000233,0.000149,0.000198,283,-
"Nov 28, 2017",0.000230,0.000231,0.000130,0.000223,290,-
"Nov 27, 2017",0.000228,0.000235,0.000141,0.000230,100,-
"Nov 26, 2017",0.000209,0.000246,0.000127,0.000228,101,-
"Nov 25, 2017",0.000155,0.000264,0.000147,0.000209,"1,186",-
"Nov 24, 2017",0.000232,0.000265,0.000151,0.000155,154,-
"Nov 23, 2017",0.000308,0.000337,0.000135,0.000234,"1,240",-
"Nov 22, 2017",0.000357,0.000360,0.000284,0.000307,"1,013",-
"Nov 21, 2017",0.000338,0.000544,0.000119,0.000356,"7,369",-
"Nov 20, 2017",0.000569,0.000581,0.000339,0.000339,"4,064",-
"Nov 19, 2017",0.000676,0.000832,0.000560,0.000570,80,-
"Nov 18, 2017",0.000663,0.000681,0.000652,0.000678,161,-
"Nov 17, 2017",0.000759,0.000764,0.000506,0.000664,374,-
"Nov 16, 2017",0.001031,0.001031,0.000534,0.000759,"2,593",-
"Nov 15, 2017",0.000570,0.001311,0.000454,0.001032,"5,205",-
"Nov 14, 2017",0.000567,0.000580,0.000426,0.000569,465,-
"Nov 13, 2017",0.000408,0.000628,0.000408,0.000567,"2,000",-
"Nov 12, 2017",0.000849,0.000849,0.000407,0.000407,"3,875",-
"Nov 11, 2017",0.000315,0.000858,0.000315,0.000849,234,-
"Nov 10, 2017",0.000832,0.000843,0.000294,0.000316,"6,372",-
"Nov 09, 2017",0.000585,0.001050,0.000432,0.000832,"2,140",-
"Nov 08, 2017",0.000483,0.000590,0.000389,0.000588,"3,790",-
"Nov 07, 2017",0.000505,0.000515,0.000351,0.000483,819,-
"Nov 06, 2017",0.000343,0.000558,0.000265,0.000504,"4,698",-
"Nov 05, 2017",0.002250,0.002252,0.000343,0.000343,"1,961",-
"Nov 04, 2017",0.001663,0.002247,0.000898,0.002247,"9,621",-
"Nov 03, 2017",0.000996,0.001680,0.000893,0.001663,"6,942",-
"Nov 02, 2017",0.002316,0.002340,0.000570,0.000991,796,-
"Nov 01, 2017",0.003702,0.003702,0.001777,0.002310,"2,337",-
"Oct 31, 2017",0.003395,0.004500,0.001689,0.003709,"31,414",-
"Oct 30, 2017",0.003334,0.004575,0.002447,0.003393,"4,652",-
"Oct 29, 2017",0.003684,0.003844,0.002488,0.003341,"1,327",-
"Oct 28, 2017",0.004453,0.005564,0.002384,0.003686,"11,752",-
"Oct 27, 2017",0.005072,0.005953,0.003702,0.003782,"13,737",-
"Oct 26, 2017",0.002218,0.005191,0.001513,0.005010,"21,156",-
"Oct 25, 2017",0.004454,0.004458,0.000628,0.002223,"20,918",-
"Oct 24, 2017",0.005044,0.006710,0.002072,0.004450,"24,205",-
"Oct 23, 2017",0.007546,0.011170,0.002929,0.005048,"50,108",-
"Oct 22, 2017",0.010809,0.011848,0.006802,0.007551,"95,233",-
"Oct 21, 2017",0.008990,0.011459,0.008968,0.010810,"69,781",-
