Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.524838,0.535490,0.497852,0.520931,"322,301","6,991,520"
"Dec 15, 2017",0.547134,0.594893,0.490444,0.524102,"664,148","7,288,540"
"Dec 14, 2017",0.523540,0.620271,0.515863,0.543195,"820,219","6,974,240"
"Dec 13, 2017",0.500403,0.588643,0.473317,0.532228,"528,433","6,666,020"
"Dec 12, 2017",0.488552,0.530391,0.472257,0.490510,"266,872","6,508,140"
"Dec 11, 2017",0.449391,0.534286,0.445329,0.486989,"275,396","5,986,470"
"Dec 10, 2017",0.466331,0.494548,0.404947,0.452659,"202,201","6,212,140"
"Dec 09, 2017",0.512988,0.545760,0.457618,0.471792,"572,227","6,833,670"
"Dec 08, 2017",0.659826,0.659826,0.446096,0.520585,"1,998,080","8,789,740"
"Dec 07, 2017",0.371656,1.07,0.367760,0.690903,"11,306,300","4,950,950"
"Dec 06, 2017",0.325865,0.385346,0.306725,0.374468,"174,546","4,340,940"
"Dec 05, 2017",0.320531,0.355645,0.316168,0.323452,"127,352","4,269,890"
"Dec 04, 2017",0.291833,0.327014,0.283339,0.320134,"104,344","3,887,590"
"Dec 03, 2017",0.285116,0.312542,0.271044,0.290869,"76,820","3,798,110"
"Dec 02, 2017",0.269970,0.320359,0.265123,0.284843,"235,186","3,596,360"
"Dec 01, 2017",0.241023,0.274736,0.225378,0.270201,"40,787","3,210,740"
"Nov 30, 2017",0.252972,0.265664,0.213306,0.242224,"63,314","3,369,920"
"Nov 29, 2017",0.288418,0.316936,0.241814,0.249248,"52,682","3,842,110"
"Nov 28, 2017",0.282935,0.306993,0.275129,0.288706,"85,878","3,769,060"
"Nov 27, 2017",0.271394,0.285795,0.269673,0.282203,"30,009","3,615,320"
"Nov 26, 2017",0.252540,0.276242,0.252540,0.271346,"24,897","3,364,160"
"Nov 25, 2017",0.242256,0.255520,0.238076,0.252624,"30,002","3,227,160"
"Nov 24, 2017",0.246186,0.257571,0.233766,0.247559,"59,944","3,279,520"
"Nov 23, 2017",0.232798,0.258806,0.232663,0.246523,"49,446","3,101,180"
"Nov 22, 2017",0.226352,0.245585,0.224378,0.232873,"33,790","3,015,300"
"Nov 21, 2017",0.237711,0.243860,0.218019,0.225803,"37,463","3,166,620"
"Nov 20, 2017",0.241367,0.247681,0.231951,0.236963,"53,108","3,215,320"
"Nov 19, 2017",0.233351,0.250045,0.232798,0.241480,"45,516","3,108,540"
"Nov 18, 2017",0.238169,0.244965,0.228837,0.233789,"36,418","3,172,720"
"Nov 17, 2017",0.245575,0.256967,0.236100,0.239437,"35,183","3,271,370"
"Nov 16, 2017",0.251395,0.258638,0.234538,0.248502,"134,768","3,348,910"
"Nov 15, 2017",0.215639,0.295540,0.213402,0.249940,"733,382","2,872,590"
"Nov 14, 2017",0.205462,0.221165,0.201855,0.215491,"44,500","2,737,020"
"Nov 13, 2017",0.185708,0.212174,0.184944,0.205028,"26,016","2,473,870"
"Nov 12, 2017",0.216673,0.222329,0.177764,0.185437,"47,553","2,886,370"
"Nov 11, 2017",0.223511,0.231642,0.201702,0.216833,"71,610","2,977,460"
"Nov 10, 2017",0.254440,0.272329,0.213644,0.222088,"75,779","3,389,470"
"Nov 09, 2017",0.228514,0.272700,0.223857,0.253687,"127,692","3,044,100"
"Nov 08, 2017",0.219993,0.244267,0.215941,0.229484,"87,598","2,930,590"
"Nov 07, 2017",0.213615,0.230194,0.211236,0.220686,"21,735","2,845,620"
"Nov 06, 2017",0.228450,0.242876,0.209062,0.213956,"44,293","3,043,250"
"Nov 05, 2017",0.217948,0.231480,0.212846,0.225882,"21,366","2,903,350"
"Nov 04, 2017",0.215176,0.233528,0.207423,0.218361,"51,360","2,866,430"
"Nov 03, 2017",0.210803,0.243165,0.191489,0.215737,"113,124","2,808,170"
"Nov 02, 2017",0.242230,0.252535,0.201868,0.211079,"161,006","3,226,810"
"Nov 01, 2017",0.216275,0.290694,0.211798,0.241960,"694,529","2,881,060"
"Oct 31, 2017",0.207221,0.275501,0.202508,0.214072,"334,307","2,760,460"
"Oct 30, 2017",0.200284,0.219545,0.199372,0.207928,"58,284","2,668,040"
"Oct 29, 2017",0.187031,0.213596,0.186502,0.201882,"42,432","2,491,500"
"Oct 28, 2017",0.196245,0.206114,0.187284,0.187284,"37,094","2,614,240"
"Oct 27, 2017",0.192497,0.231379,0.180105,0.200988,"122,711","2,564,300"
"Oct 26, 2017",0.195031,0.205433,0.185222,0.188942,"25,440","2,598,070"
"Oct 25, 2017",0.207920,0.215620,0.186717,0.195054,"36,349","2,769,760"
"Oct 24, 2017",0.182342,0.219994,0.171027,0.207133,"116,447","2,429,030"
"Oct 23, 2017",0.210187,0.210187,0.180487,0.182751,"49,582","2,799,960"
"Oct 22, 2017",0.231128,0.231525,0.195978,0.210526,"188,043","3,078,920"
"Oct 21, 2017",0.190441,0.337223,0.178372,0.226517,"1,141,620","2,536,920"
"Oct 20, 2017",0.195842,0.208201,0.186726,0.186726,"97,101","2,608,870"
"Oct 19, 2017",0.201410,0.216486,0.186024,0.195787,"170,529","2,683,040"
"Oct 18, 2017",0.210667,0.210672,0.184302,0.201305,"16,616","2,806,350"
"Oct 17, 2017",0.208661,0.217044,0.192811,0.210652,"31,750","2,779,640"
"Oct 16, 2017",0.226983,0.227293,0.198216,0.208629,"27,887","3,023,700"
"Oct 15, 2017",0.218821,0.230803,0.204271,0.226951,"24,104","2,914,990"
"Oct 14, 2017",0.223573,0.223573,0.202354,0.218428,"21,188","2,978,280"
"Oct 13, 2017",0.216461,0.226520,0.196739,0.223509,"37,024","2,883,540"
"Oct 12, 2017",0.215381,0.220515,0.196553,0.215796,"48,402","2,869,150"
"Oct 11, 2017",0.190563,0.222094,0.189052,0.215191,"37,763","2,538,550"
"Oct 10, 2017",0.186402,0.203402,0.178055,0.190595,"27,781","2,483,110"
"Oct 09, 2017",0.201983,0.208537,0.185821,0.186425,"56,620","2,690,680"
"Oct 08, 2017",0.213253,0.223188,0.198313,0.202339,"101,510","2,840,810"
"Oct 07, 2017",0.215840,0.226963,0.207635,0.213935,"90,393","2,875,260"
"Oct 06, 2017",0.202778,0.254053,0.200108,0.215770,"193,238","2,701,270"
"Oct 05, 2017",0.206792,0.210164,0.196040,0.202779,"28,032","2,754,740"
"Oct 04, 2017",0.217985,0.220271,0.203315,0.206605,"45,021","2,903,850"
"Oct 03, 2017",0.225929,0.234131,0.206169,0.217481,"52,063","3,009,660"
"Oct 02, 2017",0.241668,0.246770,0.225800,0.225919,"60,318","3,219,330"
"Oct 01, 2017",0.247316,0.255096,0.236306,0.241774,"88,341","3,294,570"
"Sep 30, 2017",0.248438,0.286119,0.235049,0.247183,"273,415","3,309,520"
"Sep 29, 2017",0.251155,0.305026,0.216160,0.250281,"810,510","3,345,710"
"Sep 28, 2017",0.212768,0.250413,0.211582,0.250356,"83,346","2,834,350"
"Sep 27, 2017",0.193996,0.217468,0.193996,0.212761,"35,084","2,584,270"
"Sep 26, 2017",0.196612,0.205427,0.189713,0.195706,"42,587","2,619,130"
"Sep 25, 2017",0.186266,0.200157,0.184349,0.196435,"29,684","2,481,300"
"Sep 24, 2017",0.183020,0.200194,0.177762,0.189209,"32,392","2,438,070"
"Sep 23, 2017",0.176165,0.192041,0.169936,0.183036,"141,641","2,346,740"
"Sep 22, 2017",0.177698,0.184813,0.164187,0.176666,"28,311","2,367,170"
"Sep 21, 2017",0.204113,0.207434,0.167640,0.177902,"50,249","2,719,050"
"Sep 20, 2017",0.192090,0.218029,0.184984,0.205307,"43,435","2,558,880"
"Sep 19, 2017",0.217435,0.217435,0.189187,0.192346,"70,599","2,896,520"
"Sep 18, 2017",0.184441,0.239002,0.181421,0.216910,"262,444","2,456,990"
"Sep 17, 2017",0.165324,0.205079,0.155238,0.185138,"172,164","2,202,330"
"Sep 16, 2017",0.168598,0.173015,0.154014,0.165437,"59,505","2,245,950"
"Sep 15, 2017",0.139638,0.177237,0.130233,0.169039,"51,820","1,860,160"
"Sep 14, 2017",0.206739,0.215717,0.138559,0.138559,"151,165","2,754,040"
"Sep 13, 2017",0.295906,0.337936,0.176349,0.206756,"1,427,110","3,941,860"
"Sep 12, 2017",0.159367,0.358969,0.157268,0.300158,"3,636,650","2,122,980"
"Sep 11, 2017",0.160841,0.167547,0.153034,0.159215,"18,246","2,142,610"
