Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.123347,0.129925,0.089356,0.127344,362,"391,504"
"Dec 15, 2017",0.123167,0.132661,0.100382,0.123178,769,"390,870"
"Dec 14, 2017",0.099530,0.123192,0.087940,0.122982,374,"315,819"
"Dec 13, 2017",0.100684,0.131560,0.099142,0.099847,"1,768","319,431"
"Dec 12, 2017",0.151554,0.153164,0.100221,0.100553,386,"480,704"
"Dec 11, 2017",0.081204,0.157072,0.080900,0.151064,"1,969","257,521"
"Dec 10, 2017",0.102844,0.107528,0.075340,0.081878,146,"326,093"
"Dec 09, 2017",0.089414,0.113229,0.074178,0.102429,377,"283,461"
"Dec 08, 2017",0.087416,0.119137,0.071941,0.089381,"1,080","277,072"
"Dec 07, 2017",0.092021,0.187562,0.078112,0.087216,"1,163","291,612"
"Dec 06, 2017",0.079331,0.092303,0.079331,0.092179,74,"251,356"
"Dec 05, 2017",0.078728,0.081150,0.076705,0.079507,14,"249,405"
"Dec 04, 2017",0.078070,0.083167,0.074404,0.078573,86,"247,282"
"Dec 03, 2017",0.065218,0.107089,0.064222,0.077812,128,"206,506"
"Dec 02, 2017",0.071287,0.105689,0.060362,0.065156,732,"225,473"
"Dec 01, 2017",0.056629,0.081085,0.053210,0.071347,264,"179,099"
"Nov 30, 2017",0.086410,0.094673,0.048601,0.056911,77,"273,246"
"Nov 29, 2017",0.060091,0.111728,0.060091,0.085102,335,"189,986"
"Nov 28, 2017",0.085321,0.085323,0.059232,0.060505,39,"269,711"
"Nov 27, 2017",0.055001,0.080416,0.051502,0.053086,23,"173,849"
"Nov 26, 2017",0.044956,0.092731,0.043358,0.054991,468,"142,075"
"Nov 25, 2017",0.043650,0.045392,0.042125,0.044971,35,"137,923"
"Nov 24, 2017",0.044583,0.068770,0.038404,0.043739,278,"140,846"
"Nov 23, 2017",0.047706,0.050501,0.044654,0.044654,338,"150,684"
"Nov 22, 2017",0.043654,0.047955,0.040819,0.047721,57,"137,855"
"Nov 21, 2017",0.041213,0.050269,0.038614,0.043548,21,"130,122"
"Nov 20, 2017",0.042618,0.062207,0.039389,0.041206,27,"134,530"
"Nov 19, 2017",0.041564,0.061733,0.039507,0.042638,30,"131,190"
"Nov 18, 2017",0.041917,0.043111,0.040883,0.041641,18,"132,301"
"Nov 17, 2017",0.053120,0.054368,0.038751,0.042078,296,"167,661"
"Nov 16, 2017",0.042946,0.057487,0.037476,0.053208,129,"135,546"
"Nov 15, 2017",0.033785,0.043065,0.033785,0.042722,430,"106,628"
"Nov 14, 2017",0.034574,0.038959,0.033508,0.033762,686,"109,116"
"Nov 13, 2017",0.031409,0.041027,0.031281,0.034501,22,"99,000"
"Nov 12, 2017",0.045994,0.045994,0.029633,0.041681,39,"144,935"
"Nov 11, 2017",0.033986,0.046084,0.032474,0.046026,72,"107,064"
"Nov 10, 2017",0.037701,0.038828,0.033356,0.034108,117,"118,715"
"Nov 09, 2017",0.039353,0.039353,0.037154,0.037589,38,"123,870"
"Nov 08, 2017",0.037388,0.041331,0.037166,0.039394,38,"117,646"
"Nov 07, 2017",0.036883,0.037948,0.036738,0.037506,35,"116,014"
"Nov 06, 2017",0.040474,0.040593,0.036942,0.036942,24,"127,280"
"Nov 05, 2017",0.039527,0.043553,0.039123,0.040380,56,"124,261"
"Nov 04, 2017",0.038088,0.040493,0.037343,0.039635,41,"119,691"
"Nov 03, 2017",0.037389,0.054224,0.037137,0.038187,179,"117,464"
"Nov 02, 2017",0.035473,0.038621,0.035473,0.037435,69,"111,417"
"Nov 01, 2017",0.036693,0.036693,0.033481,0.035374,261,"115,185"
"Oct 31, 2017",0.034473,0.037269,0.032386,0.036720,95,"108,193"
"Oct 30, 2017",0.033398,0.038087,0.033283,0.034590,81,"104,779"
"Oct 29, 2017",0.029960,0.035008,0.029837,0.033594,59,"93,973"
"Oct 28, 2017",0.036100,0.053872,0.029849,0.030001,406,"113,197"
"Oct 27, 2017",0.031350,0.043922,0.030009,0.036006,103,"98,271"
"Oct 26, 2017",0.031334,0.033203,0.030825,0.031327,69,"98,188"
"Oct 25, 2017",0.040908,0.043320,0.029912,0.031337,79,"128,142"
"Oct 24, 2017",0.057217,0.057217,0.033556,0.040904,243,"179,151"
"Oct 23, 2017",0.031791,0.057506,0.029746,0.057347,"1,126","99,507"
"Oct 22, 2017",0.031859,0.034171,0.030402,0.031864,51,"99,678"
"Oct 21, 2017",0.033013,0.033629,0.030958,0.031849,38,"103,186"
"Oct 20, 2017",0.032411,0.033688,0.031211,0.033083,51,"101,267"
"Oct 19, 2017",0.032194,0.033093,0.031884,0.032402,65,"100,566"
"Oct 18, 2017",0.031162,0.033748,0.029678,0.032177,48,"97,317"
"Oct 17, 2017",0.039038,0.039149,0.030293,0.031160,36,"121,882"
"Oct 16, 2017",0.030117,0.039236,0.029438,0.039032,135,"94,009"
"Oct 15, 2017",0.036389,0.036612,0.028959,0.030113,558,"113,569"
"Oct 14, 2017",0.033367,0.037022,0.032687,0.036964,23,"104,110"
"Oct 13, 2017",0.033134,0.035791,0.032923,0.033358,43,"103,372"
"Oct 12, 2017",0.030892,0.033033,0.027806,0.033033,47,"96,375"
"Oct 11, 2017",0.035107,0.035318,0.027667,0.030866,63,"109,519"
"Oct 10, 2017",0.036296,0.037115,0.034857,0.035113,59,"113,192"
"Oct 09, 2017",0.036589,0.039146,0.034449,0.036299,39,"113,941"
"Oct 08, 2017",0.034170,0.040687,0.031545,0.036580,86,"106,363"
"Oct 07, 2017",0.041313,0.058795,0.030942,0.034259,86,"128,539"
"Oct 06, 2017",0.038619,0.060266,0.036318,0.041300,"1,936","120,103"
"Oct 05, 2017",0.036324,0.039000,0.025983,0.038619,94,"112,961"
"Oct 04, 2017",0.026779,0.036435,0.025851,0.036291,176,"83,277"
"Oct 03, 2017",0.022322,0.040183,0.022290,0.026717,714,"69,401"
"Oct 02, 2017",0.022739,0.025786,0.022220,0.022322,35,"70,686"
"Oct 01, 2017",0.026568,0.030932,0.021877,0.022749,60,"82,563"
"Sep 30, 2017",0.024301,0.030751,0.023934,0.026554,51,"75,498"
"Sep 29, 2017",0.021838,0.029214,0.020878,0.024298,222,"53,923"
"Sep 28, 2017",0.021878,0.022385,0.021382,0.021855,95,"54,022"
"Sep 27, 2017",0.020104,0.025711,0.020104,0.021877,39,"49,641"
"Sep 26, 2017",0.020238,0.020544,0.019785,0.020160,182,"49,972"
"Sep 25, 2017",0.018372,0.020461,0.018372,0.020228,87,"45,364"
"Sep 24, 2017",0.019208,0.019208,0.018390,0.018390,8,"47,429"
"Sep 23, 2017",0.017631,0.019280,0.017461,0.019206,33,"43,535"
"Sep 22, 2017",0.015875,0.017774,0.014168,0.017681,74,"39,199"
"Sep 21, 2017",0.019669,0.020963,0.015772,0.015893,34,"48,566"
"Sep 20, 2017",0.020127,0.023604,0.019758,0.019766,320,"49,698"
"Sep 19, 2017",0.022850,0.035847,0.019949,0.020154,26,"56,421"
"Sep 18, 2017",0.019268,0.023539,0.019268,0.022794,35,"47,578"
"Sep 17, 2017",0.019821,0.019903,0.018132,0.019307,24,"48,942"
"Sep 16, 2017",0.020083,0.022879,0.019033,0.019831,40,"49,588"
"Sep 15, 2017",0.017323,0.029849,0.016149,0.020126,48,"42,776"
"Sep 14, 2017",0.020854,0.023041,0.017189,0.017189,20,"51,492"
"Sep 13, 2017",0.024505,0.024594,0.020650,0.020855,36,"60,507"
"Sep 12, 2017",0.024824,0.026530,0.021511,0.024597,37,"61,295"
"Sep 11, 2017",0.029253,0.030528,0.024125,0.024797,54,"72,232"
"Sep 10, 2017",0.050762,0.050762,0.024003,0.029302,117,"125,343"
"Sep 09, 2017",0.030712,0.081269,0.028728,0.050943,226,"75,835"
"Sep 08, 2017",0.024949,0.031950,0.024735,0.030653,116,"61,606"
"Sep 07, 2017",0.023303,0.034109,0.019645,0.024945,441,"57,541"
"Sep 06, 2017",0.023402,0.028340,0.019404,0.023348,224,"57,785"
"Sep 05, 2017",0.018648,0.023816,0.017411,0.023375,47,"46,047"
"Sep 04, 2017",0.020133,0.021587,0.017790,0.018552,23,"49,713"
"Sep 03, 2017",0.021522,0.025120,0.020126,0.020126,36,"53,142"
"Sep 02, 2017",0.025969,0.026438,0.019887,0.021508,42,"64,123"
"Sep 01, 2017",0.021379,0.027803,0.021379,0.025924,93,"52,791"
"Aug 31, 2017",0.025715,0.025917,0.021169,0.021376,51,"63,497"
"Aug 30, 2017",0.025237,0.044664,0.025118,0.025761,30,"62,317"
"Aug 29, 2017",0.023267,0.025752,0.023065,0.025252,6,"57,452"
"Aug 28, 2017",0.022039,0.026181,0.021467,0.023228,56,"54,419"
"Aug 27, 2017",0.020617,0.025870,0.020617,0.022062,84,"50,909"
"Aug 26, 2017",0.023295,0.024842,0.020538,0.020622,39,"57,520"
"Aug 25, 2017",0.023322,0.024054,0.023302,0.023931,4,"57,587"
"Aug 24, 2017",0.026241,0.044021,0.022389,0.023359,22,"64,795"
"Aug 23, 2017",0.026631,0.027324,0.017090,0.026134,90,"65,758"
"Aug 22, 2017",0.024484,0.026832,0.022668,0.026686,27,"60,456"
"Aug 21, 2017",0.023570,0.024457,0.023098,0.024427,35,"58,201"
"Aug 20, 2017",0.023987,0.031786,0.023324,0.023660,331,"59,230"
"Aug 19, 2017",0.022487,0.024146,0.021938,0.024100,70,"55,526"
"Aug 18, 2017",0.025251,0.026965,0.021483,0.022476,46,"62,350"
"Aug 17, 2017",0.028249,0.029481,0.024749,0.025328,53,"69,753"
"Aug 16, 2017",0.027830,0.028280,0.026318,0.028275,107,"68,718"
"Aug 15, 2017",0.029156,0.029590,0.025879,0.027799,414,"71,993"
"Aug 14, 2017",0.031061,0.031378,0.018895,0.029078,54,"76,697"
"Aug 13, 2017",0.019559,0.031560,0.019559,0.031041,308,"48,295"
"Aug 12, 2017",0.025741,0.027027,0.019094,0.019577,324,"63,560"
"Aug 11, 2017",0.025383,0.026226,0.025272,0.025761,190,"62,678"
"Aug 10, 2017",0.025091,0.025716,0.024917,0.025385,35,"61,955"
"Aug 09, 2017",0.025165,0.025588,0.024101,0.025088,79,"62,139"
"Aug 08, 2017",0.026003,0.031487,0.024729,0.025182,147,"64,207"
"Aug 07, 2017",0.031406,0.031551,0.025155,0.025977,40,"77,547"
"Aug 06, 2017",0.031044,0.035269,0.023692,0.031476,93,"76,654"
"Aug 05, 2017",0.025573,0.031039,0.023058,0.031036,952,"63,146"
"Aug 04, 2017",0.030139,0.035186,0.025313,0.025583,628,"74,421"
"Aug 03, 2017",0.037148,0.038218,0.027307,0.030146,"2,294","91,728"
"Aug 02, 2017",0.026911,0.037028,0.019418,0.037028,168,"66,448"
"Aug 01, 2017",0.028402,0.029006,0.024152,0.026966,17,"70,131"
"Jul 31, 2017",0.028164,0.029342,0.026423,0.028388,29,"69,544"
"Jul 30, 2017",0.029825,0.037303,0.025891,0.028134,178,"73,644"
"Jul 29, 2017",0.022017,0.030842,0.018885,0.029832,35,"54,366"
"Jul 28, 2017",0.038146,0.042111,0.021744,0.022094,506,"94,190"
"Jul 27, 2017",0.030046,0.039892,0.028895,0.038189,78,"74,191"
"Jul 26, 2017",0.036447,0.040614,0.026954,0.029961,831,"89,995"
"Jul 25, 2017",0.044232,0.044498,0.034682,0.036430,54,"109,218"
"Jul 24, 2017",0.041497,0.044335,0.040327,0.044236,284,"102,466"
"Jul 23, 2017",0.048948,0.049183,0.039454,0.041546,606,"120,864"
"Jul 22, 2017",0.046259,0.050816,0.038809,0.048951,173,"114,223"
"Jul 21, 2017",0.036540,0.056127,0.034392,0.045983,868,"90,225"
"Jul 20, 2017",0.040482,0.045185,0.031507,0.036271,134,"99,960"
"Jul 19, 2017",0.035472,0.044220,0.031683,0.040539,353,"87,588"
"Jul 18, 2017",0.040466,0.064995,0.034934,0.035416,"1,634","99,919"
"Jul 17, 2017",0.031860,0.058195,0.023631,0.040362,"2,695","78,668"
"Jul 16, 2017",0.029059,0.044552,0.016152,0.031895,993,"71,753"
"Jul 15, 2017",0.028726,0.051263,0.026972,0.029146,280,"70,930"
"Jul 14, 2017",0.016956,0.047650,0.016885,0.028775,297,"41,869"
"Jul 13, 2017",0.017002,0.034806,0.016769,0.016969,220,"41,982"
"Jul 12, 2017",0.016864,0.017950,0.015808,0.016989,52,"41,642"
"Jul 11, 2017",0.018693,0.018941,0.014983,0.016948,38,"46,156"
"Jul 10, 2017",0.021554,0.023931,0.018221,0.018732,112,"53,221"
"Jul 09, 2017",0.021319,0.024434,0.020141,0.021512,149,"52,642"
"Jul 08, 2017",0.021263,0.024434,0.020747,0.022210,202,"52,503"
"Jul 07, 2017",0.018857,0.023256,0.016372,0.021248,73,"46,563"
"Jul 06, 2017",0.023973,0.031385,0.016253,0.019010,434,"59,195"
"Jul 05, 2017",0.016659,0.026414,0.016642,0.023965,752,"41,136"
"Jul 04, 2017",0.026259,0.042604,0.006513,0.016892,"1,909","64,840"
"Jul 03, 2017",0.038146,0.040666,0.025897,0.026318,12,"94,191"
"Jul 02, 2017",0.026703,0.042273,0.026313,0.038287,32,"65,935"
"Jul 01, 2017",0.025988,0.029426,0.025552,0.026703,30,"64,170"
"Jun 30, 2017",0.026233,0.030318,0.025894,0.025998,12,"64,774"
"Jun 29, 2017",0.031455,0.047269,0.026180,0.026180,6,"77,670"
"Jun 28, 2017",0.026534,0.031895,0.024588,0.031484,159,"65,518"
"Jun 27, 2017",0.030467,0.030467,0.024244,0.026346,77,"75,229"
"Jun 26, 2017",0.033262,0.052686,0.029337,0.030467,17,"82,131"
"Jun 25, 2017",0.032673,0.033370,0.028173,0.033304,21,"80,677"
"Jun 24, 2017",0.033133,0.039932,0.031815,0.032747,17,"81,813"
"Jun 23, 2017",0.060191,0.060267,0.031264,0.033137,91,"148,624"
"Jun 22, 2017",0.026611,0.061532,0.026611,0.060191,118,"65,709"
"Jun 21, 2017",0.024176,0.053097,0.024176,0.026611,114,"59,696"
"Jun 20, 2017",0.036664,0.036664,0.020870,0.024176,315,"90,532"
"Jun 19, 2017",0.018767,0.036664,0.018758,0.036664,14,"46,339"
"Jun 18, 2017",0.033978,0.033978,0.018650,0.018768,7,"83,898"
"Jun 17, 2017",0.078567,0.085162,0.033978,0.033978,11,"194,000"
"Jun 16, 2017",0.033675,0.078567,0.029580,0.078567,13,"83,151"
"Jun 15, 2017",0.044935,0.046314,0.019397,0.033700,466,"110,955"
"Jun 14, 2017",0.043865,0.055517,0.036969,0.044922,54,"108,312"
"Jun 13, 2017",0.055946,0.065340,0.038572,0.042071,111,"138,144"
"Jun 12, 2017",0.048286,0.074046,0.048224,0.051718,22,"119,229"
"Jun 11, 2017",0.064493,0.067695,0.035858,0.048350,177,"159,247"
"Jun 10, 2017",0.075419,0.083574,0.059857,0.064126,176,"186,225"
"Jun 09, 2017",0.041478,0.076298,0.041384,0.075504,438,"102,418"
"Jun 08, 2017",0.039558,0.050575,0.038568,0.041543,139,"97,677"
"Jun 07, 2017",0.042832,0.043450,0.038711,0.039372,54,"105,762"
"Jun 06, 2017",0.037576,0.046679,0.037507,0.042821,111,"92,783"
"Jun 05, 2017",0.028448,0.037559,0.028104,0.037463,57,"70,245"
"Jun 04, 2017",0.026029,0.039123,0.025441,0.028443,46,"64,270"
"Jun 03, 2017",0.020347,0.039221,0.020246,0.026099,219,"50,241"
"Jun 02, 2017",0.017155,0.024889,0.016902,0.020356,74,"42,359"
"Jun 01, 2017",0.019704,0.021523,0.016551,0.017149,171,"48,654"
"May 31, 2017",0.019369,0.025689,0.019168,0.019682,30,"47,827"
