Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.004450,0.004652,0.004431,0.004594,42,-
"Dec 15, 2017",0.005450,0.005453,0.004400,0.004442,68,-
"Dec 14, 2017",0.000771,0.005458,0.000764,0.005444,8,-
"Dec 13, 2017",0.002347,0.004215,0.000761,0.000772,14,-
"Dec 12, 2017",0.001827,0.002508,0.001780,0.002345,137,-
"Dec 11, 2017",0.001653,0.001839,0.001650,0.001839,2,-
"Dec 05, 2017",0.001657,0.001661,0.001648,0.001654,33,-
"Dec 04, 2017",0.001645,0.001675,0.001590,0.001656,33,-
"Dec 03, 2017",0.001617,0.001708,0.001589,0.001642,33,-
"Dec 02, 2017",0.001851,0.001883,0.001834,0.001846,22,-
"Dec 01, 2017",0.001746,0.001870,0.001665,0.001851,115,-
"Nov 30, 2017",0.005137,0.005514,0.001588,0.001750,98,-
"Nov 29, 2017",0.001661,0.005387,0.001646,0.005072,72,-
"Nov 28, 2017",0.002090,0.023755,0.001659,0.001660,906,-
"Nov 27, 2017",0.001835,0.002155,0.001304,0.002093,10,-
"Nov 26, 2017",0.001258,0.002481,0.001222,0.001835,38,-
"Nov 25, 2017",0.001270,0.002856,0.001249,0.001258,76,-
"Nov 24, 2017",0.002285,0.002318,0.001082,0.001271,286,-
"Nov 23, 2017",0.002017,0.005164,0.002017,0.002296,178,-
"Nov 22, 2017",0.002263,0.003682,0.001807,0.002012,238,-
"Nov 21, 2017",0.060082,0.079947,0.001192,0.002260,"16,568",-
"Nov 20, 2017",0.053542,0.076259,0.013080,0.060177,"6,241",-
"Nov 19, 2017",0.140145,0.152520,0.053600,0.053600,"12,948",-
"Nov 18, 2017",0.168928,0.201515,0.089238,0.140508,"33,850",-
"Nov 17, 2017",0.236266,0.277148,0.120682,0.169193,"48,150",-
"Nov 16, 2017",0.248835,0.297208,0.230024,0.247535,"40,653",-
