Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.002143,0.002240,0.002128,0.002168,21,-
"Dec 15, 2017",0.002171,0.002177,0.001925,0.002139,21,-
"Dec 14, 2017",0.002193,0.002351,0.002065,0.002169,58,-
"Dec 13, 2017",0.004955,0.005066,0.001922,0.002194,58,-
"Dec 12, 2017",0.004650,0.004987,0.004519,0.004952,23,-
"Dec 06, 2017",0.003638,0.003652,0.003438,0.003480,70,-
"Dec 05, 2017",0.003731,0.003741,0.003612,0.003645,73,-
"Dec 04, 2017",0.003704,0.004198,0.003658,0.003729,78,-
"Dec 03, 2017",0.003204,0.003753,0.001392,0.003698,202,-
"Dec 02, 2017",0.004157,0.004239,0.003203,0.003203,1,-
"Dec 01, 2017",0.003870,0.004200,0.003716,0.004157,13,-
"Nov 30, 2017",0.003797,0.004076,0.003518,0.003879,42,-
"Nov 29, 2017",0.004149,0.004531,0.003668,0.003749,57,-
"Nov 28, 2017",0.001900,0.004199,0.001841,0.004145,9,-
"Nov 27, 2017",0.004234,0.004407,0.001901,0.001903,77,-
"Nov 26, 2017",0.004183,0.004255,0.004062,0.004235,211,-
"Nov 25, 2017",0.000715,0.004286,0.000703,0.004183,131,-
"Nov 24, 2017",0.004892,0.004963,0.000684,0.000715,286,-
"Nov 23, 2017",0.003043,0.005087,0.003005,0.004917,28,-
"Nov 22, 2017",0.003283,0.003322,0.002889,0.003036,347,-
"Nov 21, 2017",0.004048,0.004065,0.003215,0.003279,437,-
"Nov 20, 2017",0.003546,0.004081,0.003545,0.004054,313,-
"Nov 19, 2017",0.003465,0.003693,0.003439,0.003550,123,-
"Nov 18, 2017",0.003316,0.006879,0.003270,0.003474,121,-
"Nov 17, 2017",0.006569,0.006611,0.003312,0.003321,40,-
"Nov 16, 2017",0.006588,0.006655,0.003301,0.006574,647,-
"Nov 15, 2017",0.003183,0.006603,0.003095,0.006593,166,-
"Nov 14, 2017",0.003057,0.011485,0.003022,0.003181,485,-
"Nov 13, 2017",0.002920,0.003069,0.002920,0.003057,354,-
"Nov 12, 2017",0.003125,0.003125,0.001513,0.002916,42,-
"Nov 11, 2017",0.003074,0.003143,0.003066,0.003125,177,-
"Nov 10, 2017",0.002307,0.002931,0.002098,0.002155,4,-
"Nov 09, 2017",0.002807,0.002892,0.002249,0.002306,338,-
"Nov 08, 2017",0.003829,0.006161,0.002790,0.002823,305,-
"Nov 07, 2017",0.003006,0.008188,0.002999,0.003832,672,-
"Nov 06, 2017",0.003024,0.003080,0.003001,0.003001,30,-
"Nov 05, 2017",0.012909,0.012920,0.012721,0.012733,0,-
"Nov 04, 2017",0.013716,0.013716,0.012683,0.012892,0,-
"Nov 03, 2017",0.012810,0.013847,0.012810,0.013714,0,-
"Nov 02, 2017",0.006370,0.013071,0.006117,0.012748,0,-
"Nov 01, 2017",0.012148,0.012191,0.006353,0.006353,198,-
"Oct 31, 2017",0.006136,0.012244,0.006130,0.012170,379,-
"Oct 30, 2017",0.009111,0.009265,0.006090,0.006133,466,-
"Oct 29, 2017",0.008845,0.010244,0.008845,0.009129,246,-
"Oct 28, 2017",0.008906,0.008929,0.008755,0.008849,106,-
