Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.388231,0.510330,0.365904,0.506328,"7,516","2,403,220"
"Dec 15, 2017",0.364928,0.433791,0.364166,0.387686,"9,387","2,258,970"
"Dec 14, 2017",0.360260,0.398257,0.344726,0.380943,"5,353","2,230,080"
"Dec 13, 2017",0.397348,0.429591,0.344519,0.361421,"9,985","2,459,660"
"Dec 12, 2017",0.387243,0.423103,0.364736,0.414278,"3,501","2,397,100"
"Dec 11, 2017",0.365927,0.416197,0.325671,0.386004,"9,404","2,265,160"
"Dec 10, 2017",0.330825,0.375556,0.284721,0.368589,"1,843","2,047,870"
"Dec 09, 2017",0.374068,0.381484,0.314382,0.329490,"3,448","2,315,550"
"Dec 08, 2017",0.364463,0.403904,0.295720,0.374445,"3,399","2,256,090"
"Dec 07, 2017",0.329661,0.387485,0.325444,0.363608,"7,746","2,040,660"
"Dec 06, 2017",0.362724,0.390364,0.303002,0.343988,"12,136","2,245,330"
"Dec 05, 2017",0.314719,0.457645,0.280767,0.328349,"13,606","1,948,170"
"Dec 04, 2017",0.326011,0.353145,0.261119,0.314102,"20,325","2,018,070"
"Dec 03, 2017",0.360746,0.385726,0.281199,0.324934,"15,133","2,233,080"
"Dec 02, 2017",0.391837,0.406298,0.323322,0.360402,"14,598","2,425,540"
"Dec 01, 2017",0.359751,0.475971,0.292409,0.392170,"23,374","2,226,920"
"Nov 30, 2017",0.353833,0.379617,0.293569,0.361542,"3,967","2,190,290"
"Nov 29, 2017",0.357406,0.431718,0.330305,0.348480,"10,049","2,212,410"
"Nov 28, 2017",0.419481,0.428378,0.345608,0.357762,"13,482","2,596,660"
"Nov 27, 2017",0.447249,0.454194,0.357667,0.418397,"7,657","2,768,550"
"Nov 26, 2017",0.437314,0.494073,0.297433,0.437848,"17,490","2,707,050"
"Nov 25, 2017",0.303769,0.479703,0.261466,0.437461,"38,182","1,880,380"
"Nov 24, 2017",0.225037,0.322391,0.193030,0.304384,"13,533","1,393,020"
"Nov 23, 2017",0.156278,0.243069,0.153942,0.233393,"12,826","967,392"
"Nov 22, 2017",0.154168,0.165645,0.153516,0.164556,"1,180","954,326"
"Nov 21, 2017",0.164829,0.173467,0.145020,0.153794,"1,676","1,020,320"
"Nov 20, 2017",0.160868,0.173906,0.139855,0.164798,"2,923","995,800"
"Nov 19, 2017",0.163525,0.171616,0.139585,0.160943,"3,064","1,012,250"
"Nov 18, 2017",0.153735,0.164135,0.130143,0.163829,"3,566","951,645"
"Nov 17, 2017",0.156894,0.164707,0.123079,0.154326,"4,168","971,199"
"Nov 16, 2017",0.102243,0.158744,0.101398,0.157151,"5,592","632,900"
"Nov 15, 2017",0.105786,0.145469,0.101245,0.101710,"2,245","654,832"
"Nov 14, 2017",0.097963,0.118853,0.097414,0.105713,"1,368","606,408"
"Nov 13, 2017",0.105675,0.118054,0.086549,0.097756,"1,593","654,145"
"Nov 12, 2017",0.089057,0.124647,0.074279,0.105521,"4,093","551,277"
"Nov 11, 2017",0.092048,0.097633,0.076761,0.089122,805,"569,794"
"Nov 10, 2017",0.099804,0.110018,0.078152,0.092377,"1,618","617,804"
"Nov 09, 2017",0.097076,0.114640,0.086281,0.099508,"2,928","600,920"
"Nov 08, 2017",0.092510,0.112699,0.088166,0.097176,"1,588","572,652"
"Nov 07, 2017",0.090467,0.100503,0.084826,0.092801,413,"560,005"
"Nov 06, 2017",0.103507,0.110724,0.084522,0.090612,923,"640,727"
"Nov 05, 2017",0.095898,0.105793,0.080341,0.103278,758,"593,628"
"Nov 04, 2017",0.107504,0.107725,0.085658,0.096080,"1,569","665,468"
"Nov 03, 2017",0.112373,0.130604,0.087795,0.107784,"2,385","695,606"
"Nov 02, 2017",0.100929,0.127696,0.096106,0.112520,957,"624,770"
"Nov 01, 2017",0.090215,0.113247,0.089119,0.107538,"1,407","558,447"
"Oct 31, 2017",0.091917,0.108271,0.085892,0.090281,"1,777","568,982"
"Oct 30, 2017",0.098511,0.104823,0.085036,0.092230,"1,688","609,799"
"Oct 29, 2017",0.080191,0.105914,0.080032,0.099086,"1,394","496,396"
"Oct 28, 2017",0.097978,0.117164,0.080301,0.080301,"2,371","606,503"
"Oct 27, 2017",0.082415,0.109191,0.075380,0.097712,"1,751","510,165"
"Oct 26, 2017",0.074547,0.089258,0.074078,0.082396,191,"461,459"
"Oct 25, 2017",0.088293,0.099093,0.071373,0.074556,"2,072","546,548"
"Oct 24, 2017",0.087984,0.097594,0.072673,0.093773,987,"544,634"
"Oct 23, 2017",0.089689,0.095658,0.069932,0.088178,"1,852","555,193"
"Oct 22, 2017",0.096219,0.105736,0.089552,0.089834,273,"595,614"
"Oct 21, 2017",0.090077,0.117375,0.084588,0.102202,"1,442","557,594"
"Oct 20, 2017",0.096978,0.108574,0.073344,0.096285,"4,021","600,309"
"Oct 19, 2017",0.100571,0.108393,0.095966,0.096950,210,"622,550"
"Oct 18, 2017",0.112015,0.115731,0.090948,0.100518,249,"693,391"
"Oct 17, 2017",0.086686,0.123199,0.078986,0.112007,"3,164","536,600"
"Oct 16, 2017",0.091070,0.112133,0.073029,0.086672,"2,068","563,742"
"Oct 15, 2017",0.105323,0.127697,0.091038,0.091058,"4,028","651,966"
"Oct 14, 2017",0.096146,0.130182,0.095443,0.105135,"1,248","595,164"
"Oct 13, 2017",0.108814,0.120574,0.093893,0.096120,"2,041","673,578"
"Oct 12, 2017",0.106177,0.117978,0.102332,0.108480,640,"657,256"
"Oct 11, 2017",0.104781,0.111667,0.100438,0.106087,232,"648,611"
"Oct 10, 2017",0.095723,0.122665,0.092505,0.104798,"1,370","592,545"
"Oct 09, 2017",0.105864,0.124672,0.086253,0.095730,"2,301","655,318"
"Oct 08, 2017",0.124421,0.125589,0.105211,0.105837,"1,507","770,188"
"Oct 07, 2017",0.118094,0.125044,0.108607,0.120299,"1,593","731,020"
"Oct 06, 2017",0.121063,0.132380,0.108166,0.118056,"1,035","749,400"
"Oct 05, 2017",0.118200,0.133619,0.107913,0.121063,"1,093","731,676"
"Oct 04, 2017",0.120951,0.130039,0.109104,0.118093,886,"748,711"
"Oct 03, 2017",0.127682,0.127682,0.111037,0.120672,447,"790,377"
"Oct 02, 2017",0.118641,0.129021,0.110322,0.127678,"1,168","734,408"
"Oct 01, 2017",0.130345,0.130936,0.111537,0.118693,880,"806,858"
"Sep 30, 2017",0.120988,0.130422,0.111494,0.130274,"1,041","748,939"
"Sep 29, 2017",0.130002,0.130439,0.112482,0.120973,533,"804,736"
"Sep 28, 2017",0.122017,0.140911,0.112298,0.125906,"2,447","755,309"
"Sep 27, 2017",0.108881,0.134438,0.101582,0.122013,"2,000","673,992"
"Sep 26, 2017",0.086534,0.109185,0.086528,0.109185,"1,457","535,659"
"Sep 25, 2017",0.084464,0.090940,0.082816,0.086542,80,"522,850"
"Sep 24, 2017",0.087136,0.094361,0.077035,0.084550,"1,917","539,386"
"Sep 23, 2017",0.086574,0.099201,0.082348,0.087143,762,"535,911"
"Sep 22, 2017",0.086901,0.104793,0.079187,0.086819,"1,452","537,931"
"Sep 21, 2017",0.089227,0.100969,0.081193,0.087000,470,"552,329"
"Sep 20, 2017",0.105667,0.116545,0.080392,0.089667,"3,336","654,097"
"Sep 19, 2017",0.114886,0.115970,0.097076,0.105808,449,"711,166"
"Sep 18, 2017",0.092378,0.118922,0.092378,0.114609,"1,853","571,837"
