Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",10.87,11.03,10.62,11.03,"883,389",-
"Dec 15, 2017",10.85,10.98,10.53,10.87,"2,648,920",-
"Dec 14, 2017",10.81,10.88,9.67,10.85,"1,784,690",-
"Dec 13, 2017",10.90,11.02,10.35,10.81,"2,770,420",-
"Dec 12, 2017",10.93,10.96,10.44,10.90,"1,855,460",-
"Dec 11, 2017",10.24,11.03,10.08,10.92,"1,683,400",-
"Dec 10, 2017",10.62,11.02,10.12,10.26,"1,901,840",-
"Dec 09, 2017",10.58,10.63,10.00,10.62,"2,877,000",-
"Dec 08, 2017",10.95,11.01,10.53,10.59,"2,281,470",-
"Dec 07, 2017",10.35,11.09,10.34,10.95,"2,875,590",-
"Dec 06, 2017",10.28,10.49,10.16,10.36,"1,609,240",-
"Dec 05, 2017",10.27,10.44,10.24,10.29,"2,514,960",-
"Dec 04, 2017",10.13,10.37,9.85,10.27,"2,711,990",-
"Dec 03, 2017",10.14,10.30,9.65,10.13,"1,566,280",-
"Dec 02, 2017",9.70,10.14,9.52,10.14,"926,950",-
"Dec 01, 2017",9.78,10.10,9.51,9.70,"1,627,470",-
"Nov 30, 2017",9.56,9.97,9.53,9.79,"1,327,170",-
"Nov 29, 2017",9.67,10.10,9.46,9.54,"1,494,280",-
"Nov 28, 2017",9.97,10.05,9.17,9.67,"2,953,010",-
"Nov 27, 2017",9.95,10.15,9.95,9.97,"1,361,180",-
"Nov 26, 2017",9.76,9.97,9.11,9.95,"2,409,780",-
"Nov 25, 2017",9.87,10.05,9.55,9.76,"1,929,170",-
"Nov 24, 2017",9.80,9.97,9.65,9.88,"2,479,620",-
"Nov 23, 2017",9.78,9.85,9.18,9.80,"2,045,070",-
"Nov 22, 2017",9.83,10.14,9.78,9.78,"1,647,080",-
"Nov 21, 2017",9.92,9.95,9.68,9.83,"2,336,800",-
"Nov 20, 2017",9.71,10.04,9.62,9.92,"2,331,650",-
"Nov 19, 2017",8.83,9.98,8.83,9.71,"1,356,640",-
"Nov 18, 2017",8.86,8.88,8.67,8.83,"1,568,680",-
"Nov 17, 2017",8.28,8.87,8.09,8.86,"2,753,310",-
"Nov 16, 2017",8.27,8.49,8.22,8.28,"1,810,530",-
"Nov 15, 2017",8.21,8.37,7.99,8.27,"2,492,940",-
"Nov 14, 2017",8.32,8.43,7.94,8.20,"1,271,190",-
"Nov 13, 2017",7.28,8.47,7.26,8.31,"2,723,250",-
"Nov 12, 2017",7.79,7.98,7.00,7.27,"533,401",-
"Nov 11, 2017",8.34,8.54,7.77,7.79,"1,375,540",-
"Nov 10, 2017",7.96,8.41,7.96,8.34,"2,297,970",-
"Nov 09, 2017",8.22,8.34,7.86,7.96,"1,641,920",-
"Nov 08, 2017",8.11,8.53,7.01,8.22,"1,450,450",-
"Nov 07, 2017",8.35,8.36,8.06,8.11,"1,370,020",-
"Nov 06, 2017",8.07,8.52,7.82,8.35,"2,062,250",-
"Nov 05, 2017",8.20,8.23,7.67,8.06,"1,328,800",-
"Nov 04, 2017",8.13,8.49,7.87,8.21,"1,661,860",-
"Nov 03, 2017",8.27,8.53,8.07,8.13,"2,602,050",-
"Nov 02, 2017",8.36,8.44,8.14,8.27,"1,923,040",-
"Nov 01, 2017",8.16,8.39,7.96,8.36,"2,444,010",-
"Oct 31, 2017",8.35,8.48,8.15,8.16,"1,156,450",-
"Oct 30, 2017",8.10,8.45,8.03,8.35,"2,863,800",-
"Oct 29, 2017",7.73,8.23,7.67,8.11,"826,178",-
"Oct 28, 2017",8.34,8.41,7.73,7.73,"1,341,490",-
"Oct 27, 2017",8.18,8.35,5.85,8.34,"2,883,120",-
"Oct 26, 2017",7.85,8.19,7.84,8.18,"1,735,330",-
"Oct 25, 2017",7.72,8.04,7.53,7.85,"1,290,000",-
"Oct 24, 2017",7.75,8.01,7.53,7.72,"1,236,830",-
