Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000177,0.000393,0.000174,0.000389,162,-
"Dec 15, 2017",0.000166,0.000181,0.000166,0.000175,11,-
"Dec 14, 2017",0.000164,0.000171,0.000162,0.000166,77,-
"Dec 13, 2017",0.000173,0.000175,0.000159,0.000164,210,-
"Dec 12, 2017",0.000168,0.000300,0.000164,0.000173,981,-
"Dec 11, 2017",0.000152,0.000175,0.000152,0.000168,108,-
"Dec 10, 2017",0.000150,0.000158,0.000132,0.000154,87,-
"Dec 09, 2017",0.000163,0.000286,0.000135,0.000150,84,-
"Dec 08, 2017",0.000174,0.000176,0.000141,0.000163,288,-
"Dec 07, 2017",0.000137,0.000283,0.000136,0.000173,918,-
"Dec 06, 2017",0.000117,0.000239,0.000117,0.000138,367,-
"Dec 05, 2017",0.000117,0.000218,0.000115,0.000117,180,-
"Dec 04, 2017",0.000112,0.000226,0.000109,0.000116,73,-
"Dec 03, 2017",0.000109,0.000235,0.000106,0.000112,40,-
"Dec 02, 2017",0.000109,0.000209,0.000107,0.000109,139,-
"Dec 01, 2017",0.000100,0.000211,0.000095,0.000109,147,-
"Nov 30, 2017",0.000134,0.000188,0.000090,0.000100,40,-
"Nov 29, 2017",0.000192,0.000208,0.000103,0.000132,42,-
"Nov 28, 2017",0.000098,0.000192,0.000097,0.000192,161,-
"Nov 27, 2017",0.000093,0.000172,0.000093,0.000097,49,-
"Nov 26, 2017",0.000087,0.000129,0.000087,0.000093,35,-
"Nov 25, 2017",0.000082,0.000119,0.000082,0.000087,54,-
"Nov 24, 2017",0.000080,0.000166,0.000079,0.000082,253,-
"Nov 23, 2017",0.000082,0.000083,0.000080,0.000080,249,-
"Nov 22, 2017",0.000081,0.000153,0.000081,0.000082,85,-
"Nov 21, 2017",0.000082,0.000084,0.000078,0.000081,24,-
"Nov 20, 2017",0.000080,0.000151,0.000079,0.000082,40,-
"Nov 19, 2017",0.000078,0.000081,0.000077,0.000080,58,-
"Nov 18, 2017",0.000077,0.000152,0.000075,0.000078,23,-
"Nov 17, 2017",0.000078,0.000080,0.000076,0.000077,188,-
"Nov 16, 2017",0.000073,0.000140,0.000072,0.000079,63,-
