Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000048,0.000089,0.000048,0.000072,508,-
"Dec 15, 2017",0.000164,0.000181,0.000048,0.000048,396,-
"Dec 14, 2017",0.000165,0.000166,0.000158,0.000164,"1,479",-
"Dec 13, 2017",0.000001,0.000171,0.000001,0.000165,382,-
"Dec 12, 2017",0.000001,0.000003,0.000001,0.000001,51,-
"Dec 11, 2017",0.000001,0.000001,0.000001,0.000001,6,-
"Dec 10, 2017",0.000001,0.000002,0.000001,0.000001,0,-
"Dec 09, 2017",0.000002,0.000003,0.000001,0.000001,36,-
"Dec 08, 2017",0.000002,0.000002,0.000001,0.000002,248,-
"Dec 07, 2017",0.000002,0.000002,0.000001,0.000002,38,-
"Dec 06, 2017",0.000023,0.000023,0.000001,0.000002,575,-
"Dec 05, 2017",0.000070,0.000073,0.000012,0.000023,44,-
"Dec 04, 2017",0.000112,0.000113,0.000050,0.000070,230,-
"Dec 03, 2017",0.000011,0.000118,0.000011,0.000111,57,-
"Dec 02, 2017",0.000042,0.000044,0.000002,0.000011,263,-
"Dec 01, 2017",0.000002,0.000077,0.000002,0.000042,181,-
"Nov 30, 2017",0.000098,0.000101,0.000003,0.000003,25,-
"Nov 29, 2017",0.000087,0.000105,0.000004,0.000097,243,-
"Nov 28, 2017",9.1e-07,0.000088,9e-07,0.000088,333,-
"Nov 27, 2017",8.6e-07,0.000001,8.6e-07,9.1e-07,206,-
"Nov 26, 2017",0.000013,0.000075,8.5e-07,8.6e-07,706,-
"Nov 25, 2017",7.8e-07,0.000014,7.7e-07,0.000013,43,-
"Nov 24, 2017",0.000014,0.000014,7.4e-07,7.7e-07,526,-
"Nov 23, 2017",0.000070,0.000077,0.000013,0.000014,52,-
"Nov 22, 2017",0.000081,0.000082,0.000070,0.000070,164,-
"Nov 21, 2017",0.000001,0.000083,8.9e-07,0.000081,82,-
"Nov 20, 2017",0.000001,0.000002,7.2e-07,0.000001,1,-
"Nov 19, 2017",8.6e-07,0.000001,7.3e-07,0.000001,17,-
"Nov 18, 2017",0.000001,0.000002,8.4e-07,8.5e-07,157,-
"Nov 17, 2017",9.5e-07,0.000002,6.7e-07,0.000001,32,-
"Nov 16, 2017",0.000001,0.000001,6.3e-07,9.6e-07,11,-
"Nov 15, 2017",0.000001,0.000001,6.4e-07,0.000001,24,-
"Nov 14, 2017",0.000002,0.000002,0.000001,0.000001,60,-
"Nov 13, 2017",0.000010,0.000010,0.000001,0.000002,140,-
"Nov 12, 2017",0.000001,0.000013,0.000001,0.000010,40,-
"Nov 11, 2017",0.000001,0.000002,0.000001,0.000001,20,-
"Nov 10, 2017",0.000001,0.000002,0.000001,0.000001,190,-
"Nov 09, 2017",0.000001,0.000002,0.000001,0.000001,149,-
"Nov 08, 2017",0.000002,0.000015,0.000001,0.000001,2,-
"Nov 07, 2017",0.000002,0.000002,0.000001,0.000002,994,-
"Nov 06, 2017",0.000002,0.000003,0.000002,0.000002,257,-
"Nov 05, 2017",0.000002,0.000003,0.000002,0.000002,152,-
"Nov 04, 2017",0.000002,0.000002,0.000002,0.000002,167,-
"Nov 03, 2017",0.000008,0.000009,0.000002,0.000002,"1,907",-
"Nov 02, 2017",0.000028,0.000029,0.000008,0.000008,777,-
"Nov 01, 2017",0.000049,0.000066,0.000003,0.000028,163,-
