Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",1.97,2.19,1.96,2.18,126,"415,530"
"Dec 15, 2017",1.79,2.02,1.79,1.97,41,"377,686"
"Dec 14, 2017",1.80,1.80,1.78,1.79,20,"378,892"
"Dec 12, 2017",1.90,1.95,1.86,1.95,23,"400,924"
"Dec 11, 2017",1.88,1.98,1.85,1.90,23,"396,550"
"Dec 08, 2017",1.97,2.00,1.60,1.72,2,"415,582"
"Dec 07, 2017",1.52,1.97,1.48,1.97,169,"320,442"
"Dec 06, 2017",1.28,1.40,1.28,1.39,70,"269,154"
"Dec 05, 2017",1.27,1.30,1.26,1.28,64,"268,671"
"Dec 04, 2017",1.23,1.27,1.23,1.27,1,"258,762"
"Dec 03, 2017",1.21,1.29,1.16,1.22,5,"256,082"
"Nov 30, 2017",1.08,1.17,1.07,1.12,11,"227,085"
"Nov 29, 2017",1.08,1.25,0.996595,1.06,11,"228,583"
"Nov 28, 2017",1.05,1.09,1.04,1.09,1,"222,203"
"Nov 27, 2017",1.04,1.05,1.04,1.05,17,"218,954"
"Nov 26, 2017",1.07,1.11,1.07,1.10,5,"225,732"
"Nov 25, 2017",1.05,1.07,1.05,1.07,5,"221,206"
"Nov 23, 2017",0.988667,0.993497,0.983031,0.984278,1,"208,416"
"Nov 22, 2017",0.982098,0.997635,0.973849,0.988983,1,"207,032"
"Nov 20, 2017",1.10,1.13,1.09,1.12,1,"232,516"
"Nov 19, 2017",1.10,1.11,1.09,1.10,1,"232,238"
"Nov 17, 2017",1.08,1.10,1.07,1.07,16,"226,772"
"Nov 16, 2017",0.981285,1.10,0.981063,1.08,17,"206,860"
"Nov 14, 2017",0.705333,0.725867,0.694072,0.715319,320,"148,688"
"Nov 13, 2017",0.749996,0.848267,0.697104,0.703842,317,"158,103"
"Nov 12, 2017",0.822123,0.822123,0.723287,0.748905,2,"173,308"
"Nov 11, 2017",0.829155,0.858814,0.828144,0.845955,3,"174,791"
"Nov 10, 2017",0.910969,0.912006,0.813606,0.832117,3,"192,037"
"Nov 08, 2017",0.944595,0.987040,0.938979,0.980005,12,"199,126"
"Nov 07, 2017",0.949610,0.957607,0.927592,0.947570,12,"200,183"
"Nov 05, 2017",0.930436,0.960034,0.921216,0.959255,2,"196,141"
"Nov 04, 2017",0.932058,0.952232,0.883096,0.932201,45,"196,483"
"Nov 03, 2017",0.914010,0.971004,0.903202,0.934487,4,"192,678"
"Nov 02, 2017",0.917979,0.917979,0.911694,0.915208,141,"193,515"
"Nov 01, 2017",0.837904,0.837904,0.831367,0.831367,126,"176,635"
"Oct 31, 2017",0.797751,0.838518,0.792574,0.838518,127,"168,170"
"Oct 30, 2017",0.902912,0.911685,0.885124,0.893602,1,"190,339"
"Oct 29, 2017",0.899103,0.927191,0.899103,0.908188,1,"189,536"
"Oct 27, 2017",0.861534,0.877557,0.838929,0.838929,21,"181,616"
"Oct 26, 2017",0.870461,0.872198,0.849002,0.861334,22,"183,498"
"Oct 24, 2017",0.835492,0.835492,0.792684,0.808102,3,"176,126"
"Oct 23, 2017",0.838715,0.853838,0.806803,0.837333,3,"176,806"
"Oct 22, 2017",1.09,1.10,0.820568,0.840068,119,"229,648"
"Oct 21, 2017",1.09,1.16,1.07,1.09,17,"229,486"
"Oct 20, 2017",1.09,1.09,1.09,1.09,11,"230,481"
"Oct 18, 2017",1.01,1.01,0.950542,0.958425,15,"213,866"
"Oct 17, 2017",1.05,1.05,1.00,1.01,25,"220,638"
"Oct 16, 2017",1.32,1.33,1.01,1.05,6,"278,409"
"Oct 15, 2017",1.28,1.33,1.28,1.32,1,"269,694"
"Oct 14, 2017",0.909263,0.930597,0.899310,0.923558,9,"191,678"
"Oct 13, 2017",0.874864,0.945022,0.869270,0.909017,9,"184,426"
"Oct 12, 2017",0.784576,0.872177,0.784576,0.872177,3,"165,393"
