Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.163432,0.203879,0.160969,0.180010,"2,128","2,882,720"
"Dec 15, 2017",0.149325,0.196050,0.138166,0.163188,"9,182","2,633,900"
"Dec 14, 2017",0.144012,0.208791,0.129197,0.149102,"7,846","2,540,180"
"Dec 13, 2017",0.152157,0.159809,0.130039,0.144142,"3,403","2,683,850"
"Dec 12, 2017",0.143033,0.198145,0.140456,0.152039,"11,855","2,522,920"
"Dec 11, 2017",0.138374,0.188555,0.133625,0.143259,"13,520","2,440,730"
"Dec 10, 2017",0.128438,0.155581,0.095975,0.139617,"8,208","2,265,470"
"Dec 09, 2017",0.097702,0.129117,0.095318,0.127960,"4,705","1,723,340"
"Dec 08, 2017",0.098239,0.112438,0.092294,0.097744,"1,212","1,732,800"
"Dec 07, 2017",0.125903,0.137224,0.090801,0.098027,"1,325","2,220,760"
"Dec 06, 2017",0.091312,0.126146,0.086628,0.126136,"1,775","1,610,620"
"Dec 05, 2017",0.089661,0.110473,0.085028,0.091479,479,"1,581,500"
"Dec 04, 2017",0.074819,0.102473,0.074112,0.089582,39,"1,319,710"
"Dec 03, 2017",0.111099,0.119215,0.071980,0.074662,88,"1,959,630"
"Dec 02, 2017",0.114767,0.116728,0.076600,0.111001,778,"2,024,340"
"Dec 01, 2017",0.063845,0.127751,0.063845,0.114834,795,"1,126,150"
"Nov 30, 2017",0.080220,0.086863,0.064039,0.064039,11,"1,414,970"
"Nov 29, 2017",0.078767,0.083375,0.059658,0.079058,"1,072","1,389,340"
"Nov 28, 2017",0.083131,0.092535,0.051508,0.078735,"4,759","1,466,320"
"Nov 27, 2017",0.109968,0.113807,0.064039,0.083043,"4,915","1,939,690"
"Nov 26, 2017",0.113660,0.134765,0.106576,0.109951,"5,193","2,004,820"
"Nov 25, 2017",0.105591,0.113698,0.095989,0.113698,541,"1,862,480"
"Nov 24, 2017",0.091471,0.107187,0.087241,0.105619,596,"1,613,420"
"Nov 23, 2017",0.080894,0.109961,0.080894,0.091833,"1,058","1,426,860"
"Nov 22, 2017",0.072191,0.105753,0.072126,0.080716,780,"1,273,360"
"Nov 21, 2017",0.094970,0.095998,0.071607,0.072095,430,"1,675,140"
"Nov 20, 2017",0.088242,0.105885,0.081994,0.095040,252,"1,556,470"
"Nov 19, 2017",0.071133,0.100969,0.060232,0.088300,"1,031","1,254,690"
"Nov 18, 2017",0.074792,0.083031,0.061182,0.071309,447,"1,319,230"
"Nov 17, 2017",0.069958,0.085160,0.068476,0.075053,"1,113","1,233,970"
"Nov 16, 2017",0.092459,0.092846,0.066310,0.070033,"2,240","1,630,860"
"Nov 15, 2017",0.093171,0.100041,0.084968,0.092509,"2,146",-
"Nov 14, 2017",0.082780,0.096303,0.082780,0.093116,"1,749",-
"Nov 13, 2017",0.077143,0.082903,0.074530,0.082715,"6,242",-
"Nov 12, 2017",0.076357,0.092473,0.070543,0.077022,"4,935",-
"Nov 11, 2017",0.085455,0.095365,0.075621,0.076413,518,-
"Nov 10, 2017",0.109951,0.114788,0.083132,0.085760,"1,517",-
"Nov 09, 2017",0.097077,0.118183,0.096336,0.109794,"5,303",-
"Nov 08, 2017",0.105150,0.115103,0.093115,0.097177,"4,274",-
"Nov 07, 2017",0.112786,0.116707,0.090641,0.105432,"2,308",-
"Nov 06, 2017",0.116323,0.133658,0.109621,0.112918,"4,382",-
"Nov 05, 2017",0.114145,0.144775,0.110745,0.116097,"3,996",-
"Nov 04, 2017",0.117493,0.150086,0.114310,0.114310,"3,482",-
"Nov 03, 2017",0.129920,0.142523,0.117562,0.117562,"1,344",-
"Nov 02, 2017",0.111961,0.163886,0.111961,0.129953,"11,167",-
"Nov 01, 2017",0.185838,0.223933,0.082240,0.111739,"9,579",-
"Oct 31, 2017",0.094972,0.185795,0.094802,0.180468,"15,603",-
