Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000882,0.001164,0.000880,0.000974,559,-
"Dec 15, 2017",0.000995,0.001017,0.000844,0.000881,25,-
"Dec 14, 2017",0.000983,0.001164,0.000812,0.000994,170,-
"Dec 13, 2017",0.000864,0.001212,0.000823,0.000986,195,-
"Dec 12, 2017",0.000842,0.001044,0.000833,0.000863,62,-
"Dec 11, 2017",0.000760,0.000875,0.000760,0.000839,30,-
"Dec 10, 2017",0.000902,0.000902,0.000794,0.000855,7,-
"Dec 09, 2017",0.000651,0.000923,0.000615,0.000899,147,-
"Dec 08, 2017",0.001215,0.001233,0.000563,0.000651,10,-
"Dec 07, 2017",0.000687,0.001212,0.000678,0.001212,48,-
"Dec 06, 2017",0.000585,0.000689,0.000585,0.000688,7,-
"Dec 05, 2017",0.000699,0.000712,0.000581,0.000586,14,-
"Dec 04, 2017",0.000787,0.000811,0.000666,0.000698,7,-
"Dec 03, 2017",0.000875,0.000943,0.000741,0.000784,164,-
"Dec 02, 2017",0.000871,0.000896,0.000753,0.000874,16,-
"Dec 01, 2017",0.000700,0.000877,0.000666,0.000871,25,-
"Nov 30, 2017",0.000688,0.000783,0.000642,0.000703,118,-
"Nov 29, 2017",0.000695,0.000915,0.000663,0.000678,30,-
"Nov 28, 2017",0.000683,0.000798,0.000676,0.000696,658,-
"Nov 27, 2017",0.000559,0.000682,0.000559,0.000681,30,-
"Nov 26, 2017",0.000437,0.000563,0.000437,0.000559,126,-
"Nov 25, 2017",0.000410,0.000437,0.000408,0.000437,9,-
"Nov 24, 2017",0.000402,0.000496,0.000394,0.000411,21,-
"Nov 23, 2017",0.000411,0.000413,0.000402,0.000402,3,-
"Nov 22, 2017",0.000243,0.000413,0.000243,0.000411,11,-
"Nov 20, 2017",0.000322,0.000322,0.000318,0.000320,0,-
"Nov 19, 2017",0.000311,0.000324,0.000308,0.000322,0,-
"Nov 18, 2017",0.000307,0.000386,0.000298,0.000312,16,-
"Nov 17, 2017",0.000235,0.000399,0.000234,0.000309,10,-
"Nov 16, 2017",0.000438,0.000452,0.000232,0.000236,8,-
"Nov 15, 2017",0.000331,0.000439,0.000331,0.000436,0,-
"Nov 14, 2017",0.000392,0.000403,0.000321,0.000330,1,-
"Nov 13, 2017",0.000418,0.000418,0.000180,0.000391,156,-
"Nov 12, 2017",0.000382,0.000386,0.000332,0.000357,18,-
"Nov 11, 2017",0.000402,0.000404,0.000374,0.000382,27,-
"Nov 10, 2017",0.000428,0.000440,0.000387,0.000401,1,-
"Nov 09, 2017",0.000448,0.000448,0.000355,0.000426,6,-
"Nov 08, 2017",0.000356,0.000449,0.000354,0.000449,11,-
"Nov 07, 2017",0.000348,0.000361,0.000348,0.000357,4,-
"Nov 06, 2017",0.000444,0.000445,0.000347,0.000349,32,-
"Nov 05, 2017",0.000369,0.000457,0.000365,0.000443,1,-
"Nov 04, 2017",0.000358,0.000442,0.000357,0.000370,1,-
"Nov 03, 2017",0.000443,0.000448,0.000356,0.000359,7,-
"Nov 01, 2017",0.000258,0.000264,0.000255,0.000262,13,-
"Oct 31, 2017",0.000249,0.000258,0.000248,0.000258,13,-
"Oct 30, 2017",0.000369,0.000370,0.000366,0.000368,1,-
"Oct 29, 2017",0.000344,0.000379,0.000343,0.000372,1,-
"Oct 28, 2017",0.000346,0.000352,0.000340,0.000344,1,-
"Oct 27, 2017",0.000237,0.000347,0.000228,0.000345,26,-
"Oct 26, 2017",0.000344,0.000359,0.000342,0.000356,4,-
"Oct 25, 2017",0.000334,0.000345,0.000333,0.000344,3,-
"Oct 24, 2017",0.000293,0.000293,0.000289,0.000289,26,-
"Oct 23, 2017",0.000299,0.000303,0.000283,0.000294,27,-
"Oct 22, 2017",0.000302,0.000303,0.000287,0.000299,20,-
"Oct 21, 2017",0.000180,0.000184,0.000179,0.000183,14,-
"Oct 20, 2017",0.000285,0.000286,0.000171,0.000181,14,-
"Oct 19, 2017",0.000279,0.000287,0.000277,0.000285,1,-
"Oct 18, 2017",0.000112,0.000281,0.000107,0.000279,6,-
"Oct 17, 2017",0.000289,0.000290,0.000111,0.000112,99,-
"Oct 16, 2017",0.000286,0.000290,0.000283,0.000289,0,-
"Oct 14, 2017",0.000226,0.000232,0.000224,0.000229,1,-
"Oct 13, 2017",0.000326,0.000353,0.000221,0.000226,1,-
"Oct 12, 2017",0.000338,0.000367,0.000156,0.000325,17,-
"Oct 11, 2017",0.000333,0.000338,0.000284,0.000338,69,-
