Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.421822,0.538546,0.411019,0.470885,"4,145","1,921,950"
"Dec 15, 2017",0.401421,0.425562,0.388682,0.421273,"3,198","1,828,810"
"Dec 14, 2017",0.384824,0.460722,0.367583,0.400819,"5,327","1,753,020"
"Dec 13, 2017",0.337778,0.469664,0.336630,0.386063,"10,953","1,538,560"
"Dec 12, 2017",0.315527,0.348855,0.280328,0.337488,"7,017","1,437,070"
"Dec 11, 2017",0.272311,0.410443,0.252189,0.314525,"18,602","1,240,110"
"Dec 10, 2017",0.239960,0.362934,0.211142,0.274291,"3,007","1,092,670"
"Dec 09, 2017",0.284109,0.294729,0.152482,0.239000,"7,697","1,293,580"
"Dec 08, 2017",0.283937,0.288168,0.167156,0.284396,"5,493","1,292,660"
"Dec 07, 2017",0.255494,0.304523,0.180210,0.283271,"2,850","1,163,070"
"Dec 06, 2017",0.216213,0.260091,0.216213,0.255935,"1,152","984,156"
"Dec 05, 2017",0.187666,0.225567,0.156944,0.216693,"3,266","854,133"
"Dec 04, 2017",0.222475,0.228184,0.181069,0.187298,"1,790","1,012,460"
"Dec 03, 2017",0.225302,0.229470,0.174494,0.183532,"1,771","1,025,220"
"Dec 02, 2017",0.247756,0.252206,0.173401,0.225087,"3,805","1,127,280"
"Dec 01, 2017",0.243251,0.249415,0.159150,0.247967,"6,679","1,106,670"
"Nov 30, 2017",0.206104,0.275310,0.204786,0.244464,"6,299","937,579"
"Nov 29, 2017",0.254354,0.272828,0.176405,0.202986,"1,531","1,156,960"
"Nov 28, 2017",0.265736,0.278489,0.187043,0.254607,"2,389","1,208,620"
"Nov 27, 2017",0.271133,0.287897,0.219551,0.265050,"3,692","1,233,050"
"Nov 26, 2017",0.207179,0.309876,0.206167,0.271081,"10,775","942,107"
"Nov 25, 2017",0.225364,0.225364,0.200619,0.207251,"2,331","1,024,700"
"Nov 24, 2017",0.228826,0.230000,0.164344,0.225820,"3,525","1,040,340"
"Nov 23, 2017",0.150110,0.230588,0.145055,0.229139,"7,806","682,396"
"Nov 22, 2017",0.154087,0.157818,0.149204,0.150158,257,"700,404"
"Nov 21, 2017",0.144225,0.159032,0.136433,0.153713,94,"655,511"
"Nov 20, 2017",0.153468,0.163461,0.137853,0.144199,"1,650","697,453"
"Nov 19, 2017",0.180291,0.180610,0.133941,0.153540,"1,075","819,280"
"Nov 18, 2017",0.184482,0.184482,0.147050,0.180623,718,"838,240"
"Nov 17, 2017",0.136733,0.185192,0.136133,0.185192,"3,379","621,216"
"Nov 16, 2017",0.159553,0.159553,0.127481,0.136957,213,"724,821"
"Nov 15, 2017",0.125056,0.160653,0.114798,0.158723,"3,677","568,053"
