Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.115483,0.121879,0.025894,0.025894,"2,033",-
"Dec 15, 2017",0.021871,0.109382,0.020878,0.109382,"1,422",-
"Dec 14, 2017",0.021848,0.028630,0.018714,0.021839,"2,132",-
"Dec 13, 2017",0.025524,0.031797,0.019902,0.021902,449,-
"Dec 12, 2017",0.026653,0.033874,0.024476,0.025493,342,-
"Dec 11, 2017",0.028950,0.034263,0.025500,0.026551,318,-
"Dec 10, 2017",0.030932,0.045479,0.026527,0.029158,624,-
"Dec 09, 2017",0.035744,0.043103,0.030086,0.030822,540,-
"Dec 08, 2017",0.042362,0.049953,0.032133,0.035991,"1,465",-
"Dec 07, 2017",0.046939,0.048059,0.033498,0.040169,"1,618",-
"Dec 06, 2017",0.042533,0.055974,0.041546,0.047024,"2,751",-
"Dec 05, 2017",0.023630,0.071137,0.019774,0.043541,"4,252",-
"Dec 04, 2017",0.028595,0.029636,0.023281,0.023581,595,-
"Dec 03, 2017",0.028315,0.030465,0.027041,0.028498,195,-
"Dec 02, 2017",0.026549,0.030287,0.025851,0.028272,192,"102,665"
"Dec 01, 2017",0.029361,0.030728,0.024988,0.026576,"1,114","113,542"
"Nov 30, 2017",0.027404,0.041015,0.026693,0.029225,201,"105,973"
"Nov 29, 2017",0.032710,0.042164,0.023880,0.026992,"1,892","126,494"
"Nov 28, 2017",0.033457,0.034330,0.032711,0.032743,974,"129,380"
"Nov 27, 2017",0.036442,0.037894,0.032634,0.033370,247,"140,925"
"Nov 26, 2017",0.032558,0.036538,0.031980,0.036435,677,"125,904"
"Nov 25, 2017",0.028556,0.052266,0.028427,0.032569,"5,427","110,427"
"Nov 24, 2017",0.028340,0.031382,0.027852,0.028645,210,"109,592"
"Nov 23, 2017",0.028462,0.031296,0.027827,0.028376,240,"110,064"
"Nov 22, 2017",0.033396,0.033659,0.028214,0.028489,"1,903","129,146"
"Nov 21, 2017",0.033905,0.033997,0.029997,0.033318,271,"131,112"
"Nov 20, 2017",0.032091,0.034253,0.029619,0.033903,408,"124,098"
"Nov 19, 2017",0.029111,0.033140,0.028902,0.032216,395,"112,574"
"Nov 18, 2017",0.028949,0.029951,0.027885,0.029104,601,"111,950"
"Nov 17, 2017",0.028012,0.029864,0.027193,0.029060,198,"108,323"
"Nov 16, 2017",0.026625,0.030611,0.024746,0.028058,717,"102,960"
"Nov 15, 2017",0.025071,0.028272,0.025071,0.026486,275,"96,951"
"Nov 14, 2017",0.024447,0.026825,0.024224,0.025053,"1,600","94,538"
"Nov 13, 2017",0.022382,0.029417,0.022193,0.024395,414,"86,555"
"Nov 12, 2017",0.025150,0.030216,0.020865,0.022350,524,"97,257"
"Nov 11, 2017",0.029181,0.030729,0.022993,0.025167,201,"112,844"
"Nov 10, 2017",0.031959,0.035585,0.026688,0.029288,383,"123,587"
"Nov 09, 2017",0.038817,0.039086,0.024929,0.031816,"2,742","150,108"
"Nov 08, 2017",0.041984,0.046115,0.037810,0.038857,204,"162,356"
"Nov 07, 2017",0.041631,0.042607,0.037850,0.042115,230,"160,991"
"Nov 06, 2017",0.044333,0.044516,0.041338,0.041698,279,"171,440"
"Nov 05, 2017",0.044468,0.048503,0.043750,0.044236,345,"171,961"
"Nov 04, 2017",0.044348,0.053099,0.042328,0.044545,354,"171,496"
"Nov 03, 2017",0.041316,0.044660,0.040849,0.044463,256,"159,773"
"Nov 02, 2017",0.044061,0.049355,0.040054,0.041370,718,"170,388"
"Nov 01, 2017",0.088015,0.090900,0.037360,0.044012,"1,922","340,362"
"Oct 31, 2017",0.039332,0.095783,0.039332,0.088079,"1,010","152,100"
"Oct 30, 2017",0.043144,0.044453,0.039361,0.039467,280,"166,843"
"Oct 29, 2017",0.044678,0.046807,0.042972,0.043396,"1,258","172,772"
"Oct 28, 2017",0.045002,0.045837,0.044252,0.044739,208,"174,026"
"Oct 27, 2017",0.045976,0.046831,0.044444,0.044879,320,"177,793"
"Oct 26, 2017",0.044810,0.051554,0.044485,0.045966,535,"173,283"
"Oct 25, 2017",0.047157,0.049594,0.042042,0.044816,333,"182,358"
"Oct 24, 2017",0.045537,0.047791,0.043285,0.047138,753,"176,095"
"Oct 23, 2017",0.047095,0.050352,0.043645,0.045636,265,"182,122"
"Oct 22, 2017",0.046531,0.049973,0.044755,0.047171,463,"179,941"
"Oct 21, 2017",0.044327,0.050319,0.044050,0.046517,341,"171,418"
"Oct 20, 2017",0.041655,0.045498,0.041204,0.044435,356,"161,083"
"Oct 19, 2017",0.041138,0.054183,0.040103,0.041612,351,"159,084"
"Oct 18, 2017",0.040331,0.046631,0.037346,0.041117,399,"155,965"
"Oct 17, 2017",0.042336,0.050760,0.039819,0.040331,"1,708","163,716"
"Oct 16, 2017",0.053551,0.056184,0.041744,0.042329,"1,253","207,086"
"Oct 15, 2017",0.055833,0.061715,0.051030,0.053544,896,"215,910"
"Oct 14, 2017",0.056872,0.062523,0.051057,0.055728,326,"219,929"
"Oct 13, 2017",0.055919,0.067095,0.055739,0.056809,"1,237","216,242"
"Oct 12, 2017",0.056467,0.068444,0.052918,0.055747,"3,198","218,362"
"Oct 11, 2017",0.055296,0.056776,0.054856,0.056419,303,"213,832"
"Oct 10, 2017",0.057398,0.058288,0.054901,0.055305,518,"221,962"
"Oct 09, 2017",0.055368,0.058430,0.054105,0.057402,825,"214,113"
"Oct 08, 2017",0.053373,0.057512,0.053147,0.055354,471,"206,397"
"Oct 07, 2017",0.056329,0.057563,0.052038,0.053516,"2,277","217,830"
"Oct 06, 2017",0.058276,0.059238,0.054819,0.056311,614,"225,356"
"Oct 05, 2017",0.054823,0.058830,0.054752,0.058276,346,"212,007"
"Oct 04, 2017",0.058657,0.058694,0.053765,0.054774,"1,052","226,830"
"Oct 03, 2017",0.068662,0.068662,0.053706,0.058521,706,"265,521"
"Oct 02, 2017",0.053987,0.068816,0.053949,0.068679,"1,526","208,773"
"Oct 01, 2017",0.056886,0.067962,0.053083,0.067962,"2,070","219,984"
"Sep 30, 2017",0.048385,0.060531,0.048340,0.056856,"1,619","187,111"
"Sep 29, 2017",0.049323,0.049482,0.046492,0.048379,686,"190,735"
"Sep 28, 2017",0.049401,0.055456,0.047377,0.049361,866,"191,039"
"Sep 27, 2017",0.045194,0.051214,0.045194,0.049399,"1,031","174,770"
"Sep 26, 2017",0.052917,0.053046,0.043970,0.045321,529,"204,635"
"Sep 25, 2017",0.036834,0.053191,0.036821,0.052922,850,"142,441"
"Sep 24, 2017",0.037914,0.042185,0.036182,0.036871,312,"146,618"
"Sep 23, 2017",0.037769,0.040900,0.036810,0.037917,250,"146,054"
"Sep 22, 2017",0.037559,0.039221,0.036940,0.037876,260,"145,244"
"Sep 21, 2017",0.041499,0.041778,0.035760,0.037602,448,"160,482"
"Sep 20, 2017",0.041833,0.044459,0.039310,0.041704,"1,362","161,773"
"Sep 19, 2017",0.044224,0.044459,0.041559,0.041889,246,"171,016"
"Sep 18, 2017",0.040352,0.048001,0.040352,0.044117,388,"156,045"
"Sep 17, 2017",0.041389,0.051382,0.039121,0.040433,344,"160,054"
"Sep 16, 2017",0.038987,0.049909,0.038640,0.041417,687,"150,767"
"Sep 15, 2017",0.038599,0.041287,0.030210,0.039089,"3,611","149,267"
"Sep 14, 2017",0.046020,0.046634,0.038301,0.038301,226,"177,965"
"Sep 13, 2017",0.049874,0.050056,0.045227,0.046023,979,"192,868"
"Sep 12, 2017",0.049869,0.058587,0.048771,0.050064,291,"192,847"
"Sep 11, 2017",0.050298,0.052461,0.049161,0.049821,312,"194,507"
"Sep 10, 2017",0.052749,0.054316,0.048223,0.050383,191,"203,985"
"Sep 09, 2017",0.048151,0.057998,0.046784,0.052885,402,"186,206"
"Sep 08, 2017",0.061245,0.062312,0.046941,0.048059,"1,143","236,841"
"Sep 07, 2017",0.060496,0.061503,0.058789,0.061233,474,"233,944"
"Sep 06, 2017",0.059464,0.066957,0.058245,0.060612,793,"229,950"
"Sep 05, 2017",0.059004,0.064496,0.055162,0.059396,"1,348","228,172"
"Sep 04, 2017",0.062588,0.074691,0.055925,0.058699,"1,394","242,032"
"Sep 03, 2017",0.060369,0.074880,0.059092,0.062567,644,"233,453"
"Sep 02, 2017",0.043524,0.082444,0.043524,0.060332,"4,524","168,312"
"Sep 01, 2017",0.055934,0.056684,0.043217,0.043469,"6,425","216,302"
"Aug 31, 2017",0.064089,0.064673,0.049816,0.055924,787,"247,838"
"Aug 30, 2017",0.053125,0.064299,0.049176,0.064201,535,"205,438"
"Aug 29, 2017",0.052444,0.054005,0.047459,0.053196,636,"202,804"
"Aug 28, 2017",0.060534,0.060534,0.044347,0.052355,"1,519","233,874"
"Aug 27, 2017",0.060499,0.061454,0.045357,0.060600,878,"233,420"
"Aug 26, 2017",0.063862,0.068006,0.060182,0.060528,"1,016","245,980"
"Aug 25, 2017",0.067356,0.069947,0.063728,0.063850,"1,274","258,991"
"Aug 24, 2017",0.060056,0.089730,0.057793,0.067462,"2,726","230,501"
"Aug 23, 2017",0.063916,0.065471,0.058825,0.060027,"1,411","244,962"
"Aug 22, 2017",0.064642,0.067362,0.056754,0.064024,509,"247,344"
"Aug 21, 2017",0.065359,0.066048,0.061947,0.064492,359,"249,782"
"Aug 20, 2017",0.070143,0.080062,0.065608,0.065608,"1,209","267,320"
"Aug 19, 2017",0.065725,0.071329,0.065713,0.070460,413,"250,482"
"Aug 18, 2017",0.075960,0.114882,0.063875,0.065730,"2,083","283,151"
"Aug 17, 2017",0.071713,0.143647,0.060834,0.076193,"4,863","267,318"
"Aug 16, 2017",0.066854,0.077310,0.060330,0.071779,"2,801","249,205"
"Aug 15, 2017",0.074916,0.089392,0.061810,0.066780,"1,565","279,257"
"Aug 14, 2017",0.057966,0.092272,0.057966,0.074715,"1,463","216,075"
"Aug 13, 2017",0.076588,0.084064,0.055539,0.057929,"1,297","285,490"
"Aug 12, 2017",0.075841,0.083585,0.067010,0.076659,"1,070","282,707"
"Aug 11, 2017",0.069204,0.087254,0.066007,0.075900,"1,953","257,965"
"Aug 10, 2017",0.072106,0.075826,0.059804,0.069208,"3,210","268,782"
"Aug 09, 2017",0.075870,0.076239,0.062800,0.072099,"4,370","282,814"
"Aug 08, 2017",0.080629,0.080717,0.057764,0.075921,"3,563","300,553"
"Aug 07, 2017",0.081285,0.088569,0.074456,0.081140,"2,217","302,999"
"Aug 06, 2017",0.092752,0.093886,0.081208,0.081466,778,"345,743"
"Aug 05, 2017",0.069445,0.109774,0.068798,0.092729,"3,770","258,863"
"Aug 04, 2017",0.077480,0.080452,0.069371,0.069475,251,"288,817"
"Aug 03, 2017",0.069696,0.078168,0.069696,0.077495,880,"259,799"
"Aug 02, 2017",0.070934,0.072558,0.068629,0.069571,372,"264,414"
"Aug 01, 2017",0.067502,0.084291,0.063407,0.070947,"1,209","251,545"
"Jul 31, 2017",0.078089,0.079801,0.066451,0.067469,"1,877","290,488"
"Jul 30, 2017",0.079127,0.081475,0.075761,0.078010,985,"294,016"
"Jul 29, 2017",0.087065,0.088963,0.077970,0.079137,422,"322,843"
"Jul 28, 2017",0.074466,0.087685,0.074332,0.087426,"1,377","275,846"
"Jul 27, 2017",0.074055,0.083917,0.070720,0.074162,"1,869","274,147"
"Jul 26, 2017",0.075188,0.087289,0.070148,0.073845,"1,641","278,025"
"Jul 25, 2017",0.077285,0.085425,0.068181,0.075154,"2,592","285,560"
"Jul 24, 2017",0.077076,0.085613,0.076441,0.077294,"1,898","284,369"
"Jul 23, 2017",0.092744,0.093418,0.067790,0.079538,"2,499","341,621"
"Jul 22, 2017",0.118821,0.122983,0.091178,0.094206,"5,111","436,877"
"Jul 21, 2017",0.108027,0.125378,0.097769,0.118845,"2,127","396,505"
"Jul 20, 2017",0.115255,0.120902,0.098492,0.107231,"3,721","422,282"
"Jul 19, 2017",0.136424,0.144959,0.110971,0.115602,"9,521","499,016"
"Jul 18, 2017",0.132811,0.156185,0.119882,0.136221,"11,170","485,027"
"Jul 17, 2017",0.107182,0.158188,0.078230,0.134738,"34,347","390,711"
"Jul 16, 2017",0.081662,0.122165,0.069231,0.121700,"13,193","297,150"
"Jul 15, 2017",0.091020,0.138570,0.079700,0.081908,"7,254","330,651"
"Jul 14, 2017",0.082629,0.151683,0.059880,0.091200,"13,111","299,618"
"Jul 13, 2017",0.048490,0.091439,0.048339,0.083026,"5,444","175,528"
"Jul 12, 2017",0.048898,0.056013,0.047900,0.048488,"1,583","176,744"
"Jul 11, 2017",0.064561,0.069093,0.037148,0.049163,"4,698","232,948"
"Jul 10, 2017",0.082339,0.088143,0.062920,0.064699,"2,626","296,641"
"Jul 09, 2017",0.085713,0.104481,0.082112,0.082180,"1,359","308,288"
"Jul 08, 2017",0.099306,0.109279,0.085266,0.085712,"2,002","356,512"
"Jul 07, 2017",0.087246,0.118367,0.081724,0.099180,"5,114","312,642"
"Jul 06, 2017",0.078884,0.094078,0.077629,0.078461,"2,275","282,154"
