Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.009584,0.010021,0.008310,0.009006,"4,875","492,573"
"Dec 15, 2017",0.009718,0.010430,0.006476,0.009567,"16,828","499,445"
"Dec 14, 2017",0.010516,0.011274,0.006134,0.009709,"8,258","540,458"
"Dec 13, 2017",0.008589,0.011277,0.005917,0.010522,"11,466","441,431"
"Dec 12, 2017",0.007714,0.008822,0.006758,0.008583,"4,378","396,423"
"Dec 11, 2017",0.008626,0.009342,0.007052,0.007763,459,"443,318"
"Dec 10, 2017",0.009497,0.009497,0.008501,0.008616,43,"488,077"
"Dec 09, 2017",0.006562,0.009572,0.005524,0.009467,"1,012","337,231"
"Dec 08, 2017",0.006127,0.006603,0.004626,0.006562,144,"314,881"
"Dec 07, 2017",0.007034,0.007243,0.006786,0.006965,"6,075","361,494"
"Dec 06, 2017",0.006949,0.007434,0.006343,0.007058,"6,157","357,146"
"Dec 05, 2017",0.006390,0.008451,0.006300,0.006962,"4,193","328,375"
"Dec 04, 2017",0.006344,0.006462,0.006133,0.006386,3,"326,023"
"Dec 03, 2017",0.009018,0.009421,0.006129,0.006332,3,"463,447"
"Dec 02, 2017",0.013809,0.014050,0.006172,0.009015,"1,758","709,687"
"Dec 01, 2017",0.012273,0.013953,0.011932,0.013809,"11,594","630,729"
"Nov 30, 2017",0.007264,0.012433,0.005949,0.012303,636,"373,295"
"Nov 29, 2017",0.009320,0.009605,0.005004,0.007172,49,"479,001"
"Nov 28, 2017",0.010451,0.012908,0.009286,0.009313,130,"537,094"
"Nov 27, 2017",0.016234,0.016844,0.009295,0.010465,"2,453","834,336"
"Nov 26, 2017",0.016276,0.016313,0.015590,0.016238,161,"836,449"
"Nov 25, 2017",0.015166,0.016570,0.004004,0.016275,"10,698","779,408"
"Nov 24, 2017",0.015491,0.015716,0.008227,0.015165,96,"796,135"
"Nov 23, 2017",0.010652,0.016425,0.007957,0.015569,"6,151","547,440"
"Nov 22, 2017",0.014613,0.016064,0.009752,0.010628,142,"751,009"
"Nov 21, 2017",0.014704,0.016347,0.009667,0.014594,"4,293","755,671"
"Nov 20, 2017",0.018084,0.018182,0.014318,0.014727,855,"929,377"
"Nov 19, 2017",0.013862,0.018282,0.013757,0.018103,"1,816","712,417"
"Nov 18, 2017",0.016560,0.019658,0.013302,0.013898,892,"851,064"
"Nov 17, 2017",0.015813,0.016592,0.011437,0.016585,"1,848","812,650"
"Nov 16, 2017",0.016188,0.016230,0.015426,0.015824,9,"831,927"
"Nov 15, 2017",0.016248,0.016307,0.010931,0.016200,"5,653","835,015"
"Nov 14, 2017",0.015694,0.016525,0.010422,0.016239,"3,421","806,572"
"Nov 13, 2017",0.015290,0.015938,0.012519,0.015695,"1,535","785,788"
"Nov 12, 2017",0.017343,0.017613,0.011079,0.015266,829,"891,328"
"Nov 11, 2017",0.011598,0.017527,0.011584,0.017342,"3,381","596,034"
"Nov 10, 2017",0.015766,0.018245,0.011628,0.011631,"2,064","810,286"
"Nov 09, 2017",0.012293,0.015969,0.011836,0.015758,"5,183","631,761"
"Nov 08, 2017",0.012567,0.012663,0.010906,0.012359,417,"645,867"
"Nov 07, 2017",0.013439,0.013708,0.011999,0.012576,113,"690,670"
"Nov 06, 2017",0.014818,0.015001,0.013419,0.013419,259,"761,536"
"Nov 05, 2017",0.016440,0.016454,0.012355,0.014804,136,"844,894"
"Nov 04, 2017",0.012586,0.017881,0.012302,0.016418,"2,757","646,820"
"Nov 03, 2017",0.015997,0.018160,0.012501,0.012586,"1,319","822,128"
"Nov 02, 2017",0.012182,0.016257,0.012177,0.015919,"1,431","626,055"
"Nov 01, 2017",0.012612,0.012719,0.011702,0.012148,108,"648,175"
"Oct 31, 2017",0.013382,0.016562,0.012298,0.012635,624,"687,760"
"Oct 30, 2017",0.009738,0.013451,0.009738,0.013374,609,"500,448"
"Oct 29, 2017",0.016157,0.016244,0.008917,0.009617,201,"830,359"
"Oct 28, 2017",0.014507,0.020660,0.007319,0.016164,"3,853","745,581"
"Oct 27, 2017",0.007693,0.014572,0.007693,0.014495,361,"395,372"
"Oct 26, 2017",0.007845,0.012669,0.006844,0.007697,"3,863","403,154"
"Oct 25, 2017",0.014490,0.025885,0.007626,0.007861,848,"744,677"
"Oct 24, 2017",0.014660,0.016800,0.013045,0.014477,132,"753,449"
"Oct 23, 2017",0.014726,0.014735,0.011891,0.014671,185,"756,802"
"Oct 22, 2017",0.015063,0.017080,0.013925,0.014734,176,"774,152"
"Oct 21, 2017",0.014857,0.019106,0.014558,0.015063,103,"763,567"
