Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.010547,0.011194,0.010434,0.011106,59,"50,939"
"Dec 15, 2017",0.009346,0.013714,0.009345,0.010534,236,"45,142"
"Dec 14, 2017",0.008351,0.011350,0.008293,0.009332,171,"40,337"
"Dec 13, 2017",0.008882,0.008928,0.008127,0.008378,13,"42,897"
"Dec 12, 2017",0.011112,0.011270,0.010852,0.011094,9,"53,671"
"Dec 11, 2017",0.007623,0.011553,0.007590,0.011077,9,"36,821"
"Dec 10, 2017",0.009658,0.009658,0.007318,0.007679,21,"46,648"
"Dec 09, 2017",0.009784,0.012370,0.008924,0.009619,135,"47,255"
"Dec 08, 2017",0.013270,0.013486,0.008123,0.009794,366,"64,093"
"Dec 07, 2017",0.008144,0.013652,0.008096,0.013239,203,"39,336"
"Dec 06, 2017",0.009010,0.009890,0.007559,0.008158,124,"43,516"
"Dec 05, 2017",0.009145,0.009176,0.007578,0.009030,56,"44,168"
"Dec 04, 2017",0.007304,0.009127,0.007166,0.009127,148,"35,278"
"Dec 03, 2017",0.006802,0.007744,0.006757,0.007280,200,"32,854"
"Dec 02, 2017",0.006966,0.007091,0.006602,0.006796,7,"33,645"
"Dec 01, 2017",0.006891,0.007013,0.006067,0.006972,832,"33,285"
"Nov 30, 2017",0.006880,0.007484,0.005753,0.006535,189,"33,230"
"Nov 29, 2017",0.005957,0.008844,0.005957,0.006776,109,"28,771"
"Nov 28, 2017",0.006341,0.006470,0.005839,0.005963,87,"30,627"
"Nov 27, 2017",0.005217,0.006487,0.005217,0.006325,4,"25,199"
"Nov 26, 2017",0.005154,0.005557,0.005148,0.005216,2,"24,893"
"Nov 25, 2017",0.004926,0.006081,0.004716,0.005156,73,"23,792"
"Nov 24, 2017",0.005784,0.005817,0.004599,0.004936,176,"27,938"
"Nov 23, 2017",0.006827,0.006860,0.005504,0.005792,16,"32,974"
"Nov 22, 2017",0.004567,0.006863,0.004567,0.006829,7,"22,058"
"Nov 21, 2017",0.005925,0.006019,0.004539,0.004567,3,"28,618"
