Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.033497,0.038485,0.032533,0.038161,25,"807,321"
"Dec 15, 2017",0.033352,0.041535,0.026892,0.033475,549,"803,832"
"Dec 14, 2017",0.050129,0.050129,0.024798,0.033303,"2,093","1,208,170"
"Dec 13, 2017",0.041123,0.052112,0.035240,0.050285,"2,679","991,117"
"Dec 12, 2017",0.030172,0.061702,0.030170,0.041088,"5,060","727,195"
"Dec 11, 2017",0.009774,0.072057,0.009655,0.030026,"7,654","235,568"
"Dec 10, 2017",0.011278,0.011278,0.009929,0.010293,15,"271,819"
"Dec 09, 2017",0.010174,0.011877,0.009715,0.011233,44,"245,221"
"Dec 08, 2017",0.015437,0.015437,0.008537,0.010151,1,"372,049"
"Dec 07, 2017",0.011401,0.016238,0.009247,0.015606,3,"274,774"
"Dec 06, 2017",0.010300,0.011437,0.006438,0.011420,490,"248,246"
"Dec 05, 2017",0.009741,0.015005,0.009633,0.010323,47,"234,768"
"Dec 04, 2017",0.010117,0.010376,0.008649,0.009720,3,"243,827"
"Dec 03, 2017",0.010370,0.010630,0.008231,0.010083,106,"249,931"
"Dec 02, 2017",0.011102,0.011419,0.010358,0.010358,1,"267,575"
"Dec 01, 2017",0.007395,0.011111,0.007001,0.011111,94,"178,234"
"Nov 30, 2017",0.011007,0.012146,0.007026,0.007432,1,"265,294"
"Nov 29, 2017",0.011121,0.013454,0.008247,0.010873,23,"268,029"
"Nov 28, 2017",0.009544,0.011164,0.009452,0.011132,25,"230,032"
"Nov 27, 2017",0.012299,0.012363,0.006752,0.009520,2,"296,431"
"Nov 26, 2017",0.010932,0.012561,0.010919,0.012297,64,"263,468"
"Nov 25, 2017",0.008773,0.011731,0.008366,0.010935,18,"211,438"
"Nov 24, 2017",0.007839,0.009457,0.007839,0.008815,2,"188,933"
"Nov 23, 2017",0.010786,0.012573,0.007907,0.007953,59,"259,954"
"Nov 22, 2017",0.009907,0.015577,0.007544,0.010821,196,"238,775"
"Nov 21, 2017",0.014250,0.014287,0.009423,0.009888,109,"343,440"
"Nov 20, 2017",0.010379,0.014324,0.009527,0.014249,286,"250,140"
"Nov 19, 2017",0.015033,0.015033,0.008487,0.010398,"1,204","362,328"
"Nov 18, 2017",0.015188,0.015188,0.011374,0.014913,32,"366,044"
"Nov 17, 2017",0.015310,0.015602,0.011373,0.015243,12,"368,989"
"Nov 16, 2017",0.011896,0.015375,0.011827,0.015341,32,"286,704"
"Nov 15, 2017",0.014744,0.016070,0.014744,0.016005,30,"355,348"
"Nov 14, 2017",0.009927,0.014813,0.009768,0.014734,27,"239,252"
"Nov 13, 2017",0.010406,0.011703,0.009811,0.009906,6,"250,794"
"Nov 11, 2017",0.011638,0.012054,0.011030,0.011388,6,"280,480"
"Nov 10, 2017",0.011764,0.011888,0.010242,0.011679,10,"283,526"
"Nov 09, 2017",0.017979,0.018018,0.011656,0.011666,11,"433,319"
"Nov 08, 2017",0.010105,0.019404,0.010045,0.018300,4,"243,542"
"Nov 07, 2017",0.012735,0.013177,0.009923,0.010137,51,"306,930"
"Nov 06, 2017",0.013600,0.013735,0.012709,0.012755,58,"327,787"
"Nov 04, 2017",0.019832,0.020348,0.019455,0.020348,4,"477,979"
"Nov 03, 2017",0.013485,0.020245,0.013335,0.019671,4,"325,000"
"Nov 02, 2017",0.013534,0.013567,0.013451,0.013502,10,"326,177"
"Oct 29, 2017",0.015465,0.015466,0.015448,0.015466,1,"372,737"
"Oct 28, 2017",0.015907,0.016112,0.015318,0.015487,1,"383,382"
"Oct 27, 2017",0.010863,0.015950,0.010544,0.015864,15,"261,801"
"Oct 26, 2017",0.015720,0.019406,0.013981,0.014209,1,"378,870"
"Oct 25, 2017",0.013409,0.017273,0.013078,0.015721,5,"323,187"
"Oct 24, 2017",0.013550,0.014008,0.008673,0.013404,1,"326,582"
"Oct 23, 2017",0.008394,0.014806,0.007986,0.013581,126,"202,301"
"Oct 21, 2017",0.019515,0.020126,0.019183,0.019617,37,"470,347"
"Oct 20, 2017",0.014821,0.019859,0.007800,0.019556,86,"357,204"
"Oct 19, 2017",0.017600,0.017760,0.014612,0.014817,3,"424,181"
"Oct 18, 2017",0.019435,0.019435,0.013247,0.017591,2,"468,399"
