Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.035486,0.615284,0.035383,0.531051,"344,329","123,243"
"Dec 15, 2017",0.032633,0.037270,0.030832,0.035438,355,"113,334"
"Dec 14, 2017",0.042916,0.047180,0.032265,0.032581,199,"149,048"
"Dec 13, 2017",0.044003,0.081491,0.033456,0.043054,"8,675","152,822"
"Dec 12, 2017",0.040191,0.045368,0.039052,0.043965,284,"139,583"
"Dec 11, 2017",0.038230,0.052390,0.034821,0.040031,"1,480","132,771"
"Dec 10, 2017",0.032932,0.040743,0.028992,0.038512,653,"114,373"
"Dec 09, 2017",0.035606,0.036134,0.029662,0.032799,67,"123,661"
"Dec 08, 2017",0.038946,0.039499,0.031340,0.035642,95,"135,257"
"Dec 07, 2017",0.035800,0.044276,0.035358,0.038855,157,"124,334"
"Dec 06, 2017",0.028185,0.035885,0.028185,0.035813,168,"97,885"
"Dec 05, 2017",0.027859,0.035330,0.027469,0.028279,261,"96,752"
"Dec 04, 2017",0.033224,0.033716,0.026501,0.027804,312,"115,387"
"Dec 03, 2017",0.029757,0.056383,0.029559,0.033091,145,"103,344"
"Dec 02, 2017",0.033143,0.053187,0.029674,0.029728,99,"115,105"
"Dec 01, 2017",0.031911,0.033777,0.020837,0.033171,231,"110,827"
"Nov 30, 2017",0.047320,0.052860,0.021675,0.032024,7,"164,341"
"Nov 29, 2017",0.049499,0.062571,0.037941,0.046604,974,"171,908"
"Nov 28, 2017",0.031607,0.050298,0.029716,0.049548,638,"109,769"
"Nov 27, 2017",0.034049,0.035541,0.027752,0.031525,117,"118,252"
"Nov 26, 2017",0.039012,0.039357,0.028589,0.034043,55,"135,488"
"Nov 25, 2017",0.029628,0.039025,0.024046,0.039025,"1,875","102,899"
"Nov 24, 2017",0.023379,0.029907,0.022934,0.029837,2,"81,196"
"Nov 23, 2017",0.037075,0.037313,0.023412,0.023412,49,"128,761"
"Nov 22, 2017",0.024753,0.042078,0.024649,0.037126,98,"85,965"
"Nov 21, 2017",0.027332,0.027575,0.024341,0.024693,1,"94,922"
"Nov 20, 2017",0.030001,0.033642,0.027192,0.027380,7,"104,191"
"Nov 19, 2017",0.034253,0.034429,0.028220,0.030029,143,"118,961"
"Nov 18, 2017",0.020892,0.035624,0.020253,0.034313,219,"72,556"
"Nov 17, 2017",0.024401,0.024962,0.016789,0.020972,24,"84,745"
"Nov 16, 2017",0.022419,0.026919,0.021906,0.025795,5,"77,861"
"Nov 15, 2017",0.015868,0.023891,0.014719,0.022302,232,"55,109"
"Nov 14, 2017",0.017241,0.019192,0.015738,0.015857,27,"59,879"
"Nov 13, 2017",0.015379,0.017756,0.015259,0.017400,7,"53,412"
"Nov 12, 2017",0.014461,0.015505,0.010593,0.015358,22,"50,223"
"Nov 11, 2017",0.012830,0.016565,0.012809,0.014471,23,"44,560"
"Nov 10, 2017",0.018413,0.018897,0.012481,0.012882,17,"63,948"
"Nov 09, 2017",0.019602,0.020792,0.018250,0.018332,65,"68,078"
"Nov 08, 2017",0.028670,0.030614,0.019093,0.019638,103,"99,570"
"Nov 07, 2017",0.026316,0.029449,0.026316,0.028719,12,"91,397"
"Nov 06, 2017",0.039432,0.040102,0.010424,0.026361,275,"136,945"
"Nov 05, 2017",0.033122,0.041226,0.032794,0.039414,0,"115,032"
"Nov 04, 2017",0.032251,0.033898,0.017955,0.033185,431,"112,008"
"Nov 03, 2017",0.018050,0.033355,0.017849,0.032335,9,"62,687"
"Nov 02, 2017",0.037478,0.038460,0.017607,0.018073,56,"130,162"
"Nov 01, 2017",0.026542,0.037505,0.026205,0.037437,7,"92,181"
"Oct 31, 2017",0.023543,0.038252,0.023026,0.026626,2,"81,765"
"Oct 30, 2017",0.032370,0.032521,0.023435,0.023629,78,"112,419"
"Oct 29, 2017",0.023313,0.032848,0.023251,0.032708,25,"80,964"
"Oct 28, 2017",0.026108,0.026593,0.023090,0.023345,5,"90,674"
"Oct 27, 2017",0.027962,0.028482,0.025818,0.026037,65,"97,113"
"Oct 26, 2017",0.022441,0.028066,0.005902,0.027956,"1,779","77,937"
"Oct 25, 2017",0.020816,0.021468,0.020288,0.021353,6,"72,294"
"Oct 24, 2017",0.028699,0.029959,0.020727,0.020794,24,"99,672"
"Oct 23, 2017",0.033266,0.035966,0.028400,0.028775,39,"115,531"
"Oct 22, 2017",0.035590,0.036256,0.034291,0.035164,191,"123,605"
"Oct 21, 2017",0.027156,0.036189,0.026968,0.035580,262,"94,313"
"Oct 20, 2017",0.031035,0.037494,0.026947,0.027213,201,"107,785"
"Oct 19, 2017",0.025925,0.031236,0.025687,0.031039,35,"90,037"
"Oct 18, 2017",0.025259,0.026036,0.023825,0.025911,37,"87,725"
"Oct 17, 2017",0.028323,0.029885,0.025101,0.025257,9,"98,364"
"Oct 16, 2017",0.033582,0.033753,0.020750,0.028318,94,"116,630"
"Oct 15, 2017",0.026936,0.033918,0.026042,0.033578,21,"93,548"
"Oct 14, 2017",0.033252,0.033252,0.021903,0.026893,12,"115,484"
"Oct 13, 2017",0.035400,0.039877,0.024694,0.033243,474,"122,943"
"Oct 12, 2017",0.030330,0.036735,0.030252,0.035291,7,"105,335"
"Oct 11, 2017",0.032143,0.034976,0.030252,0.030304,32,"111,631"
"Oct 10, 2017",0.044607,0.045300,0.030184,0.032148,308,"154,920"
"Oct 09, 2017",0.043164,0.045389,0.042743,0.044610,1,"149,907"
"Oct 08, 2017",0.040788,0.045411,0.040456,0.043153,129,"141,656"
