Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.028612,0.030738,0.023312,0.030455,"6,253","346,595"
"Dec 15, 2017",0.031675,0.031675,0.027606,0.028575,100,"383,514"
"Dec 14, 2017",0.027901,0.033101,0.026311,0.031618,529,"337,651"
"Dec 13, 2017",0.033430,0.034234,0.025988,0.026212,"1,468","404,365"
"Dec 12, 2017",0.025423,0.034365,0.025124,0.033378,125,"307,359"
"Dec 11, 2017",0.028207,0.029415,0.025054,0.025342,"1,159","340,845"
"Dec 10, 2017",0.023869,0.029180,0.020736,0.028412,"1,146","288,283"
"Dec 09, 2017",0.026304,0.026694,0.022288,0.023777,173,"317,536"
"Dec 08, 2017",0.027477,0.029876,0.022944,0.026323,206,"331,531"
"Dec 07, 2017",0.024586,0.047269,0.019421,0.027418,"6,695","296,498"
"Dec 06, 2017",0.014743,0.024662,0.014743,0.024628,"6,921","177,715"
"Dec 05, 2017",0.012705,0.020069,0.011608,0.014776,"2,602","153,069"
"Dec 04, 2017",0.014277,0.015227,0.012377,0.012680,85,"171,917"
"Dec 03, 2017",0.023636,0.025449,0.013892,0.014230,133,"284,464"
"Dec 02, 2017",0.014699,0.023711,0.013511,0.023383,11,"176,819"
"Dec 01, 2017",0.013091,0.014711,0.012393,0.014711,45,"157,399"
"Nov 30, 2017",0.013513,0.014694,0.011888,0.013156,115,"162,387"
"Nov 29, 2017",0.014269,0.017111,0.012076,0.013320,77,"171,391"
"Nov 28, 2017",0.014242,0.014852,0.014105,0.014278,68,"170,975"
"Nov 27, 2017",0.015740,0.016306,0.013558,0.014206,44,"188,852"
"Nov 26, 2017",0.015750,0.016672,0.006386,0.015737,353,"188,875"
"Nov 25, 2017",0.013223,0.015755,0.013149,0.015755,80,"158,491"
"Nov 24, 2017",0.011541,0.014543,0.011349,0.013250,39,"138,254"
"Nov 23, 2017",0.011763,0.011891,0.011554,0.011554,10,"140,842"
"Nov 22, 2017",0.010792,0.016161,0.010746,0.011766,99,"129,149"
"Nov 21, 2017",0.010891,0.011229,0.010612,0.010766,43,"130,259"
"Nov 20, 2017",0.010537,0.011113,0.010411,0.010889,92,"125,961"
"Nov 19, 2017",0.010517,0.010627,0.010105,0.010542,353,"125,659"
"Nov 18, 2017",0.009987,0.010571,0.009681,0.010535,2,"119,263"
"Nov 17, 2017",0.010276,0.010532,0.009593,0.010025,18,"122,657"
"Nov 16, 2017",0.009567,0.010484,0.009353,0.010293,275,"114,126"
"Nov 15, 2017",0.008463,0.009960,0.008463,0.009517,26,"100,902"
"Nov 14, 2017",0.008033,0.008503,0.007988,0.008457,4,"95,726"
"Nov 13, 2017",0.007221,0.008942,0.007165,0.008016,55,"86,006"
"Nov 12, 2017",0.007700,0.008598,0.006712,0.007211,60,"91,662"
"Nov 11, 2017",0.008153,0.008444,0.007291,0.007704,5,"97,000"
"Nov 10, 2017",0.007919,0.008597,0.006968,0.008182,127,"94,160"
"Nov 09, 2017",0.008438,0.009206,0.007535,0.007895,42,"100,283"
"Nov 08, 2017",0.007686,0.008470,0.007640,0.008447,16,"91,290"
"Nov 07, 2017",0.007199,0.008570,0.007199,0.007710,132,"85,464"
"Nov 06, 2017",0.007985,0.008469,0.007185,0.007211,120,"94,744"
"Nov 05, 2017",0.008262,0.009853,0.007645,0.007968,84,"97,971"
"Nov 04, 2017",0.008027,0.008761,0.007843,0.008278,9,"95,129"
"Nov 03, 2017",0.007866,0.008362,0.007778,0.008048,4,"93,174"
"Nov 02, 2017",0.008007,0.008408,0.007654,0.007876,155,"94,794"
"Nov 01, 2017",0.007280,0.008013,0.007202,0.007998,8,"86,142"
"Oct 31, 2017",0.007300,0.007363,0.007028,0.007285,8,"86,335"
"Oct 30, 2017",0.007082,0.007375,0.006992,0.007375,78,"83,710"
"Oct 29, 2017",0.006587,0.008851,0.006570,0.007247,12,"77,820"
"Oct 28, 2017",0.006513,0.008056,0.006478,0.006596,9,"76,898"
"Oct 27, 2017",0.006593,0.007875,0.006487,0.006495,16,"77,805"
"Oct 26, 2017",0.006183,0.007002,0.006146,0.006592,33,"72,932"
"Oct 25, 2017",0.006456,0.006508,0.005432,0.006184,16,"76,108"
"Oct 24, 2017",0.006335,0.006664,0.006011,0.006453,50,"74,647"
"Oct 23, 2017",0.007382,0.009615,0.006271,0.006349,21,"86,934"
"Oct 22, 2017",0.006565,0.008477,0.006555,0.007416,152,"77,274"
"Oct 21, 2017",0.007224,0.008474,0.006377,0.006565,13,"84,988"
"Oct 20, 2017",0.007529,0.008877,0.007147,0.007239,5,"88,535"
"Oct 19, 2017",0.005811,0.007978,0.005757,0.007527,"1,890","68,290"
"Oct 18, 2017",0.005653,0.005836,0.005188,0.005808,2,"66,403"
"Oct 17, 2017",0.005721,0.005737,0.005490,0.005653,36,"67,165"
"Oct 16, 2017",0.007855,0.007895,0.005544,0.005720,23,"92,165"
"Oct 15, 2017",0.008075,0.008101,0.005312,0.007854,199,"94,697"
"Oct 14, 2017",0.011028,0.011138,0.007760,0.008060,2,"129,260"
"Oct 13, 2017",0.006506,0.011204,0.005783,0.011025,368,"76,220"
"Oct 12, 2017",0.005309,0.006483,0.005295,0.006483,52,"62,163"
"Oct 11, 2017",0.005033,0.005363,0.005025,0.005304,39,"58,909"
"Oct 10, 2017",0.004834,0.004978,0.004818,0.004901,10,"56,544"
"Oct 09, 2017",0.005414,0.005747,0.004810,0.004834,10,"63,296"
"Oct 08, 2017",0.005289,0.005446,0.004857,0.005413,49,"61,802"
"Oct 07, 2017",0.005249,0.005311,0.004592,0.005298,53,"61,298"
"Oct 06, 2017",0.005189,0.005342,0.005182,0.005247,0,"60,570"
"Oct 05, 2017",0.005023,0.005344,0.005017,0.005189,13,"58,608"
"Oct 04, 2017",0.005130,0.005170,0.004966,0.005019,4,"59,820"
"Oct 03, 2017",0.005149,0.005178,0.005009,0.005118,2,"60,014"
"Oct 02, 2017",0.005097,0.006367,0.005085,0.005149,49,"59,375"
"Oct 01, 2017",0.005038,0.005099,0.004943,0.005099,13,"58,654"
"Sep 30, 2017",0.004547,0.005045,0.004543,0.005035,59,"52,918"
"Sep 29, 2017",0.004129,0.004552,0.003903,0.004547,1,"48,027"
"Sep 28, 2017",0.004250,0.004298,0.004056,0.004132,23,"49,399"
"Sep 27, 2017",0.004122,0.004779,0.000056,0.004249,8,"47,890"
"Sep 26, 2017",0.004273,0.004331,0.004126,0.004133,6,"49,623"
"Sep 25, 2017",0.003966,0.004624,0.003770,0.004223,23,"46,030"
"Sep 24, 2017",0.004281,0.004281,0.003930,0.003970,0,"49,655"
"Sep 23, 2017",0.003896,0.004348,0.003445,0.004281,68,"45,161"
"Sep 22, 2017",0.003969,0.004137,0.003356,0.003907,38,"45,985"
"Sep 21, 2017",0.003842,0.004675,0.003328,0.003973,44,"44,486"
"Sep 20, 2017",0.004071,0.004242,0.003743,0.003859,9,"47,111"
"Sep 19, 2017",0.004310,0.005673,0.004076,0.004076,2,"49,858"
"Sep 18, 2017",0.004545,0.004704,0.003658,0.004299,32,"52,543"
"Sep 17, 2017",0.003897,0.004649,0.003530,0.004554,5,"45,023"
"Sep 16, 2017",0.004488,0.004696,0.003876,0.003895,5,"51,831"
"Sep 15, 2017",0.003383,0.004704,0.003046,0.004500,3,"39,050"
"Sep 14, 2017",0.004091,0.004145,0.003357,0.003357,16,"47,189"
"Sep 13, 2017",0.004609,0.004626,0.004077,0.004091,34,"53,141"
"Sep 12, 2017",0.004551,0.005493,0.004551,0.004627,2,"52,439"
"Sep 11, 2017",0.004623,0.004782,0.004443,0.004546,17,"53,245"
"Sep 10, 2017",0.004709,0.004920,0.004253,0.004631,10,"54,196"
"Sep 09, 2017",0.004627,0.005260,0.004490,0.004721,114,"53,225"
"Sep 08, 2017",0.005051,0.005312,0.004431,0.004618,102,"58,072"
"Sep 07, 2017",0.006370,0.006629,0.005017,0.005050,125,"73,195"
"Sep 06, 2017",0.006144,0.006703,0.006141,0.006382,13,"70,560"
"Sep 05, 2017",0.006138,0.006253,0.005364,0.006137,249,"70,449"
"Sep 04, 2017",0.006327,0.006332,0.003429,0.006106,"1,301","72,585"
"Sep 03, 2017",0.005654,0.006398,0.005654,0.006325,44,"64,827"
"Sep 02, 2017",0.006124,0.006424,0.005527,0.005651,34,"70,174"
"Sep 01, 2017",0.006319,0.007915,0.006088,0.006116,10,"72,363"
"Aug 31, 2017",0.005633,0.006346,0.005632,0.006323,52,"64,472"
"Aug 30, 2017",0.005707,0.005776,0.005233,0.005643,212,"65,286"
"Aug 29, 2017",0.005924,0.006248,0.005536,0.005715,17,"67,732"
"Aug 28, 2017",0.006124,0.007044,0.005269,0.005912,112,"69,987"
"Aug 27, 2017",0.005774,0.006428,0.005573,0.006131,56,"65,942"
"Aug 26, 2017",0.006200,0.006414,0.005509,0.005775,18,"70,775"
"Aug 25, 2017",0.006710,0.007096,0.006188,0.006188,15,"76,551"
"Aug 24, 2017",0.006587,0.006769,0.006449,0.006720,6,"75,116"
"Aug 23, 2017",0.006333,0.006746,0.006312,0.006584,2,"72,184"
"Aug 22, 2017",0.007154,0.007210,0.005766,0.006346,42,"81,486"
"Aug 21, 2017",0.006775,0.007270,0.006179,0.007146,16,"77,127"
