Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.020539,0.024726,0.015225,0.018709,"1,361","1,643,110"
"Dec 15, 2017",0.018743,0.026419,0.014891,0.020500,"1,007","1,499,480"
"Dec 14, 2017",0.011924,0.020294,0.011811,0.018726,"1,559","953,926"
"Dec 13, 2017",0.025768,0.026345,0.010970,0.011930,"2,805","2,061,440"
"Dec 12, 2017",0.020279,0.025824,0.019756,0.025750,"5,007","1,622,320"
"Dec 11, 2017",0.017077,0.020410,0.013693,0.020410,"1,421","1,366,120"
"Dec 10, 2017",0.011919,0.022405,0.010832,0.017057,"1,006","953,535"
"Dec 09, 2017",0.013574,0.017973,0.011629,0.011881,"2,174","1,085,910"
"Dec 08, 2017",0.006761,0.015314,0.006605,0.013574,666,"540,860"
"Dec 07, 2017",0.006775,0.008266,0.006537,0.006751,56,"542,017"
"Dec 06, 2017",0.007276,0.007304,0.006662,0.006799,42,"582,105"
"Dec 05, 2017",0.005224,0.008263,0.005056,0.007289,278,"417,883"
"Dec 04, 2017",0.005186,0.005282,0.005014,0.005221,11,"414,890"
"Dec 03, 2017",0.006867,0.007003,0.005101,0.005177,954,"549,340"
"Dec 02, 2017",0.006928,0.010930,0.006533,0.006864,468,"554,247"
"Dec 01, 2017",0.010467,0.011005,0.006880,0.006928,848,"837,318"
"Nov 30, 2017",0.010230,0.010982,0.007797,0.010493,900,"818,429"
"Nov 29, 2017",0.008952,0.012515,0.008952,0.010101,236,"716,162"
"Nov 28, 2017",0.009382,0.009442,0.008849,0.008945,973,"750,553"
"Nov 27, 2017",0.013176,0.013714,0.009140,0.009395,33,"1,054,060"
"Nov 26, 2017",0.008863,0.013191,0.008605,0.013179,"2,679","709,077"
"Nov 25, 2017",0.009407,0.010049,0.008336,0.008863,"1,787","752,546"
"Nov 24, 2017",0.012231,0.012851,0.007871,0.009408,"1,078","978,487"
"Nov 23, 2017",0.011793,0.014550,0.011269,0.012293,"2,568","943,437"
"Nov 22, 2017",0.012626,0.012838,0.010824,0.011766,"1,789","1,010,110"
"Nov 21, 2017",0.012314,0.013648,0.010724,0.012610,928,"985,155"
"Nov 20, 2017",0.009042,0.013843,0.009039,0.012334,"15,200","723,351"
"Nov 19, 2017",0.013786,0.014691,0.008884,0.009052,585,"1,102,850"
"Nov 18, 2017",0.010941,0.013888,0.008327,0.013821,682,"875,267"
"Nov 17, 2017",0.010564,0.013360,0.010505,0.010957,501,"845,094"
"Nov 16, 2017",0.012245,0.013043,0.010511,0.010571,401,"979,598"
"Nov 15, 2017",0.007739,0.013449,0.007332,0.012255,"1,531","619,086"
"Nov 14, 2017",0.005016,0.015361,0.004323,0.007734,"3,511","401,268"
"Nov 13, 2017",0.010091,0.012862,0.003465,0.005016,"6,306","807,302"
"Nov 12, 2017",0.018594,0.018594,0.009881,0.010075,366,"1,487,510"
"Nov 11, 2017",0.015166,0.018791,0.015148,0.018592,191,"1,213,260"
"Nov 10, 2017",0.016323,0.016534,0.014841,0.015209,643,"1,305,840"
"Nov 09, 2017",0.019177,0.019872,0.016044,0.016315,"1,062","1,534,170"
"Nov 08, 2017",0.018851,0.019895,0.015331,0.019281,"2,077","1,508,070"
"Nov 07, 2017",0.019970,0.020471,0.011028,0.018864,"5,530","1,597,620"
"Nov 06, 2017",0.018121,0.020631,0.016675,0.019940,"5,167","1,449,640"
"Nov 05, 2017",0.020519,0.022161,0.018042,0.018103,"3,998","1,641,520"
"Nov 04, 2017",0.020877,0.020877,0.013622,0.020492,"1,292","1,670,190"
"Nov 03, 2017",0.019870,0.021076,0.014849,0.020874,"4,585","1,589,620"
"Nov 02, 2017",0.022519,0.022747,0.015911,0.019773,"1,239",-
"Nov 01, 2017",0.015787,0.023336,0.014452,0.022457,"3,962",-
