Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.029863,0.033828,0.029783,0.033721,329,"397,024"
"Dec 15, 2017",0.027582,0.036450,0.027577,0.029822,579,"366,515"
"Dec 14, 2017",0.022569,0.028598,0.022189,0.027541,"1,176","299,729"
"Dec 13, 2017",0.026378,0.026731,0.021727,0.022638,508,"350,159"
"Dec 12, 2017",0.024085,0.026760,0.023302,0.026192,349,"319,552"
"Dec 11, 2017",0.022014,0.047924,0.021911,0.023988,268,"291,928"
"Dec 10, 2017",0.022037,0.022812,0.018762,0.022177,195,"292,074"
"Dec 09, 2017",0.028112,0.030197,0.020111,0.021949,325,"372,418"
"Dec 08, 2017",0.039297,0.039297,0.021497,0.028107,"1,183","520,285"
"Dec 07, 2017",0.018824,0.039677,0.018583,0.039205,"3,668","249,101"
"Dec 06, 2017",0.017008,0.022273,0.017008,0.018854,693,"224,955"
"Dec 05, 2017",0.016101,0.018840,0.015856,0.017058,146,"212,847"
"Dec 04, 2017",0.014959,0.016329,0.014882,0.016069,272,"197,647"
"Dec 03, 2017",0.016360,0.017109,0.014280,0.014910,932,"216,045"
"Dec 02, 2017",0.014370,0.017619,0.014101,0.016344,840,"189,680"
"Dec 01, 2017",0.013008,0.015691,0.013008,0.014383,298,"171,595"
"Nov 30, 2017",0.014010,0.015161,0.012300,0.013072,378,"184,733"
"Nov 29, 2017",0.013864,0.016322,0.012582,0.013798,824,"182,706"
"Nov 28, 2017",0.013252,0.015013,0.012913,0.013878,386,"174,553"
"Nov 27, 2017",0.013069,0.013930,0.012389,0.013218,"1,215","172,053"
"Nov 26, 2017",0.011607,0.014243,0.011590,0.013066,892,"152,731"
"Nov 25, 2017",0.010305,0.012919,0.010301,0.011611,"2,222","135,525"
"Nov 24, 2017",0.010430,0.012754,0.010001,0.010327,"2,197","137,103"
"Nov 23, 2017",0.011617,0.012387,0.010403,0.010447,"1,399","152,619"
"Nov 22, 2017",0.011498,0.011930,0.010778,0.011624,"1,270","150,960"
"Nov 21, 2017",0.011179,0.012383,0.010430,0.011470,"1,143","146,722"
"Nov 20, 2017",0.011144,0.012069,0.010733,0.011177,517,"146,181"
"Nov 19, 2017",0.010636,0.012128,0.010273,0.011150,"1,127","139,433"
"Nov 18, 2017",0.010381,0.011081,0.009443,0.010655,514,"136,039"
"Nov 17, 2017",0.010589,0.013036,0.010112,0.010419,142,"138,694"
"Nov 16, 2017",0.009791,0.012659,0.009586,0.010608,277,"128,170"
"Nov 15, 2017",0.008256,0.010060,0.008256,0.009736,293,"108,026"
"Nov 14, 2017",0.008512,0.008726,0.007907,0.008249,142,"111,316"
"Nov 13, 2017",0.007356,0.008640,0.007356,0.008495,277,"96,149"
"Nov 12, 2017",0.008590,0.008659,0.007009,0.007366,472,"112,228"
"Nov 11, 2017",0.008074,0.008655,0.007775,0.008535,979,"105,428"
"Nov 10, 2017",0.008583,0.009108,0.007569,0.008105,115,"112,008"
"Nov 09, 2017",0.009162,0.010378,0.008521,0.008550,626,"119,506"
"Nov 08, 2017",0.008873,0.009840,0.008820,0.009172,129,"115,668"
"Nov 07, 2017",0.008747,0.008999,0.008635,0.008901,300,"113,967"
"Nov 06, 2017",0.009348,0.009613,0.008300,0.008761,331,"121,743"
"Nov 05, 2017",0.009249,0.010334,0.008854,0.009329,175,"120,387"
"Nov 04, 2017",0.009537,0.010420,0.009030,0.009316,425,"124,070"
"Nov 03, 2017",0.008351,0.010986,0.008239,0.008960,238,"108,583"
"Nov 02, 2017",0.008809,0.009238,0.007725,0.008362,138,"114,479"
"Nov 01, 2017",0.007515,0.010313,0.007371,0.008799,"8,991","97,609"
"Oct 31, 2017",0.007912,0.008512,0.007440,0.007528,159,"102,720"
"Oct 30, 2017",0.008100,0.009033,0.007940,0.007940,814,"105,101"
"Oct 29, 2017",0.008532,0.010452,0.007947,0.008148,193,"110,643"
"Oct 28, 2017",0.008354,0.009254,0.006691,0.008536,242,"108,287"
"Oct 27, 2017",0.007870,0.008704,0.006319,0.006326,204,"101,965"
"Oct 26, 2017",0.008233,0.011134,0.007588,0.007883,121,"106,606"
"Oct 25, 2017",0.007157,0.008328,0.006929,0.008234,120,"92,620"
"Oct 24, 2017",0.007109,0.008753,0.006821,0.007141,141,"91,952"
"Oct 23, 2017",0.007366,0.007790,0.006499,0.007126,296,"95,217"
"Oct 22, 2017",0.007309,0.008451,0.007167,0.007382,122,"94,442"
"Oct 21, 2017",0.008905,0.009071,0.007307,0.007307,177,"114,999"
"Oct 20, 2017",0.008914,0.009080,0.007871,0.008923,136,"115,053"
"Oct 19, 2017",0.007742,0.009489,0.007376,0.008912,263,"99,867"
"Oct 18, 2017",0.008906,0.008906,0.007116,0.007738,234,"114,824"
"Oct 17, 2017",0.009219,0.009245,0.007846,0.008905,826,"118,797"
"Oct 16, 2017",0.009842,0.009892,0.008373,0.009060,311,"126,756"
"Oct 15, 2017",0.009523,0.010344,0.008424,0.009841,"3,560","122,580"
"Oct 14, 2017",0.011607,0.011607,0.008446,0.009560,"1,152","149,330"
"Oct 13, 2017",0.011664,0.012296,0.008745,0.011603,820,"149,987"
"Oct 12, 2017",0.007760,0.011628,0.007741,0.011628,"1,576","99,725"
"Oct 11, 2017",0.007181,0.010391,0.006911,0.007753,310,"92,244"
"Oct 10, 2017",0.008745,0.008898,0.007015,0.007182,"1,191","112,270"
"Oct 09, 2017",0.008374,0.009579,0.007551,0.008746,202,"107,449"
"Oct 08, 2017",0.007332,0.008390,0.007325,0.008372,296,"94,029"
"Oct 07, 2017",0.007687,0.008637,0.007166,0.007352,"1,708","98,530"
"Oct 06, 2017",0.008826,0.008941,0.007456,0.007685,787,"113,067"
"Oct 05, 2017",0.007210,0.009195,0.007100,0.008130,288,"92,316"
"Oct 04, 2017",0.008112,0.009394,0.007148,0.007164,467,"103,809"
"Oct 03, 2017",0.007406,0.008093,0.007005,0.008093,100,"94,724"
"Oct 02, 2017",0.007715,0.007852,0.007362,0.007406,56,"98,621"
"Oct 01, 2017",0.007920,0.007956,0.007232,0.007718,338,"101,198"
"Sep 30, 2017",0.007273,0.009695,0.007267,0.007916,124,"92,874"
"Sep 29, 2017",0.007357,0.007634,0.007052,0.007272,56,"93,893"
"Sep 28, 2017",0.008353,0.008485,0.007342,0.007362,165,"106,557"
"Sep 27, 2017",0.008043,0.008807,0.007642,0.008400,158,"102,539"
"Sep 26, 2017",0.008772,0.008885,0.007617,0.007620,144,"111,778"
"Sep 25, 2017",0.007336,0.008982,0.007333,0.008833,132,"93,425"
"Sep 24, 2017",0.008000,0.008147,0.006927,0.007343,246,"101,831"
"Sep 23, 2017",0.007823,0.014823,0.007672,0.008000,"1,422","99,521"
"Sep 22, 2017",0.008078,0.008272,0.007691,0.007849,157,"102,715"
"Sep 21, 2017",0.010203,0.010298,0.007828,0.008088,414,"129,661"
"Sep 20, 2017",0.008463,0.012211,0.008256,0.010248,300,"107,492"
"Sep 19, 2017",0.009237,0.010006,0.008426,0.008474,213,"117,256"
"Sep 18, 2017",0.008174,0.009389,0.008174,0.009214,99,"103,711"
"Sep 17, 2017",0.008985,0.009584,0.008034,0.008190,73,"113,942"
"Sep 16, 2017",0.008959,0.010474,0.008575,0.008991,86,"113,543"
"Sep 15, 2017",0.009159,0.009889,0.007762,0.009085,539,"116,025"
"Sep 14, 2017",0.009851,0.010246,0.008341,0.009089,608,"124,714"
"Sep 13, 2017",0.011723,0.011786,0.009357,0.009851,137,"148,341"
"Sep 12, 2017",0.011349,0.014254,0.009334,0.011760,567,"143,522"
"Sep 11, 2017",0.012364,0.012842,0.011357,0.011357,178,"156,281"
"Sep 10, 2017",0.014549,0.014591,0.011802,0.012381,129,"183,799"
"Sep 09, 2017",0.011659,0.015228,0.011198,0.014588,314,"147,202"
"Sep 08, 2017",0.013493,0.013806,0.011039,0.011636,102,"170,277"
"Sep 07, 2017",0.013768,0.016657,0.012699,0.013491,199,"173,654"
"Sep 06, 2017",0.012402,0.015981,0.012402,0.013795,143,"156,335"
"Sep 05, 2017",0.015242,0.015305,0.011946,0.012388,190,"192,031"
"Sep 04, 2017",0.016343,0.017011,0.013529,0.015164,174,"205,791"
"Sep 03, 2017",0.014782,0.017535,0.014109,0.016337,626,"186,032"
"Sep 02, 2017",0.014193,0.016622,0.011020,0.014773,514,"178,537"
"Sep 01, 2017",0.012271,0.014713,0.012270,0.014171,338,"154,269"
"Aug 31, 2017",0.012504,0.014907,0.010508,0.012372,"1,266","157,115"
"Aug 30, 2017",0.013242,0.013697,0.012327,0.012669,516,"166,287"
"Aug 29, 2017",0.012414,0.013353,0.011907,0.013268,130,"155,814"
"Aug 28, 2017",0.012601,0.012702,0.011817,0.012394,159,"158,076"
"Aug 27, 2017",0.013242,0.014383,0.011982,0.012615,125,"166,025"
"Aug 26, 2017",0.014608,0.014679,0.009342,0.013245,"1,530","183,051"
"Aug 25, 2017",0.017115,0.019781,0.014350,0.014601,210,"214,348"
"Aug 24, 2017",0.021551,0.021641,0.015373,0.017141,322,"269,751"
