Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.193410,0.218076,0.180445,0.180704,"28,004","2,955,140"
"Dec 15, 2017",0.191453,0.219169,0.189665,0.193140,"23,740","2,924,940"
"Dec 14, 2017",0.218347,0.219563,0.190971,0.191142,"32,361","3,335,110"
"Dec 13, 2017",0.221142,0.244263,0.196975,0.221877,"28,134","3,377,100"
"Dec 12, 2017",0.227675,0.282475,0.192822,0.220956,"37,786","3,476,300"
"Dec 11, 2017",0.217865,0.264119,0.217143,0.226939,"37,886","3,325,840"
"Dec 10, 2017",0.236577,0.255488,0.204418,0.219449,"33,442","3,610,740"
"Dec 09, 2017",0.258313,0.279173,0.190655,0.235625,"46,738","3,941,320"
"Dec 08, 2017",0.261402,0.263670,0.173588,0.263670,"71,513","3,986,930"
"Dec 07, 2017",0.313285,0.339831,0.163056,0.163056,"156,324","4,777,100"
"Dec 06, 2017",0.260526,0.358592,0.233954,0.313805,"288,373","3,971,770"
"Dec 05, 2017",0.215847,0.262202,0.198721,0.261128,"127,015","3,289,910"
"Dec 04, 2017",0.229785,0.259486,0.172051,0.200934,"188,000","3,501,670"
"Dec 03, 2017",0.297185,0.309118,0.198488,0.229013,"225,010","4,527,950"
"Dec 02, 2017",0.328148,0.328167,0.286882,0.296238,"212,015","4,999,170"
"Dec 01, 2017",0.312346,0.329213,0.265498,0.329213,"289,580","4,757,980"
"Nov 30, 2017",0.259616,0.366731,0.248326,0.317916,"505,193","3,954,320"
"Nov 29, 2017",0.129704,0.405095,0.129645,0.256837,"1,071,620","1,975,350"
"Nov 28, 2017",0.056562,0.144214,0.052988,0.128131,"554,615","861,259"
"Nov 27, 2017",0.042205,0.059798,0.034715,0.056242,"68,439","642,545"
"Nov 26, 2017",0.036494,0.057013,0.035155,0.042915,"70,793","555,555"
"Nov 25, 2017",0.045839,0.050767,0.035327,0.036506,"39,119","697,738"
"Nov 24, 2017",0.029728,0.050613,0.029065,0.045933,"70,273","452,481"
"Nov 23, 2017",0.025260,0.033126,0.016118,0.029766,"105,464","383,511"
"Nov 22, 2017",0.012987,0.023386,0.012908,0.023386,"33,162","196,825"
"Nov 21, 2017",0.024697,0.025452,0.011250,0.012964,"14,577","374,285"
