Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000910,0.003142,0.000910,0.003036,254,"401,540"
"Dec 15, 2017",0.001066,0.001720,0.000902,0.000912,72,"470,442"
"Dec 14, 2017",0.000990,0.001666,0.000983,0.001055,244,"436,736"
"Dec 13, 2017",0.001726,0.002185,0.000373,0.000990,846,"761,936"
"Dec 12, 2017",0.002269,0.002298,0.000671,0.001725,237,"1,001,250"
"Dec 11, 2017",0.001502,0.002372,0.001497,0.002268,497,"663,095"
"Dec 10, 2017",0.001803,0.001886,0.001458,0.001542,0,"795,768"
"Dec 09, 2017",0.002212,0.002244,0.000939,0.001796,209,"976,317"
"Dec 08, 2017",0.001215,0.002215,0.001145,0.002214,188,"536,185"
"Dec 07, 2017",0.001511,0.001564,0.001061,0.001212,3,"666,854"
"Dec 06, 2017",0.001516,0.001579,0.001339,0.001514,37,"669,268"
"Dec 05, 2017",0.001509,0.001973,0.000440,0.001522,502,"665,793"
"Dec 04, 2017",0.001683,0.001697,0.001439,0.001506,"1,337","742,671"
"Dec 03, 2017",0.001477,0.001793,0.001458,0.001678,428,"651,706"
"Dec 02, 2017",0.001679,0.001708,0.001471,0.001474,8,"740,814"
"Dec 01, 2017",0.001290,0.001825,0.001243,0.001680,"1,141","569,404"
"Nov 30, 2017",0.001185,0.001308,0.000874,0.001296,130,"522,896"
"Nov 29, 2017",0.000897,0.001381,0.000897,0.001167,61,"395,797"
"Nov 28, 2017",0.000948,0.001333,0.000894,0.000897,88,"418,201"
"Nov 27, 2017",0.001210,0.001703,0.000923,0.000947,"1,418","533,840"
"Nov 26, 2017",0.000798,0.001271,0.000797,0.001210,12,"352,285"
"Nov 25, 2017",0.000764,0.000862,0.000724,0.000798,76,"337,367"
"Nov 24, 2017",0.000962,0.000973,0.000641,0.000767,177,"424,578"
"Nov 23, 2017",0.000872,0.000990,0.000606,0.000966,"1,751","385,041"
"Nov 22, 2017",0.000629,0.000971,0.000578,0.000900,54,"277,684"
"Nov 21, 2017",0.000330,0.001092,0.000329,0.000629,70,"145,494"
"Nov 20, 2017",0.000538,0.000540,0.000327,0.000330,140,"237,302"
"Nov 19, 2017",0.000767,0.000793,0.000529,0.000549,6,"338,392"
"Nov 18, 2017",0.000796,0.000796,0.000747,0.000765,6,"351,510"
"Nov 17, 2017",0.000777,0.000821,0.000731,0.000797,0,"342,845"
"Nov 16, 2017",0.000447,0.000832,0.000439,0.000782,155,"197,467"
"Nov 15, 2017",0.000471,0.000493,0.000410,0.000445,2,"207,763"
"Nov 14, 2017",0.000588,0.000605,0.000453,0.000465,0,"259,334"
"Nov 13, 2017",0.000356,0.000602,0.000258,0.000586,30,"157,248"
"Nov 12, 2017",0.000415,0.000496,0.000306,0.000356,14,"183,010"
"Nov 11, 2017",0.000523,0.000555,0.000504,0.000512,2,"230,784"
"Nov 10, 2017",0.000631,0.000640,0.000279,0.000525,98,"278,678"
"Nov 09, 2017",0.000812,0.000859,0.000489,0.000619,21,"358,245"
"Nov 08, 2017",0.000712,0.000834,0.000653,0.000828,5,"314,070"
"Nov 07, 2017",0.000623,0.000714,0.000494,0.000714,60,"274,840"
"Nov 06, 2017",0.000453,0.000635,0.000304,0.000624,126,"199,883"
"Nov 05, 2017",0.000443,0.000973,0.000438,0.000452,103,"195,345"
"Nov 04, 2017",0.000431,0.000770,0.000421,0.000443,1,"190,167"
"Nov 03, 2017",0.000913,0.000964,0.000427,0.000432,23,"402,963"
"Nov 02, 2017",0.000466,0.000993,0.000447,0.000914,193,"205,752"
"Nov 01, 2017",0.000322,0.000481,0.000318,0.000465,0,"142,233"
"Oct 31, 2017",0.000368,0.000507,0.000317,0.000323,62,"162,270"
"Oct 30, 2017",0.000618,0.000623,0.000364,0.000369,7,"272,882"
"Oct 29, 2017",0.000565,0.000634,0.000564,0.000622,65,"249,510"
"Oct 28, 2017",0.000577,0.000742,0.000519,0.000566,13,"254,496"
"Oct 26, 2017",0.000442,0.000445,0.000440,0.000444,1,"195,145"
"Oct 25, 2017",0.000561,0.000564,0.000441,0.000443,1,"247,678"
"Oct 24, 2017",0.000592,0.000719,0.000557,0.000560,36,"261,471"
"Oct 23, 2017",0.000664,0.000689,0.000494,0.000594,37,"293,198"
"Oct 22, 2017",0.000663,0.000768,0.000637,0.000669,2,"292,432"
"Oct 21, 2017",0.000780,0.000798,0.000408,0.000662,98,"344,280"
"Oct 20, 2017",0.000798,0.000801,0.000227,0.000781,136,"352,291"
"Oct 19, 2017",0.000780,0.000804,0.000772,0.000798,1,"344,264"
"Oct 18, 2017",0.000840,0.000840,0.000359,0.000780,14,"370,782"
"Oct 17, 2017",0.000810,0.000850,0.000396,0.000840,137,"357,599"
"Oct 16, 2017",0.001098,0.001257,0.000781,0.000810,218,"484,438"
"Oct 15, 2017",0.000702,0.001109,0.000655,0.001097,39,"309,894"
"Oct 14, 2017",0.000345,0.000753,0.000341,0.000701,136,"152,220"
"Oct 13, 2017",0.000646,0.000757,0.000337,0.000345,66,"285,194"
"Oct 12, 2017",0.000556,0.000695,0.000555,0.000644,1,"245,222"
"Oct 11, 2017",0.000443,0.000555,0.000438,0.000555,8,"195,658"
"Oct 10, 2017",0.000669,0.000692,0.000666,0.000677,5,"295,241"
"Oct 09, 2017",0.001002,0.001002,0.000146,0.000669,398,"442,248"
"Oct 08, 2017",0.000458,0.001004,0.000334,0.001002,91,"202,097"
"Oct 07, 2017",0.001062,0.001080,0.000446,0.000459,82,"468,882"
"Oct 06, 2017",0.000828,0.001064,0.000583,0.001064,194,"365,399"
"Oct 05, 2017",0.000722,0.000834,0.000426,0.000828,43,"318,646"
"Oct 04, 2017",0.001033,0.001043,0.000504,0.000722,168,"455,804"
"Oct 03, 2017",0.000498,0.001332,0.000482,0.001330,15,"219,953"
"Oct 02, 2017",0.000397,0.000499,0.000396,0.000498,235,"175,046"
"Oct 01, 2017",0.000999,0.001004,0.000395,0.000397,1,"440,984"
"Sep 30, 2017",0.000587,0.001002,0.000587,0.000999,9,"259,233"
"Sep 29, 2017",0.000419,0.001345,0.000304,0.000587,12,"185,082"
"Sep 28, 2017",0.000681,0.000681,0.000414,0.000420,205,"300,732"
"Sep 27, 2017",0.001188,0.001189,0.001008,0.001093,0,"524,225"
"Sep 26, 2017",0.000790,0.001307,0.000789,0.001190,122,"348,511"
"Sep 25, 2017",0.000760,0.000797,0.000752,0.000789,4,"335,627"
"Sep 24, 2017",0.000455,0.000455,0.000437,0.000444,2,"200,690"
"Sep 23, 2017",0.000518,0.000791,0.000447,0.000455,65,"228,415"
"Sep 22, 2017",0.000399,0.000531,0.000178,0.000523,23,"176,278"
"Sep 21, 2017",0.001047,0.001054,0.000396,0.000400,12,"462,288"
"Sep 20, 2017",0.000832,0.001093,0.000828,0.001053,186,"367,351"
"Sep 19, 2017",0.000427,0.000864,0.000401,0.000831,0,"188,636"
"Sep 18, 2017",0.000296,0.000905,0.000296,0.000426,7,"130,717"
"Sep 17, 2017",0.000521,0.000521,0.000289,0.000296,0,"230,145"
"Sep 16, 2017",0.000541,0.000560,0.000389,0.000522,2,"238,987"
"Sep 15, 2017",0.000732,0.000732,0.000395,0.000547,9,"322,857"
"Sep 14, 2017",0.000591,0.000949,0.000532,0.000867,0,"260,684"
"Sep 13, 2017",0.000948,0.001216,0.000327,0.000591,4,"418,347"
"Sep 12, 2017",0.000799,0.001057,0.000726,0.000948,7,"352,656"
"Sep 11, 2017",0.001345,0.001352,0.000492,0.000799,5,"593,661"
"Sep 10, 2017",0.000758,0.001414,0.000684,0.001341,75,"334,430"
"Sep 09, 2017",0.001169,0.001190,0.000558,0.000758,4,"515,840"
"Sep 08, 2017",0.001480,0.001480,0.000791,0.001167,158,"653,129"
"Sep 07, 2017",0.000877,0.001510,0.000765,0.001480,250,"386,889"
"Sep 06, 2017",0.001407,0.001468,0.000777,0.000878,355,"620,844"
"Sep 05, 2017",0.000398,0.001438,0.000371,0.001403,0,"175,716"
"Sep 04, 2017",0.000462,0.000462,0.000381,0.000397,22,"203,894"
"Sep 03, 2017",0.000516,0.000525,0.000443,0.000462,245,"227,735"
"Sep 02, 2017",0.001772,0.001774,0.000507,0.000516,11,"782,110"
"Sep 01, 2017",0.001562,0.001771,0.000900,0.001771,118,"689,289"
"Aug 31, 2017",0.001066,0.001564,0.000441,0.001561,307,"470,471"
"Aug 30, 2017",0.001430,0.001451,0.001027,0.001056,7,"631,012"
"Aug 29, 2017",0.001588,0.001599,0.001010,0.001430,100,"701,029"
"Aug 28, 2017",0.001476,0.001588,0.000927,0.001588,28,"651,489"
"Aug 27, 2017",0.001477,0.001517,0.000971,0.001475,379,"651,687"
"Aug 26, 2017",0.000306,0.001644,0.000300,0.001477,"1,355","134,893"
"Aug 25, 2017",0.000346,0.000351,0.000302,0.000305,312,"152,839"
"Aug 24, 2017",0.000320,0.000419,0.000318,0.000347,1,"141,027"
"Aug 23, 2017",0.000327,0.000363,0.000310,0.000319,11,"144,271"
"Aug 22, 2017",0.000320,0.000329,0.000290,0.000328,2,"141,265"
"Aug 21, 2017",0.000568,0.000572,0.000319,0.000319,37,"250,670"
"Aug 20, 2017",0.000829,0.000829,0.000284,0.000570,120,"365,907"
"Aug 19, 2017",0.001442,0.001449,0.000814,0.000833,6,"636,238"
"Aug 18, 2017",0.000620,0.001465,0.000591,0.001442,4,"273,496"
"Aug 17, 2017",0.000957,0.001033,0.000620,0.000621,283,"422,238"
"Aug 16, 2017",0.001017,0.001133,0.001005,0.001007,249,"448,970"
"Aug 15, 2017",0.000327,0.001039,0.000322,0.001037,197,"144,434"
"Aug 14, 2017",0.001063,0.003029,0.000295,0.000327,19,"468,940"
"Aug 13, 2017",0.000689,0.000857,0.000674,0.000839,9,"304,244"
"Aug 12, 2017",0.000613,0.001065,0.000425,0.000690,120,"270,628"
"Aug 11, 2017",0.001303,0.001449,0.000351,0.000614,39,"575,203"
"Aug 10, 2017",0.000923,0.002319,0.000546,0.001304,858,"407,385"
"Aug 09, 2017",0.000224,0.000931,0.000127,0.000923,40,"98,981"
"Aug 08, 2017",0.000826,0.002339,0.000224,0.000224,821,"364,693"
"Aug 07, 2017",0.000493,0.001583,0.000076,0.000825,462,"217,645"
"Aug 06, 2017",0.000156,0.000647,0.000154,0.000494,2,"68,706"
"Aug 05, 2017",0.000309,0.001741,0.000035,0.000156,216,"136,481"
"Aug 04, 2017",0.000484,0.001608,0.000309,0.000309,136,"213,783"
"Aug 03, 2017",0.001285,0.001637,0.000461,0.000484,828,"567,027"
"Aug 02, 2017",0.001654,0.001667,0.000466,0.001287,137,"729,890"
"Aug 01, 2017",0.000432,0.001690,0.000432,0.001658,2,"190,876"
"Jul 31, 2017",0.001426,0.001437,0.000429,0.000432,16,"629,446"
"Jul 30, 2017",0.000815,0.001538,0.000805,0.001423,129,"359,837"
"Jul 29, 2017",0.001403,0.001414,0.000803,0.000815,43,"619,009"
"Jul 28, 2017",0.001518,0.001524,0.001400,0.001402,79,"670,065"
"Jul 27, 2017",0.000877,0.001929,0.000301,0.001517,230,"386,879"
"Jul 26, 2017",0.000456,0.000874,0.000441,0.000874,14,"201,057"
"Jul 25, 2017",0.001486,0.001599,0.000418,0.000456,40,"655,624"
"Jul 24, 2017",0.001042,0.002061,0.000474,0.001484,430,"460,029"
"Jul 23, 2017",0.001312,0.001390,0.000737,0.001041,123,"578,967"
"Jul 22, 2017",0.000360,0.001447,0.000358,0.001312,9,"159,004"
"Jul 21, 2017",0.001081,0.001130,0.000351,0.000360,14,"477,122"
"Jul 20, 2017",0.000679,0.001115,0.000499,0.001074,173,"299,648"
"Jul 19, 2017",0.000879,0.001374,0.000670,0.000681,645,"388,128"
"Jul 18, 2017",0.000991,0.001266,0.000695,0.000878,180,"437,196"
"Jul 17, 2017",0.000666,0.000990,0.000498,0.000986,156,"293,900"
"Jul 16, 2017",0.000736,0.000756,0.000462,0.000667,340,"324,664"
"Jul 15, 2017",0.000653,0.000777,0.000561,0.000738,317,"288,251"
"Jul 14, 2017",0.003478,0.005692,0.000642,0.000654,"1,267","1,534,860"
"Jul 13, 2017",0.000891,0.003618,0.000356,0.003485,"2,501","393,244"
"Jul 12, 2017",0.000390,0.001004,0.000335,0.000882,"4,178","172,296"
"Jul 11, 2017",0.000207,0.000640,0.000202,0.000391,"1,281","91,190"
"Jul 10, 2017",0.000617,0.000621,0.000187,0.000206,931,"272,180"
"Jul 09, 2017",0.000199,0.000623,0.000197,0.000616,600,"87,691"
"Jul 08, 2017",0.000200,0.000591,0.000194,0.000198,"2,809","88,149"
"Jul 07, 2017",0.000584,0.003451,0.000198,0.000199,"3,004","257,956"
"Jul 06, 2017",0.000634,0.013744,0.000525,0.000585,"2,648",-
"Jul 05, 2017",0.000616,0.001334,0.000161,0.000634,"2,548",-
"Jul 04, 2017",0.001236,0.005613,0.000265,0.000670,"4,985",-
"Jul 03, 2017",0.000816,0.015065,0.000544,0.001238,"12,057",-
"Jul 02, 2017",0.000765,0.011480,0.000035,0.000822,"4,705",-
"Jul 01, 2017",0.000929,0.002169,0.000269,0.000764,"6,844",-
"Jun 30, 2017",0.005819,0.011023,0.000141,0.000919,"3,593",-
"Jun 29, 2017",0.000944,0.008889,0.000339,0.001342,"6,101",-
"Jun 28, 2017",0.002811,0.004409,0.000946,0.000946,351,-
"Jun 27, 2017",0.002545,0.009861,0.001145,0.002795,"3,452",-
"Jun 26, 2017",0.002788,0.014525,0.000258,0.002358,"9,591","2,476"
"Jun 25, 2017",0.006044,0.014856,0.002719,0.005578,"4,976",-
