Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.001435,0.014949,0.001416,0.003517,"6,859","31,691"
"Dec 15, 2017",0.001496,0.004047,0.001203,0.001433,"4,502","32,483"
"Dec 14, 2017",0.000983,0.004801,0.000972,0.001493,"6,290","20,956"
"Dec 13, 2017",0.001482,0.001817,0.000979,0.000986,642,"30,799"
"Dec 12, 2017",0.001146,0.002149,0.001119,0.001480,155,"23,353"
"Dec 11, 2017",0.001525,0.002381,0.001015,0.001142,320,"30,445"
"Dec 10, 2017",0.002361,0.002361,0.000808,0.001536,780,"46,216"
"Dec 09, 2017",0.002767,0.002808,0.001372,0.002351,294,"52,961"
"Dec 08, 2017",0.002491,0.003181,0.001678,0.001721,"1,049","25,716"
"Dec 07, 2017",0.002830,0.003260,0.001978,0.002500,"3,166","29,223"
"Dec 06, 2017",0.002742,0.003307,0.001894,0.002829,"2,459","28,316"
"Dec 05, 2017",0.001761,0.002764,0.001761,0.002749,"1,669","18,180"
"Dec 04, 2017",0.002011,0.002478,0.001215,0.001757,"1,242","20,768"
"Dec 03, 2017",0.002546,0.002561,0.001857,0.002005,69,"26,285"
"Dec 02, 2017",0.001795,0.002587,0.001380,0.002543,"1,232","18,534"
"Dec 01, 2017",0.001637,0.003885,0.001469,0.001797,"2,314","16,900"
"Nov 30, 2017",0.001243,0.002109,0.001213,0.001645,855,"12,837"
"Nov 29, 2017",0.001212,0.004676,0.001149,0.001225,"5,170","12,512"
"Nov 28, 2017",0.000974,0.004157,0.000961,0.001213,"1,960","10,053"
"Nov 27, 2017",0.000791,0.001036,0.000524,0.000971,362,"8,168"
"Nov 26, 2017",0.000448,0.001055,0.000448,0.000791,"11,849","4,629"
"Nov 25, 2017",0.000408,0.000601,0.000402,0.000448,66,"4,214"
"Nov 24, 2017",0.000627,0.000706,0.000405,0.000409,118,"6,478"
"Nov 23, 2017",0.000587,0.000677,0.000577,0.000628,575,"6,066"
"Nov 22, 2017",0.000584,0.000657,0.000574,0.000588,86,"6,032"
"Nov 21, 2017",0.000720,0.000750,0.000504,0.000568,98,"7,429"
"Nov 20, 2017",0.000981,0.000982,0.000720,0.000720,212,"10,132"
"Nov 19, 2017",0.000888,0.001000,0.000803,0.000973,349,"9,165"
"Nov 18, 2017",0.001015,0.001148,0.000852,0.000916,507,"10,476"
"Nov 17, 2017",0.001279,0.001310,0.001012,0.001027,239,"13,202"
"Nov 16, 2017",0.000942,0.001366,0.000930,0.001281,440,"9,727"
"Nov 15, 2017",0.001355,0.001418,0.000833,0.000937,"1,599","13,994"
"Nov 14, 2017",0.001567,0.001603,0.001110,0.001356,648,"16,183"
"Nov 13, 2017",0.001221,0.001573,0.000744,0.001564,"1,064","12,608"
"Nov 12, 2017",0.001279,0.001705,0.000907,0.001219,"5,341","13,201"
"Nov 11, 2017",0.002919,0.002919,0.000744,0.001279,"7,514","30,141"
"Nov 10, 2017",0.000868,0.004130,0.000757,0.002930,"109,740","8,964"
