Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.063529,0.072624,0.062726,0.072054,23,"338,984"
"Dec 15, 2017",0.059715,0.065069,0.059704,0.063440,305,"318,462"
"Dec 14, 2017",0.058952,0.063198,0.058286,0.059626,363,"314,208"
"Dec 13, 2017",0.060984,0.065699,0.057370,0.059142,117,"324,734"
"Dec 12, 2017",0.057245,0.062688,0.041537,0.060933,37,"304,607"
"Dec 11, 2017",0.036288,0.058595,0.036129,0.057061,58,"192,959"
"Dec 10, 2017",0.054135,0.056354,0.034832,0.036552,425,"287,666"
"Dec 09, 2017",0.057737,0.058097,0.032641,0.053917,53,"306,594"
"Dec 08, 2017",0.063694,0.064644,0.036650,0.057795,154,"337,994"
"Dec 07, 2017",0.039010,0.065704,0.038511,0.063545,230,"206,871"
"Dec 06, 2017",0.028433,0.047531,0.028433,0.040591,534,"150,688"
"Dec 05, 2017",0.027599,0.028720,0.027599,0.028496,128,"146,210"
"Dec 04, 2017",0.026755,0.027582,0.025914,0.026645,3,"141,612"
"Dec 03, 2017",0.026593,0.028172,0.025200,0.026667,32,"140,690"
"Dec 02, 2017",0.026340,0.027092,0.025961,0.026607,18,"139,220"
"Dec 01, 2017",0.024483,0.029256,0.023123,0.026363,62,"129,315"
"Nov 30, 2017",0.023392,0.025445,0.021507,0.024605,3,"123,476"
"Nov 29, 2017",0.024423,0.027225,0.021641,0.023038,24,"128,816"
"Nov 28, 2017",0.028193,0.028581,0.024137,0.024447,1,"148,603"
"Nov 27, 2017",0.026928,0.028658,0.026928,0.028120,58,"141,839"
"Nov 26, 2017",0.023090,0.027500,0.023064,0.026923,10,"121,537"
"Nov 25, 2017",0.020419,0.023132,0.020335,0.023098,17,"107,448"
"Nov 24, 2017",0.018485,0.019180,0.018133,0.019008,5,"97,166"
"Nov 23, 2017",0.019329,0.019424,0.017186,0.018510,20,"101,535"
"Nov 22, 2017",0.017121,0.019919,0.017048,0.019335,20,"89,870"
"Nov 21, 2017",0.017389,0.017661,0.016450,0.017079,13,"91,220"
"Nov 20, 2017",0.017052,0.017495,0.016826,0.017386,16,"89,387"
"Nov 19, 2017",0.016430,0.017115,0.016240,0.017060,8,"86,072"
"Nov 18, 2017",0.016757,0.018765,0.016096,0.016461,13,"87,721"
"Nov 17, 2017",0.017101,0.018690,0.016496,0.016822,16,"89,461"
"Nov 16, 2017",0.015848,0.017446,0.015493,0.017129,14,"82,843"
"Nov 15, 2017",0.014281,0.015820,0.014281,0.015765,11,"74,603"
"Nov 14, 2017",0.016001,0.016434,0.013817,0.014271,4,"83,527"
"Nov 13, 2017",0.011624,0.016288,0.011534,0.015967,42,"60,646"
"Nov 12, 2017",0.013231,0.013231,0.010465,0.011607,11,"68,986"
"Nov 11, 2017",0.012427,0.013276,0.012027,0.013241,2,"64,750"
"Nov 10, 2017",0.013473,0.013862,0.012193,0.012471,1,"70,166"
"Nov 09, 2017",0.014263,0.014263,0.013325,0.013434,7,"74,227"
"Nov 08, 2017",0.016438,0.018117,0.013609,0.014278,7,"85,491"
"Nov 07, 2017",0.011830,0.016630,0.011830,0.016490,48,"61,484"
"Nov 06, 2017",0.011829,0.013176,0.011722,0.011849,16,"61,437"
"Nov 05, 2017",0.011508,0.022177,0.011508,0.011803,317,"59,725"
"Nov 04, 2017",0.011252,0.012838,0.010924,0.011530,12,"58,361"
"Nov 03, 2017",0.012291,0.013324,0.011095,0.011281,15,"63,704"
"Nov 02, 2017",0.010698,0.012694,0.010644,0.012307,10,"55,411"
"Nov 01, 2017",0.013210,0.014431,0.010377,0.010687,67,"68,370"
"Oct 31, 2017",0.012562,0.013321,0.012495,0.013220,5,"64,971"
"Oct 30, 2017",0.012437,0.014937,0.012192,0.012605,9,"64,279"
"Oct 29, 2017",0.011570,0.014392,0.011540,0.012510,9,"59,759"
"Oct 28, 2017",0.011873,0.012093,0.011420,0.011586,6,"61,276"
"Oct 27, 2017",0.012068,0.012292,0.011683,0.011840,5,"62,240"
"Oct 26, 2017",0.011526,0.012268,0.011457,0.012065,4,"59,403"
"Oct 25, 2017",0.011202,0.013877,0.010827,0.011527,7,"57,692"
"Oct 24, 2017",0.011790,0.016464,0.011136,0.011198,23,"60,676"
"Oct 23, 2017",0.012497,0.012741,0.011668,0.011816,59,"64,267"
"Oct 22, 2017",0.012328,0.012690,0.011884,0.012517,2,"63,359"
"Oct 21, 2017",0.016995,0.017403,0.012100,0.012324,9,"87,292"
"Oct 20, 2017",0.016087,0.017294,0.015962,0.017030,2,"82,573"
"Oct 19, 2017",0.013186,0.019688,0.013121,0.016082,61,"67,635"
"Oct 18, 2017",0.013162,0.013243,0.012066,0.013179,3,"67,461"
"Oct 17, 2017",0.013234,0.013307,0.012677,0.013161,30,"67,782"
"Oct 16, 2017",0.013034,0.017109,0.012748,0.013232,14,"66,714"
"Oct 15, 2017",0.013399,0.013443,0.012493,0.013033,6,"68,538"
"Oct 14, 2017",0.013574,0.014643,0.012082,0.013376,18,"69,382"
"Oct 13, 2017",0.011643,0.013574,0.011337,0.013570,12,"59,473"
"Oct 12, 2017",0.010521,0.015606,0.009676,0.011607,16,"53,703"
"Oct 11, 2017",0.009526,0.010519,0.009450,0.010512,15,"48,589"
"Oct 10, 2017",0.009572,0.010448,0.009457,0.009527,5,"48,793"
"Oct 09, 2017",0.009666,0.009903,0.009116,0.009573,6,"49,239"
"Oct 08, 2017",0.010220,0.010632,0.009099,0.009663,36,"52,027"
"Oct 07, 2017",0.011066,0.012541,0.008775,0.010248,12,"56,293"
"Oct 06, 2017",0.010939,0.011307,0.010917,0.011062,6,"55,606"
"Oct 05, 2017",0.010849,0.011047,0.010517,0.010939,5,"55,111"
"Oct 04, 2017",0.011058,0.011172,0.010743,0.010839,6,"56,135"
"Oct 03, 2017",0.012284,0.012932,0.010805,0.011033,11,"62,310"
"Oct 02, 2017",0.012919,0.013062,0.011545,0.012283,8,"65,482"
"Oct 01, 2017",0.012383,0.012924,0.011712,0.012924,5,"62,722"
"Sep 30, 2017",0.010931,0.013220,0.010920,0.012376,4,"55,335"
"Sep 29, 2017",0.011574,0.012567,0.010880,0.010929,7,"58,555"
"Sep 28, 2017",0.011739,0.011886,0.011424,0.011583,5,"59,348"
"Sep 27, 2017",0.012055,0.013102,0.011150,0.011739,25,"60,904"
"Sep 26, 2017",0.011800,0.012302,0.011799,0.012088,2,"59,580"
"Sep 25, 2017",0.013257,0.013307,0.009459,0.011801,101,"66,899"
"Sep 24, 2017",0.011479,0.014780,0.011026,0.013271,69,"57,884"
"Sep 23, 2017",0.010930,0.011561,0.010825,0.011480,54,"55,078"
"Sep 22, 2017",0.008022,0.014536,0.007692,0.010961,65,"40,411"
"Sep 21, 2017",0.008108,0.008163,0.007497,0.007587,1,"40,811"
"Sep 20, 2017",0.007436,0.009145,0.007396,0.008148,13,"37,401"
"Sep 19, 2017",0.007878,0.014637,0.007422,0.007446,44,"39,598"
"Sep 18, 2017",0.008129,0.008981,0.007579,0.007859,6,"40,831"
"Sep 17, 2017",0.008395,0.008401,0.006994,0.008146,30,"42,135"
"Sep 16, 2017",0.008198,0.008654,0.007930,0.008400,3,"41,120"
"Sep 15, 2017",0.006587,0.009752,0.003632,0.008219,136,"33,020"
"Sep 14, 2017",0.009770,0.009901,0.006536,0.006536,11,"48,949"
"Sep 13, 2017",0.010423,0.010460,0.009487,0.009771,5,"52,179"
"Sep 12, 2017",0.009565,0.010538,0.009313,0.010462,7,"47,850"
"Sep 11, 2017",0.008288,0.009599,0.008066,0.009556,3,"41,431"
"Sep 10, 2017",0.008229,0.008438,0.007691,0.008302,0,"41,110"
"Sep 09, 2017",0.008183,0.008267,0.007990,0.008251,3,"40,866"
"Sep 07, 2017",0.011309,0.011310,0.011069,0.011151,4,"56,365"
"Sep 06, 2017",0.010829,0.011815,0.010825,0.011330,7,"53,935"
"Sep 05, 2017",0.010550,0.011021,0.009939,0.010817,0,"52,506"
"Sep 04, 2017",0.010300,0.010870,0.009161,0.010495,3,"51,226"
"Sep 03, 2017",0.011482,0.011589,0.009884,0.010297,1,"57,058"
"Sep 02, 2017",0.009848,0.011474,0.008816,0.011474,13,"48,906"
"Sep 01, 2017",0.013362,0.013422,0.009163,0.009835,110,"66,315"
"Aug 31, 2017",0.011907,0.013390,0.011539,0.013359,12,"59,049"
"Aug 30, 2017",0.013047,0.013168,0.011513,0.011927,7,"64,658"
"Aug 29, 2017",0.011499,0.013106,0.011099,0.013064,64,"56,945"
"Aug 28, 2017",0.011770,0.012363,0.010917,0.011479,23,"58,247"
"Aug 27, 2017",0.013032,0.013135,0.011469,0.011783,41,"64,455"
"Aug 26, 2017",0.016160,0.016197,0.012915,0.013035,23,"79,878"
"Aug 25, 2017",0.016016,0.016632,0.015907,0.016155,11,"79,109"
"Aug 24, 2017",0.016199,0.016902,0.015538,0.016042,9,"79,953"
"Aug 23, 2017",0.015568,0.020021,0.015515,0.016151,40,"76,787"
"Aug 22, 2017",0.015204,0.015790,0.013766,0.015600,0,"74,948"
"Aug 21, 2017",0.020284,0.020440,0.015137,0.015168,1,"99,937"
