Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.008119,0.009423,0.008096,0.009349,"85,743","1,540,350"
"Dec 15, 2017",0.008792,0.009528,0.007846,0.008107,"143,391","1,668,190"
"Dec 14, 2017",0.008188,0.009315,0.008131,0.008779,"162,505","1,553,540"
"Dec 13, 2017",0.008461,0.008574,0.007809,0.008379,"125,253","1,605,400"
"Dec 12, 2017",0.008250,0.008712,0.008057,0.008454,"211,318","1,565,280"
"Dec 11, 2017",0.007622,0.008577,0.007445,0.008224,"204,572","1,446,190"
"Dec 10, 2017",0.008582,0.008582,0.006612,0.007678,"152,968","1,628,350"
"Dec 09, 2017",0.006831,0.008882,0.006831,0.008548,"200,290","1,296,000"
"Dec 08, 2017",0.006944,0.007573,0.005282,0.007000,"198,298","1,317,570"
"Dec 07, 2017",0.007551,0.008055,0.005798,0.007272,"250,558","1,432,660"
"Dec 06, 2017",0.007606,0.008518,0.006996,0.007564,"199,553","1,443,060"
"Dec 05, 2017",0.009090,0.009122,0.007141,0.007623,"173,698","1,724,720"
"Dec 04, 2017",0.008657,0.009433,0.008386,0.009073,"209,913","1,642,490"
"Dec 03, 2017",0.008638,0.009501,0.007982,0.008628,"109,400","1,638,870"
"Dec 02, 2017",0.009355,0.009970,0.006915,0.008630,"314,343","1,774,890"
"Dec 01, 2017",0.007398,0.010328,0.006923,0.009038,"463,469","1,403,640"
"Nov 30, 2017",0.003833,0.008538,0.003809,0.007633,"312,027","727,270"
"Nov 29, 2017",0.004269,0.004544,0.003579,0.003775,"46,129","809,948"
"Nov 28, 2017",0.003804,0.004348,0.003574,0.004273,"77,529","721,798"
"Nov 27, 2017",0.003912,0.004515,0.003511,0.003794,"95,175","742,305"
"Nov 26, 2017",0.004286,0.004404,0.003590,0.003916,"88,142","813,122"
"Nov 25, 2017",0.005008,0.005254,0.004164,0.004287,"67,873","950,170"
"Nov 24, 2017",0.004905,0.005084,0.004807,0.005018,"63,444","930,710"
"Nov 23, 2017",0.005017,0.005042,0.004912,0.004912,"62,244","951,945"
"Nov 22, 2017",0.004543,0.005044,0.004307,0.005019,"63,447","861,990"
"Nov 21, 2017",0.004533,0.004999,0.004288,0.004532,"73,477","860,000"
"Nov 20, 2017",0.004263,0.004722,0.003910,0.004697,"55,323","808,912"
"Nov 19, 2017",0.004673,0.004843,0.004073,0.004105,"88,957","886,580"
"Nov 18, 2017",0.004537,0.004857,0.004417,0.004682,"42,361","860,878"
"Nov 17, 2017",0.004945,0.005113,0.004540,0.004555,"51,119","938,244"
"Nov 16, 2017",0.005186,0.005275,0.004425,0.004953,"91,408","983,901"
"Nov 15, 2017",0.004827,0.005694,0.004711,0.005377,"168,206","915,857"
"Nov 14, 2017",0.004376,0.005009,0.004161,0.004890,"64,672","830,196"
"Nov 13, 2017",0.003699,0.004380,0.003671,0.004366,"88,170","701,867"
