Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000529,0.000728,0.000184,0.000389,"2,027",-
"Dec 15, 2017",0.000497,0.000715,0.000337,0.000529,152,-
"Dec 14, 2017",0.000491,0.000507,0.000324,0.000497,388,-
"Dec 13, 2017",0.000346,0.000521,0.000165,0.000493,276,-
"Dec 12, 2017",0.000337,0.000355,0.000329,0.000345,567,-
"Dec 11, 2017",0.000457,0.000664,0.000327,0.000336,239,-
"Dec 10, 2017",0.000301,0.000567,0.000268,0.000461,134,-
"Dec 09, 2017",0.000488,0.000660,0.000284,0.000300,133,-
"Dec 08, 2017",0.000521,0.000768,0.000455,0.000488,557,-
"Dec 07, 2017",0.000549,0.000768,0.000455,0.000519,"1,685",-
"Dec 06, 2017",0.000702,0.000827,0.000543,0.000550,"1,053",-
"Dec 05, 2017",0.000699,0.000707,0.000460,0.000704,238,-
"Dec 04, 2017",0.000675,0.000927,0.000436,0.000698,"1,050",-
"Dec 03, 2017",0.000656,0.000829,0.000635,0.000672,227,-
"Dec 02, 2017",0.000762,0.000776,0.000645,0.000655,427,-
"Dec 01, 2017",0.000700,0.000851,0.000594,0.000763,538,-
"Nov 30, 2017",0.000590,0.000739,0.000482,0.000603,"1,692",-
"Nov 29, 2017",0.000695,0.000767,0.000532,0.000581,491,-
"Nov 28, 2017",0.000878,0.000878,0.000496,0.000696,833,-
"Nov 27, 2017",0.000652,0.001456,0.000377,0.000876,"2,634",-
"Nov 26, 2017",0.000700,0.000896,0.000645,0.000652,833,-
"Nov 25, 2017",0.000903,0.000927,0.000658,0.000700,451,-
"Nov 24, 2017",0.000563,0.000988,0.000473,0.000905,"1,107",-
"Nov 23, 2017",0.000658,0.001140,0.000408,0.000563,"4,022",-
"Nov 22, 2017",0.000893,0.000899,0.000577,0.000658,"1,338",-
"Nov 21, 2017",0.001154,0.001155,0.000780,0.000890,"1,234",-
"Nov 20, 2017",0.001126,0.001239,0.000822,0.001154,"2,908",-
"Nov 19, 2017",0.001090,0.001409,0.000849,0.001127,"6,132",-
"Nov 18, 2017",0.001537,0.001684,0.000837,0.001092,"8,300",-
"Nov 17, 2017",0.001804,0.001819,0.001522,0.001543,"5,243",-
"Nov 16, 2017",0.001534,0.002169,0.001488,0.001807,"167,626",-
"Nov 15, 2017",0.001653,0.002099,0.001492,0.001526,"273,569",-
"Nov 14, 2017",0.002090,0.002280,0.001309,0.001652,"192,076",-
"Nov 13, 2017",0.001820,0.002556,0.001317,0.002085,"342,025",-
"Nov 12, 2017",0.002099,0.002578,0.001075,0.001817,"20,976",-
"Nov 11, 2017",0.003156,0.003405,0.001942,0.002101,"18,009",-
"Nov 10, 2017",0.003921,0.004327,0.003132,0.003167,"525,488",-
"Nov 09, 2017",0.006571,0.006636,0.003575,0.003909,"159,521",-
"Nov 08, 2017",0.003273,0.009198,0.003042,0.006578,"1,031,670",-
"Nov 07, 2017",0.002714,0.003580,0.002331,0.003284,"536,853",-
"Nov 06, 2017",0.003475,0.003708,0.001832,0.002718,"367,160",-
"Nov 05, 2017",0.001918,0.004020,0.001477,0.003246,"362,980",-
"Nov 04, 2017",0.002938,0.002938,0.001437,0.001996,"348,869",-
"Nov 03, 2017",0.035116,0.035116,0.002112,0.003090,"106,168",-
"Nov 02, 2017",0.037573,0.058697,0.035027,0.041351,"266,744",-
