Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",21.75,25.35,20.46,23.48,"80,170,000","921,878,000"
"Dec 15, 2017",18.79,22.06,16.57,21.93,"88,688,300","795,999,000"
"Dec 14, 2017",16.58,19.40,16.33,18.82,"77,471,400","702,604,000"
"Dec 13, 2017",16.08,17.51,15.55,16.67,"70,634,800","681,361,000"
"Dec 12, 2017",15.86,16.32,14.47,16.02,"60,178,200","671,848,000"
"Dec 11, 2017",13.09,17.77,13.01,15.96,"74,061,600","554,629,000"
"Dec 10, 2017",13.99,13.99,12.54,13.16,"32,666,000","592,522,000"
"Dec 09, 2017",14.75,15.06,13.22,13.93,"42,711,000","624,829,000"
"Dec 08, 2017",14.62,15.21,13.08,14.74,"56,016,000","619,075,000"
"Dec 07, 2017",14.99,15.76,13.96,14.55,"49,508,000","634,733,000"
"Dec 06, 2017",16.39,16.52,14.67,15.23,"57,008,800","693,927,000"
"Dec 05, 2017",17.40,17.57,16.30,16.41,"82,850,000","736,571,000"
"Dec 04, 2017",18.11,18.38,16.32,17.36,"69,284,300","766,379,000"
"Dec 03, 2017",17.79,19.78,17.36,18.13,"67,774,800","753,016,000"
"Dec 02, 2017",16.94,17.63,16.37,17.63,"53,462,000","717,060,000"
"Dec 01, 2017",15.95,17.20,15.14,16.90,"56,774,800","675,011,000"
"Nov 30, 2017",16.55,17.50,14.14,16.01,"54,218,600","700,241,000"
"Nov 29, 2017",19.53,19.88,16.22,16.30,"59,061,900","826,277,000"
"Nov 28, 2017",19.88,20.45,19.21,19.55,"66,225,200","840,954,000"
"Nov 27, 2017",20.56,21.23,19.28,19.89,"63,766,200","869,870,000"
"Nov 26, 2017",19.08,21.00,18.78,20.58,"55,829,600","806,856,000"
"Nov 25, 2017",18.59,19.75,18.44,19.06,"39,914,200","786,400,000"
"Nov 24, 2017",15.97,19.85,15.92,18.64,"71,235,900","675,411,000"
"Nov 23, 2017",16.62,17.31,15.89,16.09,"47,993,300","702,920,000"
"Nov 22, 2017",17.64,17.79,15.59,16.75,"29,309,100","745,877,000"
"Nov 21, 2017",18.24,18.87,17.22,17.56,"29,483,600","771,028,000"
"Nov 20, 2017",19.21,19.76,17.92,18.28,"27,072,500","812,022,000"
"Nov 19, 2017",20.45,20.85,18.67,19.22,"27,871,700","864,528,000"
"Nov 18, 2017",21.20,22.78,19.49,20.78,"40,753,600","895,856,000"
