Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000176,0.000196,0.000174,0.000195,"44,508","7,175,040"
"Dec 15, 2017",0.000166,0.000181,0.000166,0.000176,"27,575","6,744,370"
"Dec 14, 2017",0.000164,0.000171,0.000162,0.000166,"1,756","6,658,110"
"Dec 13, 2017",0.000173,0.000175,0.000159,0.000164,"2,924","7,024,250"
"Dec 12, 2017",0.000168,0.000178,0.000164,0.000173,"8,201","6,845,620"
"Dec 11, 2017",0.000152,0.000175,0.000152,0.000168,"15,996","6,199,270"
"Dec 10, 2017",0.000301,0.000312,0.000134,0.000154,"12,196","12,228,200"
"Dec 09, 2017",0.000163,0.000303,0.000135,0.000300,"21,958","6,612,710"
"Dec 08, 2017",0.000174,0.000176,0.000141,0.000163,"11,392","7,056,530"
"Dec 07, 2017",0.000137,0.000289,0.000137,0.000173,"102,661","5,584,870"
"Dec 06, 2017",0.000234,0.000257,0.000118,0.000138,"8,934","9,514,840"
"Dec 05, 2017",0.000117,0.000238,0.000115,0.000235,"20,735","4,739,320"
"Dec 04, 2017",0.000112,0.000233,0.000109,0.000233,"25,121","4,570,790"
"Dec 03, 2017",0.000109,0.000237,0.000106,0.000112,"7,423","4,444,720"
"Dec 02, 2017",0.000109,0.000219,0.000107,0.000109,"13,315","4,425,470"
"Dec 01, 2017",0.000200,0.000217,0.000095,0.000109,"13,531","8,126,180"
"Nov 30, 2017",0.000098,0.000212,0.000090,0.000201,"2,367","3,996,250"
"Nov 29, 2017",0.000099,0.000225,0.000091,0.000097,"12,898","4,036,610"
"Nov 28, 2017",0.000098,0.000199,0.000097,0.000099,"2,985","3,966,440"
"Nov 27, 2017",0.000093,0.000195,0.000093,0.000195,"6,864","3,788,480"
"Nov 26, 2017",0.000175,0.000190,0.000088,0.000093,"34,087","7,112,310"
"Nov 25, 2017",0.000164,0.000247,0.000083,0.000175,"66,222","6,676,180"
"Nov 24, 2017",0.000241,0.000248,0.000159,0.000165,"31,780","9,803,350"
"Nov 23, 2017",0.000165,0.000248,0.000162,0.000241,"70,282","6,688,560"
"Nov 22, 2017",0.000243,0.000249,0.000162,0.000165,"10,426","9,894,500"
"Nov 21, 2017",0.000304,0.000339,0.000183,0.000243,"226,708","12,377,400"
"Nov 20, 2017",0.000370,0.000391,0.000251,0.000339,"375,796","15,040,400"
"Nov 19, 2017",0.000316,0.000372,0.000236,0.000370,"334,072","12,863,600"
"Nov 18, 2017",0.000184,0.000319,0.000159,0.000286,"190,786","7,482,810"
"Nov 17, 2017",0.000241,0.000245,0.000162,0.000185,"136,861","9,791,960"
"Nov 16, 2017",0.000225,0.000244,0.000154,0.000241,"93,771","9,156,610"
"Nov 15, 2017",0.000177,0.000230,0.000147,0.000224,"52,287","7,199,630"
"Nov 14, 2017",0.000167,0.000204,0.000130,0.000203,"37,307","6,779,320"
"Nov 13, 2017",0.000134,0.000200,0.000118,0.000166,"30,854","5,465,420"
"Nov 12, 2017",0.000133,0.000195,0.000117,0.000176,"22,405","5,408,860"
"Nov 11, 2017",0.000140,0.000202,0.000127,0.000133,"35,986","5,681,090"
"Nov 10, 2017",0.000145,0.000217,0.000131,0.000140,"18,325","5,879,360"
"Nov 09, 2017",0.000149,0.000199,0.000089,0.000144,"87,892","6,062,830"
"Nov 08, 2017",0.000143,0.000155,0.000076,0.000149,"33,479","5,798,370"
"Nov 07, 2017",0.000082,0.000205,0.000072,0.000143,"70,143","3,317,810"
"Nov 06, 2017",0.000146,0.000147,0.000075,0.000139,"22,361","5,939,660"
"Nov 05, 2017",0.000127,0.000149,0.000075,0.000146,"15,493","5,177,410"
"Nov 04, 2017",0.000117,0.000152,0.000081,0.000147,"7,847","4,752,460"
"Nov 03, 2017",0.000141,0.000145,0.000081,0.000117,"7,684","5,715,780"
"Nov 02, 2017",0.000135,0.000191,0.000072,0.000141,"49,731","5,471,420"
"Nov 01, 2017",0.000126,0.000196,0.000099,0.000134,"21,194","5,130,690"
"Oct 31, 2017",0.000123,0.000189,0.000096,0.000126,"22,695","4,996,770"
"Oct 30, 2017",0.000127,0.000161,0.000081,0.000123,"15,709","5,179,070"
"Oct 29, 2017",0.000118,0.000157,0.000088,0.000129,"26,125","4,800,370"
"Oct 28, 2017",0.000159,0.000181,0.000076,0.000132,"16,233","6,471,390"
"Oct 27, 2017",0.000176,0.000189,0.000098,0.000162,"34,366","7,143,080"
"Oct 26, 2017",0.000175,0.000203,0.000117,0.000176,"61,718","7,103,360"
"Oct 25, 2017",0.000138,0.000175,0.000109,0.000175,"25,612","5,598,170"
"Oct 24, 2017",0.000101,0.000170,0.000075,0.000137,"58,373","4,116,800"
"Oct 23, 2017",0.000122,0.000122,0.000067,0.000102,"7,944","4,960,280"
"Oct 22, 2017",0.000120,0.000122,0.000067,0.000122,"9,745","4,899,230"
"Oct 21, 2017",0.000137,0.000145,0.000073,0.000120,"29,878","5,564,050"
"Oct 20, 2017",0.000142,0.000177,0.000118,0.000137,"41,852","5,760,660"
"Oct 19, 2017",0.000140,0.000168,0.000113,0.000140,"26,501","5,693,360"
"Oct 18, 2017",0.000113,0.000160,0.000105,0.000140,"14,234","4,602,540"
"Oct 17, 2017",0.000151,0.000166,0.000113,0.000113,"22,108","6,155,800"
"Oct 16, 2017",0.000123,0.000339,0.000115,0.000151,"9,334","5,001,940"
"Oct 15, 2017",0.000123,0.000167,0.000112,0.000127,"26,616","4,992,030"
"Oct 14, 2017",0.000155,0.000173,0.000076,0.000123,"68,676","6,304,310"
"Oct 13, 2017",0.000163,0.000180,0.000112,0.000155,"32,462","6,624,040"
"Oct 12, 2017",0.000119,0.000166,0.000107,0.000162,"35,921","4,848,040"
"Oct 11, 2017",0.000145,0.000154,0.000097,0.000145,"51,260","5,891,400"
"Oct 10, 2017",0.000137,0.000149,0.000097,0.000145,"60,126","5,580,980"
"Oct 09, 2017",0.000126,0.000160,0.000094,0.000137,"10,927","5,107,570"
"Oct 08, 2017",0.000124,0.000157,0.000093,0.000125,"13,836","5,055,250"
"Oct 07, 2017",0.000133,0.000154,0.000098,0.000125,"17,091","5,397,650"
"Oct 06, 2017",0.000157,0.000173,0.000095,0.000133,"16,617","6,401,950"
"Oct 05, 2017",0.000159,0.000174,0.000096,0.000157,"18,283","6,466,320"
"Oct 04, 2017",0.000116,0.000173,0.000112,0.000159,"65,922","4,730,970"
"Oct 03, 2017",0.000160,0.000161,0.000088,0.000116,"111,661","6,504,760"
"Oct 02, 2017",0.000134,0.000160,0.000096,0.000160,"72,801","5,450,060"
"Oct 01, 2017",0.000130,0.000167,0.000093,0.000134,"24,805","5,303,330"
"Sep 30, 2017",0.000112,0.000150,0.000092,0.000130,"28,702","4,553,850"
"Sep 29, 2017",0.000106,0.000129,0.000085,0.000112,"13,371","4,299,460"
"Sep 28, 2017",0.000108,0.000129,0.000084,0.000106,"22,137","4,397,370"
"Sep 27, 2017",0.000117,0.000127,0.000081,0.000127,"10,120","4,774,700"
"Sep 26, 2017",0.000109,0.000120,0.000081,0.000118,"24,358","4,431,170"
"Sep 25, 2017",0.000098,0.000120,0.000076,0.000109,"20,395","3,969,000"
"Sep 24, 2017",0.000084,0.000117,0.000075,0.000096,"5,747","3,401,840"
"Sep 23, 2017",0.000101,0.000116,0.000073,0.000090,"5,874","4,126,320"
"Sep 22, 2017",0.000109,0.000112,0.000072,0.000102,"17,971","4,414,080"
"Sep 21, 2017",0.000104,0.000119,0.000073,0.000109,"9,857","4,240,200"
"Sep 20, 2017",0.000085,0.000127,0.000085,0.000105,"9,897","3,454,440"
"Sep 19, 2017",0.000104,0.000130,0.000083,0.000085,"17,953","4,221,520"
"Sep 18, 2017",0.000124,0.000129,0.000081,0.000104,"18,307","5,039,500"
"Sep 17, 2017",0.000114,0.000124,0.000078,0.000124,"12,583","4,645,290"
"Sep 16, 2017",0.000107,0.000119,0.000082,0.000114,"16,598","4,360,410"
"Sep 15, 2017",0.000087,0.000122,0.000070,0.000107,"26,567","3,555,650"
"Sep 14, 2017",0.000117,0.000119,0.000067,0.000087,"15,577","4,766,990"
"Sep 13, 2017",0.000084,0.000163,0.000084,0.000117,"26,580","3,416,580"
"Sep 12, 2017",0.000090,0.000169,0.000084,0.000084,"55,900","3,671,250"
"Sep 11, 2017",0.000129,0.000142,0.000088,0.000107,"11,991","5,230,360"
