Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.206998,0.232964,0.201310,0.229406,"168,646","4,235,320"
"Dec 15, 2017",0.220616,0.225912,0.195971,0.206707,"78,514","4,512,070"
"Dec 14, 2017",0.201746,0.224045,0.193516,0.220450,"47,418","4,124,520"
"Dec 13, 2017",0.196083,0.214856,0.186065,0.202396,"76,738","4,007,000"
"Dec 12, 2017",0.184530,0.202859,0.180204,0.195919,"27,019","3,769,630"
"Dec 11, 2017",0.176103,0.194785,0.174726,0.183939,"24,991","3,595,780"
"Dec 10, 2017",0.200751,0.200751,0.153456,0.177383,"82,584","4,097,290"
"Dec 09, 2017",0.213056,0.215112,0.179604,0.199941,"37,239","4,346,520"
"Dec 08, 2017",0.243670,0.256808,0.183065,0.213271,"135,745","4,968,960"
"Dec 07, 2017",0.163869,0.253428,0.153667,0.250716,"276,581","3,339,760"
"Dec 06, 2017",0.168374,0.220237,0.156017,0.166353,"166,974","3,429,530"
"Dec 05, 2017",0.172629,0.173507,0.161049,0.170038,"38,699","3,513,850"
"Dec 04, 2017",0.150865,0.172290,0.147246,0.172290,"50,177","3,069,070"
"Dec 03, 2017",0.158182,0.174187,0.148074,0.150030,"44,777","3,216,010"
"Dec 02, 2017",0.165333,0.167908,0.151491,0.158031,"20,912","3,359,150"
"Dec 01, 2017",0.136705,0.168586,0.131245,0.166128,"39,450","2,775,520"
"Nov 30, 2017",0.138978,0.154169,0.123554,0.137386,"46,710","2,819,920"
"Nov 29, 2017",0.164804,0.182336,0.129293,0.136875,"89,364","3,341,460"
"Nov 28, 2017",0.205058,0.219128,0.156324,0.164968,"332,885","4,154,500"
"Nov 27, 2017",0.139765,0.226975,0.135467,0.204431,"838,355","2,829,250"
"Nov 26, 2017",0.123148,0.140505,0.118545,0.136758,"46,502","2,490,960"
"Nov 25, 2017",0.112148,0.125521,0.112146,0.122401,"17,235","2,266,780"
