Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.002050,0.002426,0.001088,0.001333,"1,576",-
"Dec 15, 2017",0.002774,0.002779,0.000931,0.000955,"3,180",-
"Dec 14, 2017",0.002190,0.003007,0.002182,0.002776,"1,172",-
"Dec 13, 2017",0.001805,0.002746,0.001620,0.002191,913,-
"Dec 12, 2017",0.002571,0.003682,0.001646,0.001804,"1,347",-
"Dec 11, 2017",0.003722,0.003958,0.002453,0.002588,"2,231",-
"Dec 10, 2017",0.003799,0.004032,0.003103,0.003718,"2,052",-
"Dec 09, 2017",0.004926,0.004926,0.003581,0.003787,"1,823",-
"Dec 08, 2017",0.005704,0.005894,0.003501,0.004926,"1,411",-
"Dec 07, 2017",0.005717,0.005886,0.005223,0.005696,"2,933",-
"Dec 06, 2017",0.004093,0.005948,0.004093,0.005737,671,-
"Dec 05, 2017",0.003731,0.006121,0.003417,0.004100,"5,851",-
"Dec 04, 2017",0.003547,0.003773,0.003461,0.003729,"4,758",-
"Dec 03, 2017",0.005401,0.005981,0.003237,0.003540,"4,965",-
"Dec 02, 2017",0.003892,0.007241,0.003663,0.005399,"3,695",-
"Dec 01, 2017",0.004799,0.007946,0.003717,0.003892,"9,320",-
"Nov 30, 2017",0.007278,0.008730,0.004349,0.004811,"15,227",-
"Nov 29, 2017",0.011239,0.014939,0.005267,0.007186,"24,955",-
"Nov 28, 2017",0.012141,0.018794,0.009084,0.011230,"54,427",-
"Nov 27, 2017",0.002428,0.013130,0.002417,0.012158,"42,006",-
