Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.005461,0.005888,0.005461,0.005842,2,"24,717"
"Dec 15, 2017",0.005308,0.005784,0.005307,0.005676,16,"24,026"
"Dec 14, 2017",0.005327,0.005331,0.005267,0.005300,15,"24,113"
"Dec 13, 2017",0.002937,0.002976,0.002709,0.002773,8,"13,294"
"Dec 12, 2017",0.005059,0.005328,0.002929,0.002934,10,"22,900"
"Dec 11, 2017",0.004727,0.005245,0.004706,0.005155,49,"21,394"
"Dec 10, 2017",0.004511,0.004890,0.003707,0.004761,52,"20,419"
"Dec 09, 2017",0.006831,0.006932,0.004334,0.004493,349,"30,919"
"Dec 08, 2017",0.006248,0.006419,0.002583,0.004721,396,"28,280"
"Dec 07, 2017",0.006868,0.007097,0.005075,0.006233,50,"31,087"
"Dec 06, 2017",0.002808,0.006997,0.002808,0.006880,216,"12,711"
"Dec 05, 2017",0.002914,0.002979,0.002814,0.002814,1,"13,190"
"Dec 04, 2017",0.002698,0.002908,0.002613,0.002908,3,"12,212"
"Dec 03, 2017",0.002624,0.002841,0.001868,0.002689,14,"11,875"
"Dec 02, 2017",0.001306,0.002651,0.001287,0.002621,32,"5,912"
"Dec 01, 2017",0.001999,0.002111,0.001256,0.001307,29,"9,046"
"Nov 30, 2017",0.003243,0.003529,0.001833,0.002009,26,"14,681"
"Nov 29, 2017",0.001986,0.003308,0.001910,0.003194,50,"8,987"
"Nov 28, 2017",0.004487,0.004578,0.000992,0.001988,347,"20,312"
"Nov 27, 2017",0.004566,0.004767,0.004420,0.004476,3,"20,666"
"Nov 26, 2017",0.004723,0.004723,0.004402,0.004565,13,"21,378"
"Nov 25, 2017",0.004433,0.004725,0.004408,0.004725,105,"20,067"
"Nov 24, 2017",0.004420,0.004450,0.004336,0.004442,98,"20,008"
"Nov 23, 2017",0.004537,0.004542,0.004426,0.004426,25,"20,536"
"Nov 21, 2017",0.004945,0.005007,0.004678,0.004997,831,"22,382"
"Nov 20, 2017",0.004826,0.004971,0.004768,0.004944,822,"21,844"
"Nov 19, 2017",0.004644,0.004867,0.004640,0.004828,3,"21,020"
"Nov 18, 2017",0.004151,0.004214,0.004024,0.004164,4,"18,788"
"Nov 17, 2017",0.004707,0.004818,0.004111,0.004167,44,"21,305"
"Nov 16, 2017",0.005039,0.005039,0.004352,0.004715,32,"22,809"
"Nov 15, 2017",0.002975,0.005053,0.002975,0.005013,237,"13,467"
"Nov 14, 2017",0.003853,0.003965,0.002892,0.002973,31,"17,441"
"Nov 13, 2017",0.004051,0.004574,0.003808,0.003845,10,"18,336"
"Nov 12, 2017",0.004580,0.004580,0.003907,0.004045,2,"20,731"
"Nov 11, 2017",0.004471,0.004869,0.004465,0.004583,7,"20,237"
"Nov 10, 2017",0.005061,0.005601,0.004387,0.004487,38,"22,910"
"Nov 09, 2017",0.005302,0.005302,0.005006,0.005047,14,"23,998"
"Nov 08, 2017",0.005764,0.006117,0.005081,0.005307,4,"26,090"
"Nov 07, 2017",0.004702,0.005783,0.004693,0.005782,12,"21,283"
"Nov 06, 2017",0.003697,0.003712,0.003472,0.003495,15,"16,732"
"Nov 05, 2017",0.005681,0.005708,0.003688,0.003688,23,"25,716"
"Nov 02, 2017",0.004979,0.005110,0.004979,0.005072,2,"22,537"
"Nov 01, 2017",0.004704,0.004983,0.004667,0.004974,37,"21,292"
"Oct 31, 2017",0.004122,0.004708,0.004104,0.004708,22,"18,657"
"Oct 30, 2017",0.004495,0.004495,0.004479,0.004494,1,"20,344"
"Oct 29, 2017",0.004177,0.004615,0.004170,0.004521,1,"18,908"
"Oct 28, 2017",0.002939,0.002994,0.002924,0.002956,6,"13,304"
"Oct 27, 2017",0.002999,0.003020,0.002907,0.002931,6,"13,574"
"Oct 24, 2017",0.002933,0.002933,0.002783,0.002845,3,"13,275"
"Oct 23, 2017",0.002942,0.002997,0.002832,0.002939,3,"13,315"
"Oct 22, 2017",0.003849,0.003883,0.003849,0.003860,23,"17,421"
"Oct 21, 2017",0.003896,0.003963,0.003777,0.003848,23,"17,636"
"Oct 19, 2017",0.003464,0.003560,0.003432,0.003540,1,"15,680"
"Oct 18, 2017",0.004236,0.005050,0.003462,0.003462,666,"19,175"
"Oct 17, 2017",0.003410,0.003419,0.003266,0.003307,17,"15,433"
"Oct 16, 2017",0.003372,0.003427,0.003335,0.003409,17,"15,261"
"Oct 13, 2017",0.003047,0.003291,0.003027,0.003255,8,"13,791"
"Oct 12, 2017",0.002912,0.003037,0.002912,0.003037,8,"13,183"
"Oct 11, 2017",0.003715,0.003791,0.003685,0.003778,0,"16,815"
"Oct 10, 2017",0.003750,0.003844,0.003688,0.003716,1,"16,976"
"Oct 08, 2017",0.002222,0.002306,0.002214,0.002294,0,"10,057"
"Oct 07, 2017",0.001740,0.003931,0.001740,0.002228,22,"7,877"
"Oct 06, 2017",0.003978,0.004071,0.003970,0.004035,33,"18,005"
"Oct 05, 2017",0.004010,0.004158,0.003943,0.003978,38,"18,152"
"Oct 04, 2017",0.003999,0.004023,0.003986,0.004007,2,"18,102"
"Oct 03, 2017",0.004051,0.004068,0.004034,0.004063,3,"18,334"
"Oct 02, 2017",0.004043,0.004108,0.004019,0.004050,3,"18,298"
"Oct 01, 2017",0.004084,0.004103,0.003966,0.004044,26,"18,486"
"Sep 30, 2017",0.003504,0.004082,0.003501,0.004082,37,"15,862"
"Sep 29, 2017",0.003218,0.003559,0.003217,0.003504,65,"14,567"
"Sep 27, 2017",0.002994,0.003051,0.002994,0.003051,2,"13,553"
"Sep 26, 2017",0.002950,0.003065,0.002936,0.003003,9,"13,353"
"Sep 25, 2017",0.002093,0.002977,0.002092,0.002950,90,"9,475"
"Sep 24, 2017",0.002046,0.002110,0.001965,0.002095,1,"9,260"
"Sep 23, 2017",0.002597,0.002747,0.002012,0.002046,1,"11,756"
"Sep 22, 2017",0.002245,0.002624,0.002192,0.002605,1,"10,161"
"Sep 21, 2017",0.002230,0.002251,0.002230,0.002248,25,"10,096"
"Sep 20, 2017",0.002779,0.002823,0.002730,0.002785,14,"12,577"
"Sep 19, 2017",0.003118,0.003135,0.002757,0.002782,14,"14,115"
"Sep 18, 2017",0.003141,0.003392,0.001411,0.003111,34,"14,217"
"Sep 17, 2017",0.003714,0.003799,0.000488,0.003147,307,"16,813"
"Sep 16, 2017",0.002411,0.005084,0.002408,0.003717,16,"10,913"
"Sep 15, 2017",0.004413,0.004718,0.002383,0.002417,29,"19,973"
"Sep 14, 2017",0.005505,0.005579,0.004379,0.004379,5,"24,920"
"Sep 13, 2017",0.005647,0.005668,0.005140,0.005506,50,"25,562"
"Sep 12, 2017",0.004635,0.006324,0.004390,0.005669,"1,463","20,980"
"Sep 11, 2017",0.004675,0.004814,0.004550,0.004631,22,"21,162"
"Sep 10, 2017",0.004764,0.004764,0.004453,0.004683,55,"21,565"
"Sep 09, 2017",0.005803,0.005951,0.004626,0.004777,18,"26,265"
"Sep 08, 2017",0.006348,0.006352,0.006293,0.006333,4,"28,735"
"Sep 07, 2017",0.006324,0.006417,0.006165,0.006347,56,"28,622"
"Sep 06, 2017",0.005702,0.006606,0.005702,0.006336,7,"25,808"
"Sep 05, 2017",0.004608,0.005803,0.004341,0.005695,8,"20,855"
"Sep 04, 2017",0.004989,0.006016,0.004443,0.004584,11,"22,580"
"Sep 03, 2017",0.005026,0.006570,0.004889,0.004987,27,"22,750"
"Sep 02, 2017",0.007140,0.007153,0.004909,0.005023,167,"32,316"
"Sep 01, 2017",0.006870,0.007134,0.006083,0.007131,123,"31,097"
"Aug 31, 2017",0.005816,0.006907,0.005815,0.006869,35,"26,325"
"Aug 30, 2017",0.006661,0.006744,0.005779,0.005826,8,"30,152"
"Aug 29, 2017",0.005574,0.006733,0.005530,0.006670,409,"25,229"
"Aug 28, 2017",0.004591,0.005749,0.004569,0.005564,96,"20,778"
"Aug 27, 2017",0.005171,0.005238,0.005141,0.005182,1,"23,404"
"Aug 26, 2017",0.005152,0.005182,0.005045,0.005172,7,"23,321"
"Aug 25, 2017",0.004675,0.005204,0.004656,0.005142,78,"21,161"
"Aug 24, 2017",0.004474,0.004717,0.004438,0.004682,1,"20,253"
"Aug 23, 2017",0.004372,0.004583,0.004357,0.004472,375,"19,790"
"Aug 22, 2017",0.004281,0.004434,0.003876,0.004381,28,"19,377"
"Aug 21, 2017",0.004057,0.004363,0.003969,0.004271,183,"18,363"
"Aug 20, 2017",0.003980,0.004153,0.003888,0.004072,354,"18,013"
"Aug 19, 2017",0.003780,0.004202,0.003649,0.003998,130,"17,109"
"Aug 18, 2017",0.003937,0.004006,0.003725,0.003783,2,"17,822"
"Aug 17, 2017",0.003467,0.004008,0.003351,0.003949,10,"15,694"
"Aug 16, 2017",0.003988,0.004030,0.003202,0.003470,30,"18,049"
"Aug 15, 2017",0.003909,0.004029,0.003844,0.003983,1,"17,692"
"Aug 14, 2017",0.003940,0.004189,0.003861,0.004159,4,"17,834"
"Aug 13, 2017",0.003920,0.003999,0.003841,0.003938,5,"17,742"
"Aug 12, 2017",0.003504,0.003657,0.003468,0.003621,44,"15,862"
"Aug 11, 2017",0.003314,0.003554,0.003299,0.003507,93,"14,999"
"Aug 10, 2017",0.003209,0.003340,0.003186,0.003314,0,"14,526"
"Aug 09, 2017",0.003350,0.003358,0.002749,0.003209,25,"15,165"
"Aug 08, 2017",0.003222,0.003387,0.003195,0.003353,3,"14,584"
"Aug 07, 2017",0.003195,0.003335,0.003165,0.003219,17,"14,462"
"Aug 06, 2017",0.003223,0.003260,0.003126,0.003145,1,"14,586"
"Aug 05, 2017",0.002826,0.003289,0.002824,0.003222,1,"12,792"
"Aug 04, 2017",0.002815,0.002959,0.002796,0.002827,56,"12,741"
"Aug 03, 2017",0.002677,0.002829,0.002675,0.002816,6,"12,117"
"Aug 02, 2017",0.002675,0.002756,0.002631,0.002672,15,"12,107"
"Aug 01, 2017",0.002233,0.002723,0.002055,0.002675,6,"10,106"
"Jul 31, 2017",0.002138,0.002415,0.002108,0.002232,16,"9,676"
"Jul 30, 2017",0.002446,0.002451,0.002045,0.002135,69,"11,071"
"Jul 29, 2017",0.004005,0.004033,0.002410,0.002446,7,"18,129"
"Jul 28, 2017",0.003992,0.004087,0.002926,0.004020,56,"18,067"
"Jul 27, 2017",0.002575,0.003994,0.002124,0.003979,"1,105","11,657"
"Jul 26, 2017",0.002560,0.002606,0.001978,0.002568,49,"11,589"
"Jul 25, 2017",0.002289,0.002772,0.002282,0.002559,1,"10,362"
"Jul 24, 2017",0.002888,0.002914,0.002223,0.002289,15,"13,072"
"Jul 23, 2017",0.002321,0.003011,0.002247,0.002891,47,"10,506"
