Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.002471,0.004122,0.002456,0.004090,152,"50,018"
"Dec 15, 2017",0.002322,0.003937,0.002322,0.002820,126,"47,016"
"Dec 14, 2017",0.002328,0.002332,0.002304,0.002319,17,"47,125"
"Dec 13, 2017",0.002591,0.002626,0.002390,0.002484,31,"52,464"
"Dec 12, 2017",0.002694,0.002841,0.002588,0.002589,32,"54,539"
"Dec 11, 2017",0.003354,0.003722,0.002685,0.002685,5,"67,910"
"Dec 10, 2017",0.002256,0.003443,0.001986,0.003379,129,"45,666"
"Dec 09, 2017",0.003253,0.003301,0.002032,0.002247,229,"65,854"
"Dec 08, 2017",0.003124,0.003256,0.002394,0.003256,29,"63,246"
"Dec 07, 2017",0.002610,0.003117,0.002610,0.003117,944,"52,837"
"Dec 06, 2017",0.002223,0.002618,0.002223,0.002614,9,"45,009"
"Dec 05, 2017",0.002215,0.002369,0.002184,0.002228,95,"44,838"
"Dec 04, 2017",0.002150,0.002291,0.002119,0.002210,209,"43,529"
"Dec 03, 2017",0.002077,0.002127,0.002063,0.002121,29,"42,050"
"Dec 02, 2017",0.002177,0.002216,0.002043,0.002075,28,"44,072"
"Dec 01, 2017",0.001999,0.002191,0.001989,0.002179,28,"40,473"
"Nov 29, 2017",0.001886,0.002173,0.001728,0.001867,4,"38,189"
"Nov 28, 2017",0.001854,0.001896,0.001840,0.001888,5,"37,526"
"Nov 27, 2017",0.001834,0.001852,0.001789,0.001849,9,"37,120"
"Nov 26, 2017",0.001837,0.001897,0.001835,0.001879,6,"37,185"
"Nov 25, 2017",0.001642,0.001837,0.001551,0.001837,625,"33,243"
"Nov 24, 2017",0.001527,0.001658,0.001510,0.001645,32,"30,916"
"Nov 23, 2017",0.001645,0.001653,0.001529,0.001529,1,"33,305"
"Nov 22, 2017",0.001554,0.001646,0.001550,0.001646,157,"31,457"
"Nov 20, 2017",0.001528,0.001570,0.001510,0.001561,2,"30,940"
"Nov 19, 2017",0.001471,0.001541,0.001469,0.001529,26,"29,772"
"Nov 17, 2017",0.001255,0.001285,0.001211,0.001264,22,"25,411"
"Nov 16, 2017",0.001168,0.001280,0.001142,0.001257,22,"23,657"
"Nov 15, 2017",0.001107,0.001172,0.001102,0.001162,240,"22,412"
"Nov 14, 2017",0.001045,0.001075,0.001028,0.001048,10,"21,155"
"Nov 13, 2017",0.000939,0.001076,0.000932,0.001043,13,"19,017"
"Nov 12, 2017",0.001209,0.001218,0.000906,0.000938,1,"24,469"
"Nov 11, 2017",0.001249,0.001294,0.000997,0.001210,2,"25,291"
"Nov 10, 2017",0.001212,0.001389,0.001080,0.001254,8,"24,536"
"Nov 09, 2017",0.001419,0.001419,0.001199,0.001208,26,"28,725"
"Nov 08, 2017",0.001404,0.001490,0.001361,0.001420,3,"28,425"
"Nov 07, 2017",0.001183,0.001224,0.001183,0.001214,46,"23,951"
"Nov 06, 2017",0.001257,0.001262,0.001181,0.001185,45,"25,446"
"Nov 05, 2017",0.001284,0.001285,0.001240,0.001254,106,"25,990"
"Nov 04, 2017",0.001218,0.001262,0.001190,0.001247,1,"24,667"
"Nov 03, 2017",0.001264,0.001344,0.001209,0.001222,1,"25,594"
"Nov 02, 2017",0.001211,0.001316,0.001211,0.001266,127,"24,520"
"Nov 01, 2017",0.001200,0.001212,0.001195,0.001210,1,"24,297"
"Oct 30, 2017",0.001231,0.001243,0.001207,0.001222,13,"24,930"
"Oct 29, 2017",0.001088,0.001264,0.001085,0.001239,27,"22,032"
"Oct 28, 2017",0.000980,0.000998,0.000964,0.000976,7,"19,836"
"Oct 27, 2017",0.001001,0.001019,0.000976,0.000977,7,"20,261"
"Oct 26, 2017",0.001032,0.001042,0.000968,0.001001,166,"20,897"
"Oct 25, 2017",0.001020,0.001034,0.001017,0.001032,31,"20,644"
"Oct 24, 2017",0.000997,0.000997,0.000946,0.000973,6,"20,188"
"Oct 23, 2017",0.001016,0.001031,0.000963,0.000999,52,"20,579"
"Oct 22, 2017",0.001022,0.001149,0.000977,0.001018,62,"20,698"
"Oct 21, 2017",0.001021,0.001164,0.001003,0.001022,258,"20,668"
"Oct 20, 2017",0.000959,0.001039,0.000958,0.001023,98,"19,418"
"Oct 19, 2017",0.000950,0.000976,0.000941,0.000969,7,"19,230"
"Oct 18, 2017",0.000952,0.000954,0.000873,0.000949,46,"19,276"
"Oct 17, 2017",0.000950,0.000961,0.000946,0.000952,19,"19,236"
"Oct 16, 2017",0.000968,0.000979,0.000946,0.000969,1,"19,590"
"Oct 15, 2017",0.001006,0.001006,0.000931,0.000967,12,"20,360"
"Oct 11, 2017",0.000810,0.000821,0.000803,0.000812,129,"16,392"
"Oct 10, 2017",0.001005,0.001021,0.000804,0.000810,130,"20,349"
"Oct 09, 2017",0.000829,0.001023,0.000820,0.001005,7,"16,773"
"Oct 08, 2017",0.000978,0.000982,0.000823,0.000828,60,"19,792"
"Oct 07, 2017",0.000787,0.000983,0.000786,0.000980,1,"15,939"
"Oct 06, 2017",0.000778,0.000793,0.000777,0.000787,9,"15,756"
"Oct 05, 2017",0.000750,0.000786,0.000747,0.000778,4,"15,193"
"Oct 04, 2017",0.000778,0.000782,0.000764,0.000765,22,"15,742"
"Oct 03, 2017",0.000837,0.000841,0.000765,0.000776,55,"16,936"
"Oct 02, 2017",0.000791,0.000848,0.000790,0.000837,1,"16,013"
"Oct 01, 2017",0.000782,0.000791,0.000768,0.000791,1,"15,833"
"Sep 30, 2017",0.000918,0.000947,0.000779,0.000782,2,"18,582"
"Sep 29, 2017",0.000881,0.000932,0.000769,0.000918,12,"17,829"
"Sep 28, 2017",0.000799,0.000884,0.000793,0.000881,2,"16,185"
"Sep 27, 2017",0.000661,0.000803,0.000661,0.000799,3,"13,384"
"Sep 26, 2017",0.000787,0.000790,0.000662,0.000663,3,"15,927"
"Sep 25, 2017",0.000716,0.000794,0.000715,0.000787,26,"14,499"
"Sep 24, 2017",0.000682,0.000682,0.000655,0.000661,3,"13,806"
"Sep 23, 2017",0.000794,0.000946,0.000673,0.000682,21,"16,067"
"Sep 22, 2017",0.000797,0.000812,0.000743,0.000796,40,"16,127"
"Sep 21, 2017",0.000845,0.000859,0.000789,0.000798,1,"17,099"
"Sep 19, 2017",0.000985,0.000990,0.000928,0.000942,1,"19,937"
"Sep 18, 2017",0.000702,0.000991,0.000641,0.000982,29,"14,214"
"Sep 17, 2017",0.001040,0.001040,0.000606,0.000703,88,"21,056"
"Sep 16, 2017",0.000668,0.001202,0.000640,0.001041,"2,661","13,517"
"Sep 15, 2017",0.000500,0.000680,0.000478,0.000669,71,"10,125"
"Sep 14, 2017",0.000698,0.000707,0.000665,0.000665,1,"14,129"
"Sep 13, 2017",0.000664,0.000713,0.000618,0.000698,2,"13,451"
"Sep 12, 2017",0.000716,0.000788,0.000656,0.000667,10,"14,502"
"Sep 11, 2017",0.000680,0.000719,0.000662,0.000716,16,"13,768"
"Sep 10, 2017",0.000736,0.000736,0.000655,0.000681,72,"14,907"
"Sep 09, 2017",0.000736,0.000749,0.000715,0.000738,7,"14,899"
"Sep 08, 2017",0.000788,0.000788,0.000705,0.000734,0,"15,948"
"Sep 07, 2017",0.000739,0.000796,0.000723,0.000788,10,"14,952"
"Sep 06, 2017",0.000726,0.000746,0.000725,0.000740,19,"14,701"
"Sep 04, 2017",0.000831,0.000832,0.000818,0.000819,0,"16,833"
"Sep 03, 2017",0.000738,0.000851,0.000738,0.000831,0,"14,937"
"Sep 02, 2017",0.000837,0.000847,0.000719,0.000737,6,"16,947"
"Sep 01, 2017",0.000800,0.000836,0.000799,0.000836,2,"16,197"
"Aug 31, 2017",0.000779,0.000810,0.000778,0.000805,1,"15,761"
"Aug 30, 2017",0.000965,0.000977,0.000778,0.000780,2,"19,532"
"Aug 29, 2017",0.000922,0.000975,0.000823,0.000966,466,"18,659"
"Aug 28, 2017",0.000825,0.000923,0.000765,0.000920,60,"16,707"
"Aug 27, 2017",0.000869,0.000880,0.000825,0.000826,48,"17,590"
"Aug 26, 2017",0.000830,0.000871,0.000811,0.000869,1,"16,796"
"Aug 25, 2017",0.000866,0.000877,0.000817,0.000828,1,"17,528"
"Aug 24, 2017",0.000787,0.000873,0.000786,0.000867,0,"15,937"
"Aug 23, 2017",0.000743,0.000837,0.000741,0.000787,13,"15,039"
"Aug 22, 2017",0.000680,0.000680,0.000651,0.000658,15,"13,770"
"Aug 21, 2017",0.000609,0.000693,0.000607,0.000679,15,"12,320"
"Aug 20, 2017",0.000746,0.000746,0.000611,0.000611,3,"15,106"
"Aug 19, 2017",0.000863,0.000879,0.000718,0.000750,16,"17,468"
"Aug 18, 2017",0.000899,0.000906,0.000747,0.000864,5,"18,196"
"Aug 17, 2017",0.000922,0.000941,0.000881,0.000902,0,"18,659"
"Aug 16, 2017",0.000872,0.000923,0.000565,0.000923,436,"17,660"
"Aug 15, 2017",0.000822,0.000881,0.000734,0.000871,9,"16,645"
"Aug 14, 2017",0.000853,0.000862,0.000784,0.000820,1,"17,270"
"Aug 13, 2017",0.000823,0.000866,0.000823,0.000852,2,"16,654"
"Aug 12, 2017",0.000694,0.000706,0.000686,0.000706,8,"14,042"
"Aug 11, 2017",0.000683,0.000703,0.000649,0.000694,8,"13,832"
"Aug 10, 2017",0.000635,0.000689,0.000631,0.000683,1,"12,859"
"Aug 09, 2017",0.000650,0.000651,0.000617,0.000635,8,"13,151"
"Aug 08, 2017",0.000660,0.000662,0.000636,0.000650,1,"13,370"
"Aug 07, 2017",0.000644,0.000655,0.000638,0.000654,0,"13,039"
"Aug 06, 2017",0.000638,0.000656,0.000634,0.000645,0,"12,919"
"Aug 05, 2017",0.000571,0.000664,0.000570,0.000647,0,"11,559"
"Aug 04, 2017",0.000446,0.000603,0.000444,0.000571,12,"9,028"
"Aug 03, 2017",0.000460,0.000463,0.000435,0.000446,0,"9,306"
"Aug 02, 2017",0.000573,0.000578,0.000407,0.000459,20,"11,604"
"Aug 01, 2017",0.000658,0.000669,0.000568,0.000573,1,"13,328"
"Jul 31, 2017",0.000640,0.000661,0.000638,0.000658,1,"12,960"
"Jul 30, 2017",0.000707,0.000708,0.000676,0.000683,1,"14,306"
"Jul 29, 2017",0.000751,0.000753,0.000694,0.000707,1,"15,204"
"Jul 28, 2017",0.000772,0.000790,0.000532,0.000754,19,"15,623"
"Jul 27, 2017",0.000858,0.000876,0.000329,0.000769,405,"17,380"
"Jul 26, 2017",0.000640,0.000859,0.000611,0.000856,38,"12,959"
"Jul 25, 2017",0.000717,0.000722,0.000613,0.000640,1,"14,518"
"Jul 24, 2017",0.000720,0.000720,0.000709,0.000717,0,"14,570"
"Jul 23, 2017",0.000764,0.000771,0.000718,0.000748,1,"15,472"
"Jul 22, 2017",0.000693,0.000766,0.000690,0.000764,2,"14,040"
"Jul 21, 2017",0.000736,0.000739,0.000665,0.000694,2,"14,907"
"Jul 20, 2017",0.000789,0.000798,0.000630,0.000731,16,"15,980"
"Jul 19, 2017",0.000645,0.000792,0.000630,0.000792,0,"13,053"
"Jul 18, 2017",0.000845,0.000892,0.000636,0.000644,0,"17,101"
"Jul 17, 2017",0.000711,0.000844,0.000482,0.000843,23,"14,404"
"Jul 16, 2017",0.000457,0.000877,0.000414,0.000712,74,"9,244"
"Jul 15, 2017",0.000998,0.000998,0.000458,0.000458,31,"20,213"
"Jul 14, 2017",0.000515,0.001081,0.000508,0.001000,764,"10,427"
