Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.577607,0.605754,0.511332,0.558309,"184,778,000","102,959,000"
"Dec 15, 2017",0.442640,0.602991,0.405932,0.564729,"62,437,100","78,900,600"
"Dec 14, 2017",0.328850,0.441164,0.300965,0.437389,"119,929,000","58,617,600"
"Dec 13, 2017",0.327182,0.368528,0.305238,0.329726,"81,897,300","58,320,200"
"Dec 12, 2017",0.321960,0.340863,0.282542,0.333028,"93,205,400","57,389,400"
"Dec 11, 2017",0.295581,0.359384,0.288361,0.327913,"26,926,500","52,687,400"
"Dec 10, 2017",0.334726,0.352964,0.282878,0.296633,"26,267,000","59,664,900"
"Dec 09, 2017",0.278290,0.375335,0.263658,0.334274,"45,817,000","49,605,200"
"Dec 08, 2017",0.256064,0.282258,0.239953,0.278149,"27,321,200","45,643,500"
"Dec 07, 2017",0.242941,0.321647,0.231592,0.256342,"35,807,700","43,304,300"
"Dec 06, 2017",0.216421,0.276717,0.201977,0.241660,"47,847,700","38,577,100"
"Dec 05, 2017",0.230762,0.235621,0.209483,0.219129,"32,093,700","41,133,300"
"Dec 04, 2017",0.209487,0.249476,0.189966,0.230416,"57,825,100","37,341,100"
"Dec 03, 2017",0.218597,0.225700,0.199605,0.207972,"18,789,900","38,964,800"
"Dec 02, 2017",0.182003,0.239467,0.170435,0.218688,"54,613,800","32,442,000"
"Dec 01, 2017",0.179277,0.186831,0.168593,0.182748,"6,466,260","31,956,200"
"Nov 30, 2017",0.166634,0.183847,0.147040,0.179794,"4,357,860",-
"Nov 29, 2017",0.172097,0.189599,0.155236,0.164727,"4,432,340",-
"Nov 28, 2017",0.153949,0.186951,0.143542,0.172942,"9,248,500",-
"Nov 27, 2017",0.170997,0.173576,0.141125,0.154917,"6,932,630",-
"Nov 26, 2017",0.166980,0.174308,0.154415,0.157464,"6,168,330",-
"Nov 25, 2017",0.176934,0.179417,0.166112,0.168118,"9,699,870",-
"Nov 24, 2017",0.156193,0.177562,0.149661,0.176885,"5,905,680",-
"Nov 23, 2017",0.182303,0.197145,0.146235,0.156415,"1,469,920",-
"Nov 22, 2017",0.358193,0.362165,0.130053,0.182323,"1,680,250",-
"Nov 21, 2017",0.280539,0.378274,0.268189,0.358592,"16,638",-
"Nov 20, 2017",0.280377,0.282019,0.279630,0.280487,"14,267",-
