Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.273842,0.286306,0.272694,0.277443,10,"2,683,080"
"Dec 15, 2017",0.277682,0.278159,0.246175,0.273329,10,"2,720,700"
"Dec 14, 2017",0.280451,0.300658,0.264085,0.277422,10,"2,747,830"
"Dec 13, 2017",0.237859,0.282827,0.214428,0.280597,"1,595","2,330,510"
"Dec 12, 2017",0.205696,0.239391,0.188763,0.237696,36,"2,015,380"
"Dec 11, 2017",0.175166,0.207023,0.174962,0.207023,559,"1,716,260"
"Dec 10, 2017",0.171390,0.186634,0.171390,0.174969,472,"1,679,270"
"Dec 08, 2017",0.173244,0.185892,0.168975,0.180557,10,"1,697,430"
"Dec 07, 2017",0.173615,0.178768,0.167486,0.172993,10,"1,701,060"
"Dec 06, 2017",0.186456,0.187156,0.170704,0.174220,10,"1,826,870"
"Dec 05, 2017",0.186555,0.189799,0.180584,0.186784,47,"1,827,850"
"Dec 04, 2017",0.162067,0.186459,0.156692,0.186459,"1,156","1,587,920"
"Dec 03, 2017",0.160214,0.168322,0.156586,0.161769,5,"1,569,760"
"Dec 02, 2017",0.295579,0.301422,0.157687,0.160160,84,"2,896,050"
"Dec 01, 2017",0.239957,0.295587,0.144873,0.295587,"1,183","2,351,070"
"Nov 30, 2017",0.145537,0.252724,0.145134,0.240553,34,"1,425,950"
"Nov 29, 2017",0.260168,0.268100,0.143362,0.143696,"3,556","2,549,100"
"Nov 28, 2017",0.263644,0.265320,0.156469,0.259960,501,"2,583,150"
"Nov 27, 2017",0.263511,0.274272,0.259158,0.264005,"1,287","2,581,860"
"Nov 26, 2017",0.231585,0.264779,0.149123,0.263577,"1,493","2,269,040"
"Nov 25, 2017",0.234994,0.236815,0.144015,0.231577,42,"2,302,450"
"Nov 24, 2017",0.203831,0.238724,0.199347,0.235033,445,"1,997,120"
"Nov 23, 2017",0.209237,0.212215,0.116821,0.204856,179,"2,050,080"
"Nov 22, 2017",0.147913,0.209608,0.124893,0.208757,121,"1,449,240"
"Nov 21, 2017",0.150714,0.152826,0.144064,0.147724,49,"1,476,680"
"Nov 20, 2017",0.198567,0.208580,0.150952,0.150952,745,"1,945,540"
"Nov 19, 2017",0.108209,0.206066,0.107388,0.198781,82,"1,060,220"
"Nov 18, 2017",0.182342,0.199605,0.104514,0.108489,199,"1,786,570"
"Nov 17, 2017",0.198069,0.198676,0.181101,0.182617,942,"1,940,660"
"Nov 16, 2017",0.196966,0.200267,0.191617,0.198206,482,"1,929,850"
"Nov 15, 2017",0.140701,0.204218,0.138818,0.197120,89,"1,378,580"
"Nov 14, 2017",0.196424,0.200249,0.138890,0.140625,"5,996","1,924,550"
"Nov 13, 2017",0.061159,0.126410,0.061159,0.125806,13,-
"Nov 12, 2017",0.176185,0.192021,0.060997,0.061062,12,-
"Nov 11, 2017",0.163556,0.192357,0.116653,0.176165,185,-
"Nov 10, 2017",0.172488,0.252875,0.116980,0.164026,"4,249",-
"Nov 09, 2017",0.113277,0.176334,0.112826,0.172407,45,-
"Nov 08, 2017",0.119827,0.178536,0.109187,0.113892,159,-
"Nov 07, 2017",0.109019,0.209260,0.104156,0.119912,"2,400",-
"Nov 06, 2017",0.160030,0.164136,0.105290,0.108856,46,-
"Nov 05, 2017",0.146999,0.160368,0.112576,0.159880,437,-
"Nov 04, 2017",0.121911,0.164381,0.096610,0.146808,745,-
"Nov 03, 2017",0.113857,0.123085,0.100023,0.121891,23,-
"Nov 02, 2017",0.115823,0.203278,0.094904,0.113301,41,-
"Nov 01, 2017",0.225040,0.225744,0.088867,0.115503,669,-
"Oct 31, 2017",0.190228,0.230143,0.154568,0.225455,"1,205",-
"Oct 30, 2017",0.229282,0.233169,0.113825,0.190123,"1,178",-
"Oct 29, 2017",0.206433,0.355065,0.156525,0.229744,"2,611",-
"Oct 28, 2017",0.296869,0.442965,0.206396,0.206520,"3,166",-
"Oct 27, 2017",0.191646,1.15,0.191554,0.296602,"18,689",-
