Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.002013,0.003316,0.001839,0.003045,"1,576","16,091"
"Dec 15, 2017",0.002041,0.002044,0.001809,0.002010,4,"16,311"
"Dec 14, 2017",0.003661,0.003925,0.002009,0.002039,233,"29,261"
"Dec 13, 2017",0.003957,0.004168,0.001933,0.003663,435,"31,625"
"Dec 12, 2017",0.002601,0.003983,0.002534,0.003954,187,"20,787"
"Dec 11, 2017",0.002233,0.002618,0.002230,0.002618,7,"17,846"
"Dec 10, 2017",0.002411,0.002411,0.002191,0.002230,21,"19,267"
"Dec 09, 2017",0.002298,0.002586,0.002298,0.002403,18,"18,362"
"Dec 08, 2017",0.004225,0.004228,0.002105,0.002298,30,"33,770"
"Dec 07, 2017",0.006101,0.006110,0.004085,0.004219,68,"48,760"
"Dec 06, 2017",0.002277,0.006232,0.002233,0.006122,342,"18,202"
"Dec 05, 2017",0.002332,0.002341,0.002261,0.002282,11,"18,637"
"Dec 04, 2017",0.003880,0.006467,0.002260,0.002331,"1,314","31,012"
"Dec 03, 2017",0.002472,0.004016,0.001477,0.003873,164,"19,755"
"Dec 02, 2017",0.002309,0.002491,0.001350,0.002471,42,"18,455"
"Dec 01, 2017",0.002181,0.002333,0.002095,0.002309,4,"17,434"
"Nov 30, 2017",0.001883,0.002210,0.001079,0.002187,21,"15,052"
"Nov 29, 2017",0.002331,0.002385,0.001173,0.001860,15,"18,631"
"Nov 28, 2017",0.000998,0.002360,0.000991,0.002329,35,"7,973"
"Nov 27, 2017",0.000965,0.002542,0.000833,0.000999,858,"7,710"
"Nov 26, 2017",0.000700,0.000969,0.000679,0.000965,2,"5,593"
"Nov 25, 2017",0.000972,0.000995,0.000695,0.000700,25,"7,771"
"Nov 24, 2017",0.000897,0.001159,0.000849,0.000973,41,"7,168"
"Nov 23, 2017",0.001598,0.001610,0.000804,0.000901,6,"12,770"
"Nov 22, 2017",0.000783,0.001601,0.000782,0.001594,68,"6,257"
"Nov 21, 2017",0.000772,0.000803,0.000738,0.000782,31,"6,169"
"Nov 20, 2017",0.001418,0.001447,0.000773,0.000773,25,"11,335"
"Nov 19, 2017",0.002079,0.002086,0.000763,0.001420,7,"16,618"
"Nov 18, 2017",0.001327,0.002777,0.000765,0.002085,67,"10,604"
"Nov 17, 2017",0.000825,0.001828,0.000821,0.001329,112,"6,596"
"Nov 16, 2017",0.000685,0.001505,0.000674,0.000826,16,"5,474"
"Nov 15, 2017",0.000511,0.001619,0.000504,0.000685,379,"4,083"
"Nov 14, 2017",0.001511,0.001609,0.000481,0.000511,52,"12,077"
"Nov 13, 2017",0.002613,0.002711,0.001484,0.001511,210,"20,886"
"Nov 12, 2017",0.001183,0.009851,0.001167,0.002609,831,"9,454"
"Nov 11, 2017",0.000342,0.001811,0.000342,0.001183,527,"2,733"
"Nov 10, 2017",0.000971,0.000993,0.000293,0.000343,3,"7,757"
"Nov 09, 2017",0.000939,0.000997,0.000925,0.000970,5,"7,503"
"Nov 08, 2017",0.000782,0.002203,0.000779,0.000944,418,"6,250"
"Nov 07, 2017",0.001219,0.001385,0.000682,0.000783,24,"9,742"
"Nov 06, 2017",0.000373,0.001523,0.000369,0.001217,15,"2,984"
"Nov 05, 2017",0.001500,0.001581,0.000346,0.000373,111,"11,988"
"Nov 04, 2017",0.001525,0.001840,0.001474,0.001498,329,"12,184"
"Nov 03, 2017",0.001452,0.002087,0.001372,0.001524,226,"11,602"
"Nov 02, 2017",0.001748,0.002891,0.001421,0.001445,293,"13,973"
"Nov 01, 2017",0.001701,0.004253,0.001699,0.001744,670,"13,592"
"Oct 31, 2017",0.007057,0.009442,0.001532,0.001704,"1,069","56,398"
"Oct 30, 2017",0.009239,0.010808,0.007016,0.007053,"1,722","73,836"
"Oct 29, 2017",0.011529,0.012122,0.008915,0.009257,"3,638","92,141"
"Oct 28, 2017",0.010490,0.020842,0.008853,0.011534,"6,949",-
"Oct 27, 2017",0.002221,0.032660,0.002221,0.009165,"32,993",-
