Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.092708,0.194111,0.031246,0.037657,366,"451,720"
"Dec 15, 2017",0.049763,0.163054,0.049753,0.092578,19,"242,470"
"Dec 14, 2017",0.049297,0.051387,0.048720,0.049688,150,"240,199"
"Dec 13, 2017",0.125933,0.129029,0.039270,0.049456,266,"613,608"
"Dec 12, 2017",0.103291,0.188071,0.101524,0.125850,560,"503,288"
"Dec 11, 2017",0.111291,0.121720,0.051211,0.102961,190,"542,266"
"Dec 10, 2017",0.035188,0.115130,0.030978,0.112100,12,"171,453"
"Dec 09, 2017",0.092147,0.092147,0.031693,0.035046,11,"448,990"
"Dec 08, 2017",0.026203,0.026594,0.018764,0.020498,1,"127,675"
"Dec 07, 2017",0.020185,0.085342,0.019931,0.026142,"2,643","98,352"
"Dec 06, 2017",0.032555,0.062319,0.018848,0.020220,217,"158,625"
"Dec 05, 2017",0.035565,0.037521,0.016611,0.032612,22,"173,290"
"Dec 04, 2017",0.089364,0.092772,0.035033,0.035495,631,"434,532"
"Dec 03, 2017",0.033342,0.089159,0.033120,0.089159,193,"162,124"
"Dec 02, 2017",0.031449,0.037663,0.031062,0.033310,310,"152,923"
"Dec 01, 2017",0.048257,0.051804,0.028599,0.031470,"1,448","234,649"
"Nov 30, 2017",0.079753,0.157991,0.041844,0.048402,316,"387,801"
"Nov 29, 2017",0.142830,0.169953,0.064535,0.078727,299,"694,515"
"Nov 28, 2017",0.068288,0.157369,0.067897,0.142713,493,"332,049"
"Nov 27, 2017",0.065224,0.068226,0.065224,0.068111,54,"317,151"
"Nov 26, 2017",0.071701,0.073048,0.064210,0.065211,200,"346,134"
"Nov 25, 2017",0.059522,0.076615,0.041494,0.071724,90,"287,344"
"Nov 24, 2017",0.056481,0.064194,0.056481,0.059643,586,"272,661"
"Nov 23, 2017",0.083676,0.140169,0.056415,0.056560,159,"403,947"
"Nov 22, 2017",0.055906,0.083847,0.055670,0.083538,24,"269,887"
"Nov 21, 2017",0.118136,0.183171,0.054975,0.055771,48,"570,301"
