Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.013235,0.018647,0.005610,0.018500,476,"130,346"
"Dec 15, 2017",0.016588,0.017235,0.012918,0.013217,"1,255","163,363"
"Dec 14, 2017",0.016376,0.020477,0.016191,0.016563,58,"161,274"
"Dec 13, 2017",0.012957,0.017381,0.012957,0.016428,506,"127,607"
"Dec 12, 2017",0.013133,0.013319,0.012825,0.012946,40,"129,336"
"Dec 11, 2017",0.013265,0.014760,0.012764,0.013091,82,"130,639"
"Dec 10, 2017",0.002032,0.013880,0.002012,0.013361,47,"20,010"
"Dec 09, 2017",0.019191,0.019476,0.015982,0.017491,37,"189,005"
"Dec 08, 2017",0.010413,0.020090,0.001517,0.019211,259,"102,555"
"Dec 07, 2017",0.017857,0.019331,0.008469,0.010389,90,"175,861"
"Dec 06, 2017",0.013807,0.019347,0.006088,0.017887,648,"135,977"
"Dec 05, 2017",0.020398,0.020764,0.013813,0.013838,8,"200,894"
"Dec 04, 2017",0.016863,0.020358,0.016752,0.020358,43,"166,072"
"Dec 03, 2017",0.020224,0.021212,0.015882,0.016807,24,"199,172"
"Dec 02, 2017",0.006422,0.020437,0.006409,0.020204,530,"63,245"
"Dec 01, 2017",0.013491,0.013640,0.005868,0.006427,109,"132,863"
"Nov 30, 2017",0.013269,0.014433,0.012148,0.013558,27,"130,677"
"Nov 29, 2017",0.005957,0.014973,0.005957,0.013068,20,"58,665"
"Nov 28, 2017",0.005756,0.005988,0.005700,0.005963,40,"56,685"
"Nov 27, 2017",0.002888,0.005751,0.002888,0.005741,19,"28,447"
"Nov 26, 2017",0.005865,0.005865,0.002859,0.002888,70,"57,761"
"Nov 25, 2017",0.005008,0.005255,0.004980,0.005229,8,"49,322"
"Nov 24, 2017",0.004903,0.005087,0.004809,0.005018,8,"48,283"
"Nov 23, 2017",0.005100,0.005125,0.004132,0.004909,6,"50,224"
"Nov 22, 2017",0.008763,0.008964,0.005024,0.005101,8,"86,304"
"Nov 21, 2017",0.008903,0.009040,0.008617,0.008742,4,"87,684"
"Nov 20, 2017",0.014317,0.014350,0.014146,0.014325,5,"141,003"
"Nov 19, 2017",0.006400,0.014439,0.006157,0.014324,16,"63,028"
"Nov 17, 2017",0.012159,0.012445,0.011729,0.012001,24,"119,750"
"Nov 16, 2017",0.004966,0.012219,0.004855,0.012179,91,"48,908"
"Nov 15, 2017",0.004728,0.004980,0.004685,0.004940,30,"46,560"
"Nov 13, 2017",0.002818,0.003026,0.002796,0.003015,6,"27,753"
"Nov 12, 2017",0.002768,0.003089,0.002658,0.002814,6,"27,258"
"Nov 10, 2017",0.012437,0.012796,0.003083,0.003103,51,"122,485"
"Nov 09, 2017",0.002539,0.013300,0.002478,0.012400,362,"25,005"
"Nov 08, 2017",0.002557,0.002667,0.002435,0.002542,15,"25,181"
"Nov 07, 2017",0.004175,0.004320,0.004175,0.004310,44,"41,121"
"Nov 06, 2017",0.004367,0.004670,0.004167,0.004182,42,"43,011"
"Nov 05, 2017",0.014026,0.014026,0.004265,0.004358,171,"138,131"
"Nov 04, 2017",0.013546,0.013720,0.013235,0.013476,13,"133,402"
"Nov 03, 2017",0.013800,0.013883,0.013442,0.013581,14,"135,907"
"Nov 02, 2017",0.006258,0.006480,0.006258,0.006463,7,"61,628"
"Nov 01, 2017",0.005950,0.006262,0.005936,0.006251,7,"58,596"
"Oct 31, 2017",0.012256,0.012470,0.012191,0.012446,44,"120,699"
"Oct 30, 2017",0.012314,0.012434,0.012071,0.012297,43,"121,273"
"Oct 29, 2017",0.010826,0.012645,0.010797,0.012386,12,"106,617"
"Oct 28, 2017",0.019933,0.020153,0.010783,0.010841,175,"196,314"
"Oct 27, 2017",0.020427,0.020807,0.019776,0.019951,5,"201,177"
"Oct 26, 2017",0.019898,0.020766,0.019768,0.020422,24,"195,968"
"Oct 25, 2017",0.010430,0.019936,0.010171,0.019901,70,"102,716"
"Oct 24, 2017",0.011731,0.011731,0.010382,0.010425,20,"115,534"
"Oct 23, 2017",0.013572,0.013772,0.011612,0.011757,29,"133,667"
"Oct 22, 2017",0.020988,0.021172,0.013328,0.013594,103,"206,698"
"Oct 21, 2017",0.016042,0.021341,0.011199,0.020982,209,"157,987"
"Oct 20, 2017",0.016771,0.016880,0.014881,0.016076,140,"165,173"
"Oct 19, 2017",0.011175,0.016933,0.011072,0.016767,93,"110,052"
"Oct 18, 2017",0.011201,0.011222,0.010269,0.011169,17,"110,317"
"Oct 17, 2017",0.011558,0.011591,0.011072,0.011201,31,"113,830"
"Oct 16, 2017",0.016848,0.016934,0.011134,0.011556,18,"165,927"
"Oct 15, 2017",0.017261,0.017317,0.016094,0.016846,6,"169,997"
"Oct 14, 2017",0.012544,0.017254,0.011384,0.017230,"1,130","123,541"
"Oct 13, 2017",0.016105,0.017396,0.012100,0.012541,351,"158,605"
"Oct 12, 2017",0.015632,0.016055,0.015535,0.016055,31,"153,949"
"Oct 11, 2017",0.014098,0.014265,0.013986,0.014249,5,"138,842"
"Oct 10, 2017",0.011965,0.014588,0.011965,0.014100,5,"117,841"
"Oct 09, 2017",0.013670,0.013743,0.011395,0.011966,"1,218","134,632"
"Oct 08, 2017",0.013197,0.013699,0.013152,0.013667,41,"129,976"
"Oct 07, 2017",0.008672,0.013264,0.008600,0.013233,94,"85,407"
"Oct 06, 2017",0.004497,0.008694,0.004488,0.008669,132,"44,285"
"Oct 05, 2017",0.004390,0.004541,0.004317,0.004497,6,"43,238"
"Oct 04, 2017",0.007462,0.007509,0.004386,0.004386,6,"73,487"
"Oct 03, 2017",0.008191,0.011971,0.003784,0.007444,81,"80,664"
"Oct 02, 2017",0.013177,0.014395,0.002075,0.008190,252,"129,779"
"Oct 01, 2017",0.002172,0.015080,0.002143,0.013183,204,"21,395"
"Sep 30, 2017",0.000167,0.002179,0.000167,0.002171,153,"1,644"
"Sep 29, 2017",0.002923,0.002923,0.000166,0.000167,145,"28,785"
"Sep 27, 2017",0.013766,0.014898,0.013766,0.014860,0,"135,571"
"Sep 26, 2017",0.013779,0.013808,0.013779,0.013804,0,"135,705"
"Sep 20, 2017",0.017494,0.017964,0.017190,0.017923,8,"172,287"
"Sep 19, 2017",0.018341,0.018438,0.017279,0.017517,8,"180,629"
"Sep 18, 2017",0.018311,0.018458,0.017724,0.018297,37,"180,338"
"Sep 17, 2017",0.016072,0.016072,0.014003,0.014003,6,"158,285"
"Sep 16, 2017",0.013910,0.016750,0.013894,0.016083,28,"136,991"
"Sep 15, 2017",0.012167,0.014342,0.011209,0.013946,7,"119,830"
"Sep 14, 2017",0.014539,0.015240,0.012073,0.012073,120,"143,189"
"Sep 13, 2017",0.013404,0.014861,0.013404,0.014540,221,"132,012"
"Sep 12, 2017",0.005941,0.006173,0.005941,0.006071,13,"58,512"
"Sep 11, 2017",0.003095,0.005962,0.003012,0.005936,13,"30,476"
"Sep 10, 2017",0.003032,0.006038,0.002833,0.003100,108,"29,860"
"Sep 09, 2017",0.003059,0.003074,0.002944,0.003040,19,"30,129"
"Sep 05, 2017",0.007320,0.007320,0.006897,0.007294,17,"72,095"
"Sep 04, 2017",0.007344,0.007542,0.006880,0.007283,17,"72,329"
"Sep 03, 2017",0.007513,0.007516,0.007047,0.007342,28,"73,990"
"Sep 02, 2017",0.008124,0.008220,0.007570,0.007692,2,"80,013"
"Sep 01, 2017",0.009571,0.009657,0.007903,0.008114,2,"94,261"
"Aug 31, 2017",0.009466,0.009622,0.009466,0.009569,38,"93,223"
"Aug 30, 2017",0.016998,0.017208,0.016940,0.016958,5,"167,404"
"Aug 29, 2017",0.008909,0.017180,0.008856,0.017021,5,"87,744"
"Aug 28, 2017",0.006915,0.008925,0.006902,0.008894,94,"68,101"
"Aug 22, 2017",0.008122,0.008122,0.007354,0.007912,4,"79,988"
"Aug 21, 2017",0.016156,0.016175,0.008086,0.008103,8,"159,113"
"Aug 17, 2017",0.008778,0.008905,0.008482,0.008875,1,"86,447"
"Aug 16, 2017",0.008291,0.008787,0.008082,0.008786,1,"81,656"
"Aug 14, 2017",0.007378,0.007549,0.007149,0.007428,1,"72,667"
"Aug 13, 2017",0.015007,0.016255,0.006175,0.007374,14,"147,795"
"Aug 12, 2017",0.005841,0.015362,0.005826,0.015021,"1,099","57,521"
"Aug 11, 2017",0.005595,0.005924,0.005561,0.005845,7,"55,105"
"Aug 07, 2017",0.005152,0.005445,0.005107,0.005414,1,"50,742"
"Aug 06, 2017",0.005131,0.005250,0.005123,0.005164,1,"50,536"
"Aug 03, 2017",0.004272,0.004369,0.004270,0.004361,0,"42,076"
"Aug 02, 2017",0.008161,0.008229,0.004168,0.004265,15,"80,370"
"Aug 01, 2017",0.005725,0.008698,0.005650,0.008162,0,"56,379"
"Jul 31, 2017",0.004248,0.005750,0.004189,0.005722,25,"41,835"
"Jul 30, 2017",0.004212,0.004247,0.004033,0.004244,57,"41,486"
"Jul 29, 2017",0.004311,0.004323,0.004138,0.004213,1,"42,458"
"Jul 28, 2017",0.007983,0.008307,0.004303,0.004328,140,"78,621"
"Jul 27, 2017",0.007699,0.008035,0.007647,0.007959,11,"75,823"
"Jul 26, 2017",0.004096,0.004169,0.003965,0.004031,0,"40,344"
"Jul 25, 2017",0.005516,0.005554,0.003921,0.004095,0,"54,327"
"Jul 24, 2017",0.004373,0.005594,0.004338,0.005517,21,"43,071"
"Jul 23, 2017",0.012677,0.012776,0.004326,0.004378,16,"124,848"
"Jul 22, 2017",0.004454,0.012707,0.004433,0.012677,132,"43,869"
"Jul 21, 2017",0.012432,0.012473,0.004373,0.004455,11,"122,438"
"Jul 20, 2017",0.006766,0.012730,0.006766,0.012341,3,"66,631"
"Jul 19, 2017",0.007107,0.007107,0.006686,0.006786,0,"69,996"
"Jul 18, 2017",0.008785,0.009051,0.003791,0.003905,0,"86,522"
"Jul 17, 2017",0.008653,0.009372,0.008218,0.008822,136,"85,220"
"Jul 16, 2017",0.007544,0.008807,0.005850,0.008663,46,"74,293"
"Jul 15, 2017",0.006768,0.007846,0.006374,0.007566,1,"66,659"
"Jul 14, 2017",0.007408,0.007534,0.006642,0.006780,39,"72,959"
"Jul 13, 2017",0.006705,0.007480,0.003468,0.007414,394,"66,038"
"Jul 12, 2017",0.006477,0.006814,0.003241,0.006772,549,"63,792"
"Jul 11, 2017",0.006587,0.006743,0.003224,0.006463,538,"64,873"
"Jul 10, 2017",0.007042,0.007110,0.003394,0.003404,145,"69,355"
"Jul 09, 2017",0.003697,0.007219,0.003591,0.007029,662,"36,406"
"Jul 08, 2017",0.003895,0.007025,0.003578,0.003693,504,"38,358"
"Jul 07, 2017",0.007302,0.007367,0.003483,0.006829,512,"71,913"
"Jul 06, 2017",0.009853,0.009882,0.002627,0.007323,610,"97,038"
"Jul 05, 2017",0.003316,0.010432,0.001888,0.009900,812,"32,657"
"Jul 04, 2017",0.009923,0.010613,0.002120,0.010345,709,"97,729"
"Jul 03, 2017",0.001867,0.010135,0.001671,0.009970,751,"18,388"
"Jul 02, 2017",0.009435,0.009903,0.001749,0.009770,851,"92,924"
