Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000251,0.000389,0.000188,0.000384,"4,001","71,263"
"Dec 15, 2017",0.000258,0.000351,0.000182,0.000251,"3,774","73,364"
"Dec 14, 2017",0.000328,0.000338,0.000170,0.000257,"4,189","93,144"
"Dec 13, 2017",0.000418,0.000486,0.000169,0.000329,"286,158","118,724"
"Dec 12, 2017",0.000510,0.000518,0.000203,0.000417,"20,132","145,065"
"Dec 11, 2017",0.000787,0.000804,0.000508,0.000508,"1,504","223,752"
"Dec 10, 2017",0.000627,0.000796,0.000539,0.000792,464,"178,161"
"Dec 09, 2017",0.000546,0.000674,0.000503,0.000625,"1,143","155,339"
"Dec 08, 2017",0.000816,0.000831,0.000448,0.000547,683,"231,954"
"Dec 07, 2017",0.000760,0.000814,0.000502,0.000814,"1,901","216,147"
"Dec 06, 2017",0.000632,0.000762,0.000531,0.000760,917,"179,729"
"Dec 05, 2017",0.000672,0.000983,0.000371,0.000635,"4,407","190,995"
"Dec 04, 2017",0.000454,0.000671,0.000338,0.000671,"1,297","128,903"
"Dec 03, 2017",0.000524,0.000594,0.000348,0.000452,"1,027","148,941"
"Dec 02, 2017",0.000479,0.000649,0.000254,0.000523,"1,370","136,245"
"Dec 01, 2017",0.000403,0.000495,0.000283,0.000482,689,"114,679"
"Nov 30, 2017",0.000217,0.000407,0.000216,0.000405,"3,228","61,769"
"Nov 29, 2017",0.000584,0.000772,0.000156,0.000210,"6,446","166,112"
"Nov 28, 2017",0.000734,0.000767,0.000195,0.000584,"1,204","208,742"
"Nov 27, 2017",0.000853,0.000944,0.000729,0.000733,322,"242,300"
"Nov 26, 2017",0.000655,0.005504,0.000610,0.000852,383,"186,053"
"Nov 25, 2017",0.000652,0.000682,0.000608,0.000655,182,"185,302"
"Nov 24, 2017",0.000722,0.000750,0.000653,0.000653,288,"205,101"
"Nov 23, 2017",0.000801,0.000910,0.000717,0.000723,917,"227,578"
"Nov 22, 2017",0.000723,0.000878,0.000649,0.000815,198,"205,446"
"Nov 21, 2017",0.000661,0.000787,0.000604,0.000721,177,"187,751"
"Nov 20, 2017",0.000709,0.000734,0.000649,0.000661,122,"201,582"
"Nov 19, 2017",0.000709,0.000942,0.000647,0.000711,75,"201,467"
"Nov 18, 2017",0.000618,0.000713,0.000478,0.000709,"1,043","175,666"
"Nov 17, 2017",0.000636,0.000702,0.000610,0.000620,"5,353","180,875"
"Nov 16, 2017",0.000664,0.000710,0.000581,0.000637,399,"188,749"
"Nov 15, 2017",0.000620,0.000746,0.000620,0.000659,84,"176,262"
"Nov 14, 2017",0.000704,0.000732,0.000578,0.000620,279,"200,042"
"Nov 13, 2017",0.000450,0.000706,0.000402,0.000702,558,"127,913"
"Nov 12, 2017",0.000675,0.000675,0.000419,0.000450,301,"191,945"
"Nov 11, 2017",0.000672,0.000705,0.000468,0.000676,277,"190,904"
"Nov 10, 2017",0.000553,0.000852,0.000553,0.000675,139,"156,987"
"Nov 09, 2017",0.000879,0.000997,0.000547,0.000551,140,"249,592"
"Nov 08, 2017",0.000573,0.000899,0.000570,0.000884,139,"162,805"
"Nov 07, 2017",0.000829,0.000856,0.000563,0.000575,211,"235,520"
"Nov 06, 2017",0.000790,0.000943,0.000782,0.000830,396,"224,308"
"Nov 05, 2017",0.000581,0.000789,0.000514,0.000788,331,"164,962"
"Nov 04, 2017",0.000719,0.000807,0.000560,0.000582,59,"204,245"
"Nov 03, 2017",0.000704,0.000801,0.000544,0.000721,141,"200,067"
"Nov 02, 2017",0.000790,0.000852,0.000684,0.000705,311,"224,469"
"Nov 01, 2017",0.000654,0.000858,0.000605,0.000789,102,"185,885"
"Oct 31, 2017",0.000732,0.000850,0.000531,0.000655,359,"207,945"
"Oct 30, 2017",0.000862,0.000928,0.000603,0.000736,802,"244,814"
"Oct 29, 2017",0.000516,0.001057,0.000512,0.000891,744,"146,622"
"Oct 28, 2017",0.000928,0.000949,0.000516,0.000519,131,"263,601"
"Oct 27, 2017",0.000863,0.001096,0.000857,0.000927,25,"245,113"
"Oct 26, 2017",0.000940,0.000983,0.000785,0.000864,225,"267,091"
"Oct 25, 2017",0.001018,0.001020,0.000691,0.000940,"1,506","289,222"
"Oct 24, 2017",0.000884,0.001100,0.000703,0.001016,138,"251,051"
"Oct 23, 2017",0.000842,0.000889,0.000641,0.000887,478,"239,181"
"Oct 22, 2017",0.000639,0.000846,0.000549,0.000844,119,"181,399"
"Oct 21, 2017",0.001193,0.001193,0.000637,0.000639,516,"338,958"
"Oct 20, 2017",0.000773,0.001264,0.000766,0.001183,95,"219,504"
"Oct 19, 2017",0.000665,0.000876,0.000563,0.000778,642,"188,912"
"Oct 18, 2017",0.001202,0.001205,0.000550,0.000665,904,"341,354"
"Oct 17, 2017",0.000805,0.001210,0.000735,0.001201,"1,726","228,590"
"Oct 16, 2017",0.001119,0.001309,0.000587,0.000805,"2,090","317,744"
"Oct 15, 2017",0.001192,0.001416,0.000895,0.001119,206,"338,262"
"Oct 14, 2017",0.000771,0.001226,0.000737,0.001190,"1,062",-
"Oct 13, 2017",0.001099,0.001106,0.000750,0.000771,"1,114",-
