Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.003171,0.008661,0.002870,0.003449,23,"46,620"
"Dec 15, 2017",0.013291,0.014166,0.002793,0.003198,132,"195,389"
"Dec 14, 2017",0.009177,0.013570,0.009066,0.013273,71,"134,912"
"Dec 13, 2017",0.000393,0.010521,0.000364,0.009231,660,"5,770"
"Dec 12, 2017",0.004065,0.004883,0.000392,0.000392,87,"59,757"
"Dec 11, 2017",0.003049,0.004452,0.003036,0.004060,56,"44,829"
"Dec 10, 2017",0.003184,0.003447,0.001520,0.003072,31,"46,807"
"Dec 09, 2017",0.000342,0.004327,0.000342,0.003179,99,"5,022"
"Dec 08, 2017",0.003600,0.005332,0.000341,0.000342,7,"52,921"
"Dec 07, 2017",0.003440,0.003594,0.001833,0.003594,45,"50,572"
"Dec 06, 2017",0.004261,0.004602,0.001716,0.003446,266,"62,640"
"Dec 05, 2017",0.003956,0.011556,0.002667,0.004252,2,"58,158"
"Dec 04, 2017",0.007641,0.007918,0.003937,0.003948,73,"112,332"
"Dec 03, 2017",0.002169,0.012910,0.001924,0.007644,541,"31,892"
"Dec 02, 2017",0.003073,0.003116,0.002167,0.002167,2,"45,180"
"Dec 01, 2017",0.008187,0.011251,0.002984,0.003065,1,"120,359"
"Nov 30, 2017",0.003505,0.008252,0.001630,0.008215,0,"51,524"
"Nov 29, 2017",0.009638,0.009855,0.003246,0.003452,11,"141,687"
"Nov 28, 2017",0.002536,0.009808,0.002511,0.009651,162,"37,279"
"Nov 27, 2017",0.002246,0.002534,0.002245,0.002529,20,"33,012"
"Nov 26, 2017",0.003323,0.003459,0.002206,0.002248,4,"48,849"
"Nov 25, 2017",0.004142,0.004582,0.003208,0.003328,12,"60,894"
"Nov 24, 2017",0.002505,0.004925,0.002502,0.004408,23,"36,823"
"Nov 23, 2017",0.003577,0.003852,0.002500,0.002500,27,"52,589"
"Nov 22, 2017",0.004398,0.005213,0.001943,0.003580,2,"64,659"
"Nov 21, 2017",0.002624,0.007286,0.001524,0.004377,2,"38,580"
"Nov 20, 2017",0.001631,0.002644,0.000937,0.002622,16,"23,981"
"Nov 19, 2017",0.002665,0.005612,0.001544,0.001620,11,"39,172"
"Nov 18, 2017",0.001657,0.005687,0.001657,0.002673,34,"24,356"
"Nov 17, 2017",0.002523,0.017776,0.001699,0.001699,7,"37,096"
"Nov 16, 2017",0.025853,0.036035,0.002324,0.002524,53,"380,063"
"Nov 15, 2017",0.005385,0.034376,0.003153,0.025825,26,"79,161"
"Nov 14, 2017",0.002966,0.006419,0.001900,0.005385,1,"43,608"
"Nov 13, 2017",0.004691,0.006291,0.002246,0.002961,131,"68,962"
"Nov 12, 2017",0.002723,0.005276,0.001679,0.004663,5,"40,026"
"Nov 11, 2017",0.002523,0.003544,0.002109,0.002718,11,"37,092"
"Nov 10, 2017",0.045353,0.047240,0.002104,0.002531,143,"666,737"
"Nov 09, 2017",0.010264,0.066486,0.010264,0.045160,72,"150,895"
"Nov 08, 2017",0.001610,0.010494,0.001544,0.010220,26,"23,665"
"Nov 07, 2017",0.003229,0.004112,0.001611,0.001611,175,"47,472"
"Nov 06, 2017",0.003740,0.007254,0.002996,0.003235,114,"54,978"
"Nov 05, 2017",0.004463,0.004884,0.002519,0.003737,91,"65,604"
"Nov 04, 2017",0.003846,0.004641,0.002352,0.004492,73,"56,538"
"Nov 03, 2017",0.001973,0.004278,0.001959,0.003856,194,"29,008"
"Nov 02, 2017",0.004721,0.005663,0.001953,0.001977,99,"69,401"
"Nov 01, 2017",0.004692,0.005563,0.001989,0.004741,73,"68,980"
"Oct 31, 2017",0.004061,0.008449,0.001636,0.004676,423,"59,698"
"Oct 30, 2017",0.005610,0.006168,0.001735,0.002067,230,"82,472"
"Oct 29, 2017",0.007141,0.007436,0.005365,0.005579,249,"104,974"
"Oct 28, 2017",0.004766,0.007420,0.004732,0.007138,26,"70,066"
"Oct 27, 2017",0.006536,0.006627,0.004647,0.004759,245,"96,091"
"Oct 26, 2017",0.006122,0.006597,0.004803,0.006586,156,"89,996"
"Oct 25, 2017",0.006320,0.006329,0.005255,0.006124,111,"92,918"
"Oct 24, 2017",0.006008,0.006943,0.005671,0.006475,359,"88,318"
"Oct 23, 2017",0.009545,0.009548,0.005576,0.006020,135,"140,320"
"Oct 22, 2017",0.007001,0.009607,0.006458,0.009560,249,"102,918"
"Oct 21, 2017",0.007310,0.007831,0.006816,0.006999,123,"107,467"
"Oct 20, 2017",0.007021,0.007575,0.006299,0.007328,40,"103,216"
"Oct 19, 2017",0.005989,0.007307,0.005943,0.007019,73,"88,040"
"Oct 18, 2017",0.007506,0.007798,0.005459,0.005986,790,"110,343"
"Oct 17, 2017",0.005409,0.015250,0.005409,0.007505,"2,038","79,522"
